series_code,date,value_thousand_ars,value_status,preferred_route,blocking_reason,published_id_continuity
1150,2023-09-30,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1150,2023-10-31,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1150,2023-11-30,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1150,2023-12-31,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1151,2023-09-30,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1151,2023-10-31,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1151,2023-11-30,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1151,2023-12-31,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1152,2023-09-30,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1152,2023-10-31,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1152,2023-11-30,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1152,2023-12-31,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1153,2023-09-30,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1153,2023-10-31,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1153,2023-11-30,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
1153,2023-12-31,,NOT_MATERIALIZED,BCRA_API_V4_PER_SERIES_OR_DIN1,runtime network/binary byte gate,SUPPORTED
