cd_serie,tx_serie,tx_nota_metodologica,tx_nota_datos,periodicidad,nombre,tipo,unidad_expresion,moneda,sector,tipo_titular,agrupamiento,rama_agrupamiento,saldo_mensual_tipo,informantes_depositos,ubicacion_txt
1150,"Dinero y crédito - Otras informaciones sobre la actividad financiera - Cuadro de resultados - Resultados Mensuales, En miles de pesos - Total","Refleja los resultados netos (calculados por diferencia entre los totales del ejercicio acumulados en el mes corriente y el mes anterior) devengados en el mes con independencia de que se hayan efectivizado.
Las entidades deducen de las cuentas de origen los ingresos que devuelven o los egresos que recobren dentro del mismo ejercicio en el que se hubieran originado.",,Mensual,Resultados Mensuales de entidades financieras -total,Saldo  ,En miles de pesos  ,, , ,Dinero y crédito - Otras informaciones sobre la actividad financiera,Cuadro de resultados - Resultados Mensuales,Saldos A Fin De Mes,,DIN1
1151,"Dinero y crédito - Otras informaciones sobre la actividad financiera - Cuadro de resultados - Resultados Mensuales, En miles de pesos - Intereses ganados - Total","Suma de las ganancias devengadas por distintos conceptos (por primas de futuro vinculadas con pases activos y con operaciones de venta de moneda extranjera y por el Resto de empresas que no son PYMES o Prestadoras de Servicios Financieros de las operaciones realizadas en ejercicio de la actividad habitual de intermediación, entre otros)",,Mensual,Resultados Mensuales de entidades financieras por intereses ganados totales,Saldo  ,En miles de pesos  ,, , ,Dinero y crédito - Otras informaciones sobre la actividad financiera,Cuadro de resultados - Resultados Mensuales,Saldos A Fin De Mes,,DIN1
1152,"Dinero y crédito - Otras informaciones sobre la actividad financiera - Cuadro de resultados - Resultados Mensuales, En miles de pesos - Intereses ganados - Por disponibilidades","Incluye, entre otras, las ganancias devengadas por intereses de la cuenta ""Requisitos de liquidez -Comunicación ""A"" 2350""- abierta en bancos autorizados del exterior.",,Mensual,Resultados Mensuales de entidades financieras por intereses ganados de disponibilidades,Saldo  ,En miles de pesos  ,, , ,Dinero y crédito - Otras informaciones sobre la actividad financiera,Cuadro de resultados - Resultados Mensuales,Saldos A Fin De Mes,,DIN1
1153,"Dinero y crédito - Otras informaciones sobre la actividad financiera - Cuadro de resultados - Resultados Mensuales, En miles de pesos - Intereses ganados - Por préstamos ","Corresponde a las ganancias devengadas por intereses de los capitales prestados, y de los co-rrespondientes a los pagarés “Bonos del Gobierno Nacional en pesos 2% 2007 y en dólares estadounidenses Libor 2012 y por la actualización de los capitales prestados con cláusula de ajuste",,Mensual,Resultados Mensuales de entidades financieras por intereses ganados de préstamos ,Saldo  ,En miles de pesos  ,, , ,Dinero y crédito - Otras informaciones sobre la actividad financiera,Cuadro de resultados - Resultados Mensuales,Saldos A Fin De Mes,,DIN1
1154,"Dinero y crédito - Otras informaciones sobre la actividad financiera - Cuadro de resultados - Resultados Mensuales, En miles de pesos - Intereses ganados - Por activos emergentes de operaciones a término vinculadas con: - Pases activos",Corresponde a las ganancias devengadas por primas de futuro vinculadas con pases activos.,,Mensual,Resultados Mensuales de entidades financieras por intereses ganados de pases activos,Saldo  ,En miles de pesos  ,, , ,Dinero y crédito - Otras informaciones sobre la actividad financiera,Cuadro de resultados - Resultados Mensuales,Saldos A Fin De Mes,,DIN1
1155,"Dinero y crédito - Otras informaciones sobre la actividad financiera - Cuadro de resultados - Resultados Mensuales, En miles de pesos - Intereses ganados - Por activos emergentes de operaciones a término vinculadas con: - Venta de mon.ext.",Corresponde a las ganancias devengadas por primas originadas en operaciones de venta de mo-neda extranjera -liquidables o no en pesos- concertadas a futuro.,,Mensual,Resultados Mensuales de entidades financieras por intereses ganados de activos emergentes de operaciones a término vinculadas con venta de mon.ext.,Saldo  ,En miles de pesos  ,, , ,Dinero y crédito - Otras informaciones sobre la actividad financiera,Cuadro de resultados - Resultados Mensuales,Saldos A Fin De Mes,,DIN1
1156,"Dinero y crédito - Otras informaciones sobre la actividad financiera - Cuadro de resultados - Resultados Mensuales, En miles de pesos - Intereses ganados - Por otras financiaciones por intermediación financiera",Incluye el Resto de empresas que no son PYMES o Prestadoras de Servicios Financieros de las ganancias devengadas por operaciones realizadas en ejercicio de la actividad de intermediación habitual entre la oferta y demanda de recursos financieros (que no co-rrespondan a intereses o actualizaciones por préstamos ni a primas de futuro).,,Mensual,Resultados Mensuales de entidades financieras por intereses ganados de otras financiaciones por intermediación financiera,Saldo  ,En miles de pesos  ,, , ,Dinero y crédito - Otras informaciones sobre la actividad financiera,Cuadro de resultados - Resultados Mensuales,Saldos A Fin De Mes,,DIN1
1157,"Dinero y crédito - Otras informaciones sobre la actividad financiera - Cuadro de resultados - Resultados Mensuales, En miles de pesos - Intereses pagados - Total","Corresponde a las suma de las pérdidas devengadas por distintos conceptos (intereses por depósitos y sobre capitales de obligaciones subordinadas,por primas de operaciones de pase pasivo y por el Resto de empresas que no son PYMES o Prestadoras de Servicios Financieros de operaciones realizadas en la actividad de intermediación habitual, entre otros)",,Mensual,Resultados Mensuales de entidades financieras por intereses pagados totales,Saldo  ,En miles de pesos  ,, , ,Dinero y crédito - Otras informaciones sobre la actividad financiera,Cuadro de resultados - Resultados Mensuales,Saldos A Fin De Mes,,DIN1
1158,"Dinero y crédito - Otras informaciones sobre la actividad financiera - Cuadro de resultados - Resultados Mensuales, En miles de pesos - Intereses pagados - Por depósitos ","Corresponde a las pérdidas devengadas por intereses de los capitales recibidos bajo la forma de depósitos, letras de plazo fijo u otras inversiones a plazo y por la actualización de los capitales recibidos con cláusula de ajuste.",,Mensual,Resultados Mensuales de entidades financieras deintereses pagados por depósitos ,Saldo  ,En miles de pesos  ,, , ,Dinero y crédito - Otras informaciones sobre la actividad financiera,Cuadro de resultados - Resultados Mensuales,Saldos A Fin De Mes,,DIN1
1159,"Dinero y crédito - Otras informaciones sobre la actividad financiera - Cuadro de resultados - Resultados Mensuales, En miles de pesos - Intereses pagados - Por pasivos emergentes de operaciones a término vinculadas con: - Pases pasivos",Incluye las pérdidas devengadas por las primas de operaciones de pase pasivo -liquidable o no en pesos- a término.,,Mensual,Resultados Mensuales de entidades financieras por intereses pagados por pases pasivos,Saldo  ,En miles de pesos  ,, , ,Dinero y crédito - Otras informaciones sobre la actividad financiera,Cuadro de resultados - Resultados Mensuales,Saldos A Fin De Mes,,DIN1
1160,"Dinero y crédito - Otras informaciones sobre la actividad financiera - Cuadro de resultados - Resultados Mensuales, En miles de pesos - Intereses pagados - Por pasivos emergentes de operaciones a término vinculadas con: - Compra de mon.ext.",Incluye las pérdidas devengadas por las primas de compra de moneda extranjera -liquidable o no en pesos- a término.,,Mensual,Resultados Mensuales de entidades financieras -intereses pagados por compra de mon.ext.,Saldo  ,En miles de pesos  ,, , ,Dinero y crédito - Otras informaciones sobre la actividad financiera,Cuadro de resultados - Resultados Mensuales,Saldos A Fin De Mes,,DIN1
