component,label,q3_flow_sep2023_millions,q3_flow_reexpressed_dec2023_millions,q4_flow_dec2023_millions,q4_minus_q3_same_dec2023_millions,abs_magnitude_change_pct,method,precision,compatibility_with_frozen_ief_pp
total_comprehensive_result,Resultado total integral acumulado del período,479845.304777,735669.128457,3134122.379248,2398453.250791,326.023365,Q3=SepYTD-JunYTD*IPC(Jul-Sep); Q4=DecYTD-SepYTD*IPC(Oct-Dec); Q3 then reexpressed to Dec basis,APPROXIMATE_FROM_ROUNDED_MONTHLY_IPC,BROAD_DIRECTIONAL_ONLY_NOT_SAME_DEFINITION_OR_DENOMINATOR
financial_income,Ingresos financieros,10723139.54141,16440053.997015,21850941.372995,5410887.375981,32.912832,Q3=SepYTD-JunYTD*IPC(Jul-Sep); Q4=DecYTD-SepYTD*IPC(Oct-Dec); Q3 then reexpressed to Dec basis,APPROXIMATE_FROM_ROUNDED_MONTHLY_IPC,BROAD_DIRECTIONAL_ONLY_NOT_SAME_DEFINITION_OR_DENOMINATOR
interest_income_broad,Ingresos financieros - Por Intereses,7050645.459264,10809613.324202,12223198.689527,1413585.365325,13.077113,Q3=SepYTD-JunYTD*IPC(Jul-Sep); Q4=DecYTD-SepYTD*IPC(Oct-Dec); Q3 then reexpressed to Dec basis,APPROXIMATE_FROM_ROUNDED_MONTHLY_IPC,BROAD_DIRECTIONAL_ONLY_NOT_SAME_DEFINITION_OR_DENOMINATOR
other_financial_income,Otros Ingresos Financieros,3672494.216802,5630440.879258,9627742.683469,3997301.80421,70.994473,Q3=SepYTD-JunYTD*IPC(Jul-Sep); Q4=DecYTD-SepYTD*IPC(Oct-Dec); Q3 then reexpressed to Dec basis,APPROXIMATE_FROM_ROUNDED_MONTHLY_IPC,BROAD_DIRECTIONAL_ONLY_NOT_SAME_DEFINITION_OR_DENOMINATOR
financial_expenses,Egresos financieros,-6501744.285595,-9968072.010738,-10706174.1688,-738102.158062,7.404663,Q3=SepYTD-JunYTD*IPC(Jul-Sep); Q4=DecYTD-SepYTD*IPC(Oct-Dec); Q3 then reexpressed to Dec basis,APPROXIMATE_FROM_ROUNDED_MONTHLY_IPC,BROAD_DIRECTIONAL_ONLY_NOT_SAME_DEFINITION_OR_DENOMINATOR
interest_expenses,Egresos financieros - Por Intereses,-5873168.543172,-9004378.578722,-9260517.7574,-256139.178678,2.844607,Q3=SepYTD-JunYTD*IPC(Jul-Sep); Q4=DecYTD-SepYTD*IPC(Oct-Dec); Q3 then reexpressed to Dec basis,APPROXIMATE_FROM_ROUNDED_MONTHLY_IPC,BROAD_DIRECTIONAL_ONLY_NOT_SAME_DEFINITION_OR_DENOMINATOR
other_financial_expenses,Otros Egresos Financieros,-628746.742423,-963955.598635,-1444491.444781,-480535.846147,49.850413,Q3=SepYTD-JunYTD*IPC(Jul-Sep); Q4=DecYTD-SepYTD*IPC(Oct-Dec); Q3 then reexpressed to Dec basis,APPROXIMATE_FROM_ROUNDED_MONTHLY_IPC,BROAD_DIRECTIONAL_ONLY_NOT_SAME_DEFINITION_OR_DENOMINATOR
credit_loss_charges,Cargo por incobrabilidad,-117884.143497,-180732.674138,-430239.041516,-249506.367378,138.052717,Q3=SepYTD-JunYTD*IPC(Jul-Sep); Q4=DecYTD-SepYTD*IPC(Oct-Dec); Q3 then reexpressed to Dec basis,APPROXIMATE_FROM_ROUNDED_MONTHLY_IPC,BROAD_DIRECTIONAL_ONLY_NOT_SAME_DEFINITION_OR_DENOMINATOR
service_income,Ingresos por servicios,483392.037991,741106.760349,743339.134322,2232.373973,0.301222,Q3=SepYTD-JunYTD*IPC(Jul-Sep); Q4=DecYTD-SepYTD*IPC(Oct-Dec); Q3 then reexpressed to Dec basis,APPROXIMATE_FROM_ROUNDED_MONTHLY_IPC,BROAD_DIRECTIONAL_ONLY_NOT_SAME_DEFINITION_OR_DENOMINATOR
service_expenses,Egresos por servicios,-294518.529177,-451537.584127,-475307.528064,-23769.943937,5.264223,Q3=SepYTD-JunYTD*IPC(Jul-Sep); Q4=DecYTD-SepYTD*IPC(Oct-Dec); Q3 then reexpressed to Dec basis,APPROXIMATE_FROM_ROUNDED_MONTHLY_IPC,BROAD_DIRECTIONAL_ONLY_NOT_SAME_DEFINITION_OR_DENOMINATOR
admin_expenses,Gastos de administración,-1149656.062637,-1762581.534518,-2006387.109192,-243805.574673,13.832301,Q3=SepYTD-JunYTD*IPC(Jul-Sep); Q4=DecYTD-SepYTD*IPC(Oct-Dec); Q3 then reexpressed to Dec basis,APPROXIMATE_FROM_ROUNDED_MONTHLY_IPC,BROAD_DIRECTIONAL_ONLY_NOT_SAME_DEFINITION_OR_DENOMINATOR
