source_id,kind,url,requested,result,local_bytes,sha256,note
BCRA_BOLMETES_METHOD,official_methodology_pdf,https://www.bcra.gob.ar/pdfs/publicacionesestadisticas/bolmetes.pdf,monthly-results publication regime,VERIFIED_WEB_TEXT,NO,,Explicitly says publication of monthly results was discontinued from Jan-2020; accumulated monthly results remain in month-end homogeneous currency.
BCRA_202306E,official_entity_info_pdf,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/Entidades/202306e.pdf,system P24 accumulated results Jun-2023,WEB_PARSED_AND_SCREENSHOT_VALIDATED,NO,,Values transcribed from P24 system financial table.
BCRA_202309E,official_entity_info_pdf,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/Entidades/202309e.pdf,system P24 accumulated results Sep-2023,WEB_PARSED_AND_SCREENSHOT_VALIDATED,NO,,Values transcribed from P24 system financial table.
BCRA_202312E,official_entity_info_pdf,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/Entidades/202312e.pdf,system P24 accumulated results Dec-2023 + methodology,WEB_PARSED_AND_SCREENSHOT_VALIDATED,NO,,Values transcribed from P24; methodology defines accumulated result and R8 loan-interest flow concept.
BCRA_INFBANC_0623_XLSX,official_xlsx,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/Infbanc0623.xlsx,series workbook,ENDPOINT_IDENTIFIED_BINARY_NOT_MATERIALIZED,NO,,Web endpoint verified; runtime binary download failed.
BCRA_INFBANC_0923_XLSX,official_xlsx,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/Infbanc0923.xlsx,series workbook,ENDPOINT_IDENTIFIED_BINARY_NOT_MATERIALIZED,NO,,Web endpoint verified; runtime binary download failed.
BCRA_INFBANC_1223_XLSX,official_xlsx,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/Infbanc1223.xlsx,series workbook,ENDPOINT_IDENTIFIED_BINARY_NOT_MATERIALIZED,NO,,Web endpoint verified; runtime binary download failed.
BCRA_INFBANC_ANEXO_XLSX,official_xlsx,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/InfBanc_Anexo.xlsx,statistical annex,ENDPOINT_IDENTIFIED_BINARY_NOT_MATERIALIZED,NO,,Potential V58 raw-source route.
INDEC_IPC_DEC2023,official_ipc_pdf,https://www.indec.gob.ar/uploads/informesdeprensa/ipc_01_24DBD5D8158C.pdf,monthly IPC changes Jul-Dec 2023,WEB_PARSED_AND_SCREENSHOT_VALIDATED,NO,,Published monthly variations are rounded to one decimal; V57 re-expression coefficients therefore approximate.
LEGACY_DIN1_2023,legacy_txt_result_series,BCRA DIN1 catalog/value family,"IDs 1150-1162,1183-1192 Sep-Dec 2023",NOT_USED_POST2020_PUBLICATION_DISCONTINUITY,NO,,"Metadata IDs survive, but legacy monthly result publication is discontinued from Jan-2020."
