source_id,sheet,known_content,v58_use
INFOBANC_0526_LOCAL_SCHEMA_ANALOGUE,IB,,SCHEMA_ANALOGUE_ONLY
INFOBANC_0526_LOCAL_SCHEMA_ANALOGUE,Índice,Index of 15 report figures,SCHEMA_ANALOGUE_ONLY
INFOBANC_0526_LOCAL_SCHEMA_ANALOGUE,1,,SCHEMA_ANALOGUE_ONLY
INFOBANC_0526_LOCAL_SCHEMA_ANALOGUE,2,,SCHEMA_ANALOGUE_ONLY
INFOBANC_0526_LOCAL_SCHEMA_ANALOGUE,3,,SCHEMA_ANALOGUE_ONLY
INFOBANC_0526_LOCAL_SCHEMA_ANALOGUE,4,,SCHEMA_ANALOGUE_ONLY
INFOBANC_0526_LOCAL_SCHEMA_ANALOGUE,5,,SCHEMA_ANALOGUE_ONLY
INFOBANC_0526_LOCAL_SCHEMA_ANALOGUE,6,,SCHEMA_ANALOGUE_ONLY
INFOBANC_0526_LOCAL_SCHEMA_ANALOGUE,7,,SCHEMA_ANALOGUE_ONLY
INFOBANC_0526_LOCAL_SCHEMA_ANALOGUE,8,,SCHEMA_ANALOGUE_ONLY
INFOBANC_0526_LOCAL_SCHEMA_ANALOGUE,9,,SCHEMA_ANALOGUE_ONLY
INFOBANC_0526_LOCAL_SCHEMA_ANALOGUE,10,,SCHEMA_ANALOGUE_ONLY
INFOBANC_0526_LOCAL_SCHEMA_ANALOGUE,11,,SCHEMA_ANALOGUE_ONLY
INFOBANC_0526_LOCAL_SCHEMA_ANALOGUE,12,,SCHEMA_ANALOGUE_ONLY
INFOBANC_0526_LOCAL_SCHEMA_ANALOGUE,13,ROA acumulado en 3 y 12 meses; system and entity groups only,SCHEMA_ANALOGUE_ONLY
INFOBANC_0526_LOCAL_SCHEMA_ANALOGUE,14,,SCHEMA_ANALOGUE_ONLY
INFOBANC_0526_LOCAL_SCHEMA_ANALOGUE,15,,SCHEMA_ANALOGUE_ONLY
INFOBANC_0623_XLSX,N/D,Bytes not materialized; no sheet names inferred,NOT_USED_FOR_NUMERIC_RECONCILIATION
INFOBANC_0923_XLSX,N/D,Bytes not materialized; no sheet names inferred,NOT_USED_FOR_NUMERIC_RECONCILIATION
INFOBANC_1223_XLSX,N/D,Bytes not materialized; no sheet names inferred,NOT_USED_FOR_NUMERIC_RECONCILIATION
INFOBANC_ANEXO_XLSX,N/D,Bytes not materialized; no sheet names inferred,NOT_USED_FOR_NUMERIC_RECONCILIATION
IEF_DEC2024_PDF,Table 2 / PDF p.35,Exact Q3-23 and Q4-23 analytical components in %a of netted assets,PRIMARY_TARGET
ENTIDADES_DEC2023_PDF,P24,"Broad accumulated financial statements, Oct-Nov-Dec 2023",CROSS_COMPONENT_DENOMINATOR_TEST
