entity,component,q3_direct_sep23_thousand_ars,nine_month_sep23_thousand_ars,nine_month_reexpressed_dec23_thousand_ars,fy_dec23_thousand_ars,q4_reconstructed_dec23_thousand_ars,formula,system_extrapolation
Banco Macro SA,broad_interest,412300261,1151066700,1764479528.153065,2316815938,552336409.846935,FY_Dec - 9M_Sep*(IPC_Dec/IPC_Sep),NO
Banco Macro SA,public_securities,190065241,581604747,891546658.0330598,977541334,85994675.96694016,FY_Dec - 9M_Sep*(IPC_Dec/IPC_Sep),NO
Banco Macro SA,mortgages,21805160,63206443,96889671.7461061,145806768,48917096.2538939,FY_Dec - 9M_Sep*(IPC_Dec/IPC_Sep),NO
Banco Macro SA,pledged,1705573,4555716,6983494.19549655,9907765,2924270.80450345,FY_Dec - 9M_Sep*(IPC_Dec/IPC_Sep),NO
Banco Macro SA,personal,38195218,122465080,187727719.49151805,244302502,56574782.50848195,FY_Dec - 9M_Sep*(IPC_Dec/IPC_Sep),NO
Banco Macro SA,cards,32044714,93937848,143998092.99908888,199061254,55063161.00091112,FY_Dec - 9M_Sep*(IPC_Dec/IPC_Sep),NO
Banco Macro SA,bcra_passes,37563220,73509754,112683701.1726322,196203904,83520202.8273678,FY_Dec - 9M_Sep*(IPC_Dec/IPC_Sep),NO
Banco Macro SA,other_fi_passes,16678,43529,66725.95895700464,714542,647816.0410429954,FY_Dec - 9M_Sep*(IPC_Dec/IPC_Sep),NO
Banco Macro SA,household_like_bundle,93750665,284165087,435598978.4322096,599078289,163479310.56779042,FY_Dec - 9M_Sep*(IPC_Dec/IPC_Sep),NO
Banco Ciudad de Buenos Aires,broad_interest,346703649,873700920,1339303262.8504488,1960148058,620844795.1495512,FY_Dec - 9M_Sep*(IPC_Dec/IPC_Sep),NO
Banco Ciudad de Buenos Aires,public_securities,231994871,586388341,898879468.2724628,994745341,95865872.72753716,FY_Dec - 9M_Sep*(IPC_Dec/IPC_Sep),NO
Banco Ciudad de Buenos Aires,mortgages,4304786,13120787,20112961.355546877,26812587,6699625.644453123,FY_Dec - 9M_Sep*(IPC_Dec/IPC_Sep),NO
Banco Ciudad de Buenos Aires,pledged,672269,1926410,2953009.593474771,3847582,894572.4065252291,FY_Dec - 9M_Sep*(IPC_Dec/IPC_Sep),NO
Banco Ciudad de Buenos Aires,personal,37021372,112295929,172139345.02269077,243720373,71581027.97730923,FY_Dec - 9M_Sep*(IPC_Dec/IPC_Sep),NO
Banco Ciudad de Buenos Aires,cards,9259204,27349133,41923708.93123345,57948941,16025232.06876655,FY_Dec - 9M_Sep*(IPC_Dec/IPC_Sep),NO
Banco Ciudad de Buenos Aires,bcra_passes,0,0,0.0,0,0.0,FY_Dec - 9M_Sep*(IPC_Dec/IPC_Sep),NO
Banco Ciudad de Buenos Aires,other_fi_passes,35942514,64710954,99195948.92307691,469990158,370794209.0769231,FY_Dec - 9M_Sep*(IPC_Dec/IPC_Sep),NO
Banco Ciudad de Buenos Aires,household_like_bundle,51257631,154692259,237129024.90294588,332329483,95200458.09705412,FY_Dec - 9M_Sep*(IPC_Dec/IPC_Sep),NO
