entity,q4_broad,q4_household_product,q4_pass,basis,status
Banco Macro SA,YES,YES,PARTIAL_SPLIT,CONSOLIDATED,FULL_HH_PARTIAL_PASS
Banco Ciudad de Buenos Aires,YES,YES,PARTIAL_SPLIT,CONSOLIDATED,FULL_HH_PARTIAL_PASS
Banco de Galicia y Buenos Aires SAU,YES,YES,SPLIT_PLUS_OTHERFI_EXPENSE,INDIVIDUAL,FULL_BUT_INDIVIDUAL
Banco Santander Argentina SA,YES,NO,TOTAL_EXACT_COUNTERPARTY_BOUND,CONSOLIDATED,PASS_BOUND_ONLY
BBVA Argentina,YES,YES,TOTAL_ONLY,CONSOLIDATED,FULL_HH_PASS_UNSPLIT
Grupo Supervielle / Banco Supervielle,YES,YES,GROUPED_WITH_BCRA_SECURITIES,CONSOLIDATED,FULL_HH_PASS_NOT_ISOLATED
Banco de la Nacion Argentina,NO,NO_Q4,FY_SPLIT_ONLY,CONSOLIDATED,ANNUAL_CONTROL
Banco Provincia de Buenos Aires,NO,NO,NO,N/D,SOURCE_LOCATED_NOT_PARSED
Banco Credicoop,NO,NO,NO,N/D,PENDING
ICBC Argentina,NO,NO,NO,N/D,PENDING
