entity,basis,q4_broad,q4_household_product,four_leg_pass_q4,closed_network_eligible,status
Banco Macro SA,CONSOLIDATED,YES,YES,PARTIAL_EXACT_INCOME_APPROX_EXPENSE,NO,HIGH_COVERAGE_ENTITY
Banco Ciudad de Buenos Aires,CONSOLIDATED,YES,YES,YES_EXACT,NO_OPEN_SUBSET,FIRST_FULL_FOUR_LEG_Q4_ENTITY
Banco de Galicia y Buenos Aires SAU,INDIVIDUAL,YES,YES,PARTIAL_EXACT,NO_BASIS_INDIVIDUAL,SEPARATE_PANEL
Banco Santander Argentina SA,CONSOLIDATED,YES,NO,BOUND_ONLY,NO,COUNTERPARTY_BOUND
BBVA Argentina,CONSOLIDATED,YES,YES,TOTAL_ONLY,NO,COUNTERPARTY_UNSPLIT
Grupo Supervielle / Banco Supervielle,CONSOLIDATED,YES,YES,TOTAL_FINANCIAL_SECTOR_ONLY,NO,COUNTERPARTY_UNSPLIT
Banco de la Nacion Argentina,CONSOLIDATED,NO_Q4,NO_Q4,FY_ONLY,NO,ANNUAL_CONTROL
Banco Provincia de Buenos Aires,CONSOLIDATED_OR_INDIVIDUAL_ND,NO,NO,NOT_RETRIEVED,NO,SOURCE_LOCATED_PENDING
Banco Credicoop,N/D,NO,NO,NOT_RETRIEVED,NO,SOURCE_LOCATED_PENDING
ICBC Argentina,N/D,NO,NO,NOT_RETRIEVED,NO,PENDING
