metric,sep_9m_constant_sep,fy_constant_dec,ipc_factor,q4_constant_dec,formula
broad_interest,376393475,892139188,1.532908152197,315162561.738557,FY_Dec - 9M_Sep*(IPC_Dec/IPC_Sep)
loan_financing,220358523,453513599,1.532908152197,115724222.687101,FY_Dec - 9M_Sep*(IPC_Dec/IPC_Sep)
mortgages,455249,906638,1.532908152197,208783.096620,FY_Dec - 9M_Sep*(IPC_Dec/IPC_Sep)
pledged,38697052,85688579,1.532908152197,26369552.523190,FY_Dec - 9M_Sep*(IPC_Dec/IPC_Sep)
personal,10897020,21153835,1.532908152197,4449704.207341,FY_Dec - 9M_Sep*(IPC_Dec/IPC_Sep)
cards,63505397,121547419,1.532908152197,24199478.230162,FY_Dec - 9M_Sep*(IPC_Dec/IPC_Sep)
pass_income_total,156034952,438625589,1.532908152197,199438339.051456,FY_Dec - 9M_Sep*(IPC_Dec/IPC_Sep)
income_bcra,155837409,438280940,1.532908152197,199396505.326565,FY_Dec - 9M_Sep*(IPC_Dec/IPC_Sep)
income_otherfi,197543,344649,1.532908152197,41833.724890,FY_Dec - 9M_Sep*(IPC_Dec/IPC_Sep)
pass_expense_total,889799,2307851,1.532908152197,943870.859083,FY_Dec - 9M_Sep*(IPC_Dec/IPC_Sep)
expense_bcra,0,0,1.532908152197,0.000000,FY_Dec - 9M_Sep*(IPC_Dec/IPC_Sep)
expense_otherfi,889799,2307851,1.532908152197,943870.859083,FY_Dec - 9M_Sep*(IPC_Dec/IPC_Sep)
