entity_code,entity,dec2023_asset_million_ars,direct_repo_accounts_present_sep_or_dec,ambiguous_other_repo_accounts_present_sep_or_dec,strict_promotion_from_raw_sweep,note
00007,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,8673081.708,511027;511108;521022;525042,511007,NO_RAW_ONLY,Six-digit raw is useful for universe/reconciliation but not sufficient for universal Annex-Q counterparty split after Santander counterexample.
00011,BANCO DE LA NACION ARGENTINA,21288251.988,511108,521007,NO_RAW_ONLY,Six-digit raw is useful for universe/reconciliation but not sufficient for universal Annex-Q counterparty split after Santander counterexample.
00014,BANCO DE LA PROVINCIA DE BUENOS AIRES,8682679.817,511108;521022,,NO_RAW_ONLY,Six-digit raw is useful for universe/reconciliation but not sufficient for universal Annex-Q counterparty split after Santander counterexample.
00015,INDUSTRIAL AND COMMERCIAL BANK OF CHINA (ARGENTINA) S.A.U.,3965612.887,511027;511108;521022,,NO_RAW_ONLY,Six-digit raw is useful for universe/reconciliation but not sufficient for universal Annex-Q counterparty split after Santander counterexample.
00016,CITIBANK N.A.,2656706.734,511027;511108,,NO_RAW_ONLY,Six-digit raw is useful for universe/reconciliation but not sufficient for universal Annex-Q counterparty split after Santander counterexample.
00017,BANCO BBVA ARGENTINA S.A.,6059940.594,511027;511108;521022,,NO_RAW_ONLY,Six-digit raw is useful for universe/reconciliation but not sufficient for universal Annex-Q counterparty split after Santander counterexample.
00020,BANCO DE LA PROVINCIA DE CORDOBA S.A.,1850325.878,511027;511108;515034;521022,,NO_RAW_ONLY,Six-digit raw is useful for universe/reconciliation but not sufficient for universal Annex-Q counterparty split after Santander counterexample.
00027,BANCO SUPERVIELLE S.A.,1978294.088,511027;511108;515034;521022;525042,,NO_RAW_ONLY,Six-digit raw is useful for universe/reconciliation but not sufficient for universal Annex-Q counterparty split after Santander counterexample.
00029,BANCO DE LA CIUDAD DE BUENOS AIRES,3695963.378,511027;521022,,NO_RAW_ONLY,Six-digit raw is useful for universe/reconciliation but not sufficient for universal Annex-Q counterparty split after Santander counterexample.
00034,BANCO PATAGONIA S.A.,2760641.847,511027;521022,,NO_RAW_ONLY,Six-digit raw is useful for universe/reconciliation but not sufficient for universal Annex-Q counterparty split after Santander counterexample.
00044,BANCO HIPOTECARIO S.A.,1362708.198,511027;511108;521022,,NO_RAW_ONLY,Six-digit raw is useful for universe/reconciliation but not sufficient for universal Annex-Q counterparty split after Santander counterexample.
00045,BANCO DE SAN JUAN S.A.,415317.331,511027;511108;521022,,NO_RAW_ONLY,Six-digit raw is useful for universe/reconciliation but not sufficient for universal Annex-Q counterparty split after Santander counterexample.
00065,BANCO MUNICIPAL DE ROSARIO,145804.94,511108,,NO_RAW_ONLY,Six-digit raw is useful for universe/reconciliation but not sufficient for universal Annex-Q counterparty split after Santander counterexample.
