entity,leg,raw_account,sep_raw_abs,sep_frozen_source,sep_diff,dec_raw_abs,dec_frozen_source,dec_diff,verdict
ICBC,income_bcra,511108,155837409,155837409,0,438280940,438280940,0,EXACT_MATCH
ICBC,income_otherfi,511027,197543,197543,0,344649,344649,0,EXACT_MATCH
ICBC,expense_otherfi,521022,889799,889799,0,2307851,2307851,0,EXACT_MATCH
VALORES,income_bcra,511108,73941249,73941249,0,245614573,245614573,0,EXACT_MATCH
VALORES,income_otherfi,511027,181075,181075,0,325492,325492,0,EXACT_MATCH
VALORES,expense_otherfi,521022,474355,474355,0,931695,931695,0,EXACT_MATCH
MACRO,income_bcra,511108,73509754,73509754,0,174358904,174358904,0,EXACT_MATCH
MACRO,income_otherfi,511027,42130,42130,0,5794175,5794175,0,EXACT_MATCH
CREDICOOP,income_bcra,511108,57895351,57895351,0,180887922,180887922,0,EXACT_MATCH
BAPRO,income_bcra,511108,412079305,412079305,0,1040489497,1040489497,0,EXACT_MATCH
BAPRO,expense_otherfi,521022,1584,1584,0,2428,2428,0,EXACT_MATCH
MACRO,expense_otherfi,521007+521022,7281804,7281804,0,,,,EXACT_MATCH_SUM
MACRO,expense_otherfi,521007+521022,13664897,,,13664897,13664897,0,EXACT_MATCH_SUM
