"collection","target","query_url","curl_exit","classification","response"
"CC-MAIN-2013-20","*.sigen.gov.ar/documentacion/plananualpdfs/*","https://index.commoncrawl.org/CC-MAIN-2013-20-index?url=%2A.sigen.gov.ar%2Fdocumentacion%2Fplananualpdfs%2F%2A&output=json&filter=status%3A200","28","SERVICE_ERROR","curl: (28) Connection timed out after 12012 milliseconds"
"CC-MAIN-2013-48","*.sigen.gov.ar/documentacion/plananualpdfs/*","https://index.commoncrawl.org/CC-MAIN-2013-48-index?url=%2A.sigen.gov.ar%2Fdocumentacion%2Fplananualpdfs%2F%2A&output=json&filter=status%3A200","28","SERVICE_ERROR","curl: (28) Connection timed out after 12016 milliseconds"
"CC-MAIN-2014-10","*.sigen.gov.ar/documentacion/plananualpdfs/*","https://index.commoncrawl.org/CC-MAIN-2014-10-index?url=%2A.sigen.gov.ar%2Fdocumentacion%2Fplananualpdfs%2F%2A&output=json&filter=status%3A200","28","SERVICE_ERROR","curl: (28) Connection timed out after 12004 milliseconds"
"CC-MAIN-2014-15","*.sigen.gov.ar/documentacion/plananualpdfs/*","https://index.commoncrawl.org/CC-MAIN-2014-15-index?url=%2A.sigen.gov.ar%2Fdocumentacion%2Fplananualpdfs%2F%2A&output=json&filter=status%3A200","28","SERVICE_ERROR","curl: (28) Connection timed out after 12008 milliseconds"
"CC-MAIN-2014-23","*.sigen.gov.ar/documentacion/plananualpdfs/*","https://index.commoncrawl.org/CC-MAIN-2014-23-index?url=%2A.sigen.gov.ar%2Fdocumentacion%2Fplananualpdfs%2F%2A&output=json&filter=status%3A200","28","SERVICE_ERROR","curl: (28) Connection timed out after 12005 milliseconds"
"CC-MAIN-2014-35","*.sigen.gov.ar/documentacion/plananualpdfs/*","https://index.commoncrawl.org/CC-MAIN-2014-35-index?url=%2A.sigen.gov.ar%2Fdocumentacion%2Fplananualpdfs%2F%2A&output=json&filter=status%3A200","28","SERVICE_ERROR","curl: (28) Connection timed out after 12007 milliseconds"
"CC-MAIN-2014-41","*.sigen.gov.ar/documentacion/plananualpdfs/*","https://index.commoncrawl.org/CC-MAIN-2014-41-index?url=%2A.sigen.gov.ar%2Fdocumentacion%2Fplananualpdfs%2F%2A&output=json&filter=status%3A200","28","SERVICE_ERROR","curl: (28) Connection timed out after 12004 milliseconds"
"CC-MAIN-2014-42","*.sigen.gov.ar/documentacion/plananualpdfs/*","https://index.commoncrawl.org/CC-MAIN-2014-42-index?url=%2A.sigen.gov.ar%2Fdocumentacion%2Fplananualpdfs%2F%2A&output=json&filter=status%3A200","28","SERVICE_ERROR","curl: (28) Connection timed out after 12005 milliseconds"
"CC-MAIN-2014-49","*.sigen.gov.ar/documentacion/plananualpdfs/*","https://index.commoncrawl.org/CC-MAIN-2014-49-index?url=%2A.sigen.gov.ar%2Fdocumentacion%2Fplananualpdfs%2F%2A&output=json&filter=status%3A200","28","SERVICE_ERROR","curl: (28) Connection timed out after 12003 milliseconds"
"CC-MAIN-2014-52","*.sigen.gov.ar/documentacion/plananualpdfs/*","https://index.commoncrawl.org/CC-MAIN-2014-52-index?url=%2A.sigen.gov.ar%2Fdocumentacion%2Fplananualpdfs%2F%2A&output=json&filter=status%3A200","28","SERVICE_ERROR","curl: (28) Connection timed out after 12015 milliseconds"
"CC-MAIN-2015-06","*.sigen.gov.ar/documentacion/plananualpdfs/*","https://index.commoncrawl.org/CC-MAIN-2015-06-index?url=%2A.sigen.gov.ar%2Fdocumentacion%2Fplananualpdfs%2F%2A&output=json&filter=status%3A200","28","SERVICE_ERROR","curl: (28) Connection timed out after 12002 milliseconds"
"CC-MAIN-2015-11","*.sigen.gov.ar/documentacion/plananualpdfs/*","https://index.commoncrawl.org/CC-MAIN-2015-11-index?url=%2A.sigen.gov.ar%2Fdocumentacion%2Fplananualpdfs%2F%2A&output=json&filter=status%3A200","28","SERVICE_ERROR","curl: (28) Connection timed out after 12008 milliseconds"
"CC-MAIN-2015-14","*.sigen.gov.ar/documentacion/plananualpdfs/*","https://index.commoncrawl.org/CC-MAIN-2015-14-index?url=%2A.sigen.gov.ar%2Fdocumentacion%2Fplananualpdfs%2F%2A&output=json&filter=status%3A200","0","CAPTURE_ROWS","<html> || <head><title>503 Service Temporarily Unavailable</title></head> || <body> || <center><h1>503 Service Temporarily Unavailable</h1></center> || <hr><center>nginx/1.31.4</center> || </body> || </html>"
"CC-MAIN-2015-18","*.sigen.gov.ar/documentacion/plananualpdfs/*","https://index.commoncrawl.org/CC-MAIN-2015-18-index?url=%2A.sigen.gov.ar%2Fdocumentacion%2Fplananualpdfs%2F%2A&output=json&filter=status%3A200","0","CAPTURE_ROWS","<html> || <head><title>503 Service Temporarily Unavailable</title></head> || <body> || <center><h1>503 Service Temporarily Unavailable</h1></center> || <hr><center>nginx/1.31.4</center> || </body> || </html>"
"CC-MAIN-2015-22","*.sigen.gov.ar/documentacion/plananualpdfs/*","https://index.commoncrawl.org/CC-MAIN-2015-22-index?url=%2A.sigen.gov.ar%2Fdocumentacion%2Fplananualpdfs%2F%2A&output=json&filter=status%3A200","0","CAPTURE_ROWS","<html> || <head><title>503 Service Temporarily Unavailable</title></head> || <body> || <center><h1>503 Service Temporarily Unavailable</h1></center> || <hr><center>nginx/1.31.4</center> || </body> || </html>"
"CC-MAIN-2015-27","*.sigen.gov.ar/documentacion/plananualpdfs/*","https://index.commoncrawl.org/CC-MAIN-2015-27-index?url=%2A.sigen.gov.ar%2Fdocumentacion%2Fplananualpdfs%2F%2A&output=json&filter=status%3A200","0","CAPTURE_ROWS","<html> || <head><title>503 Service Temporarily Unavailable</title></head> || <body> || <center><h1>503 Service Temporarily Unavailable</h1></center> || <hr><center>nginx/1.31.4</center> || </body> || </html>"
