filing_key,publicview_url,archived_publicview,property_id,original_filename,declared_size,blob_guid,cnv_declared_sha256_base64,cnv_declared_sha256_hex,local_path,size_bytes,served_sha256_base64,served_sha256_hex,declared_hash_matches_served_bytes,magic_valid,archived_at_utc
bma_9m2023,https://aif2.cnv.gov.ar/presentations/publicview/9d3ded55-6d87-4ca2-9feb-920d961f3acd,binaries/cnv_bma_9m2023_publicview.html,ABEstadoContable,EECC BMA 20230930 - Individual.pdf,2.73 MB,f4e5d0ab-4c5a-4b2e-02a9-1a1d14741d4c,aRmNf9g8RlrnZBDe5Y1Lqfkqibx7qyruwDCN94t66es=,69198d7fd83c465ae76410dee58d4ba9f92a89bc7bab2aeec0308df78b7ae9eb,binaries/cnv_attachments/bma_9m2023/estado_contable.pdf,2866184,sS6QOJmrHMsmOmeilJRmvmDWGa+Ois4OahSt5/5Fkto=,b12e903899ab1ccb263a67a2949466be60d619af8e8ace0e6a14ade7fe4592da,false,true,2026-08-31T13:25:06.825053+00:00
bma_9m2023,https://aif2.cnv.gov.ar/presentations/publicview/9d3ded55-6d87-4ca2-9feb-920d961f3acd,binaries/cnv_bma_9m2023_publicview.html,ABMemoria,No corresponde archivo obligatorio.pdf,0.08 MB,be477b5c-511a-4689-6b85-06a6eb38b5bb,KKoYUwIgG3Hd1VEgvBtc5RD8QOgP9Km0WCKE7ry0hRg=,28aa185302201b71ddd55120bc1b5ce510fc40e80ff4a9b4582284eebcb48518,binaries/cnv_attachments/bma_9m2023/memoria.pdf,81653,EFBz7AYgvI6r/wYqzjKJ3VJlmXP5nLn4PbcOXG6kMnc=,105073ec0620bc8eabff062ace3289dd52659973f99cb9f83db70e5c6ea43277,false,true,2026-08-31T13:25:06.927552+00:00
bma_9m2023,https://aif2.cnv.gov.ar/presentations/publicview/9d3ded55-6d87-4ca2-9feb-920d961f3acd,binaries/cnv_bma_9m2023_publicview.html,ABInformeAuditorIndependiente,20230930 Informe PwC Individual.pdf,0.08 MB,2a3d74c0-5bf4-4643-6788-5f578c667d52,EGBSmtKY9kvEnbmsFToAekvD/DSFU+zRWbu1d0wLnUE=,1060529ad298f64bc49db9ac153a007a4bc3fc348553ecd159bbb5774c0b9d41,binaries/cnv_attachments/bma_9m2023/informe_auditor_independiente.pdf,87854,KexwFNKMdNbowOP3COGiVj+AqXmPFCC0RgypNiJ5uOk=,29ec7014d28c74d6e8c0e3f708e1a2563f80a9798f1420b4460ca9362279b8e9,false,true,2026-08-31T13:25:07.037530+00:00
bma_9m2023,https://aif2.cnv.gov.ar/presentations/publicview/9d3ded55-6d87-4ca2-9feb-920d961f3acd,binaries/cnv_bma_9m2023_publicview.html,ABInformeComisionFiscalizadoraSindico,20230930 Informe CF Individual.pdf,0.07 MB,1aa3bd1e-ef8d-445f-0e70-8c49374f9695,0fa/Gd/BDVF4RRjWn3WyCD2hgTwRSz6bp6CykCOJAa8=,d1f6bf19dfc10d51784518d69f75b2083da1813c114b3e9ba7a0b290238901af,binaries/cnv_attachments/bma_9m2023/informe_comision_fiscalizadora_sindico.pdf,71967,OV/g1PDGPblXGWnO7ZgFoLYn3Mfgq5dBFvixpyuJTmY=,395fe0d4f0c63db9571969ceed9805a0b627dcc7e0ab974116f8b1a72b894e66,false,true,2026-08-31T13:25:07.138049+00:00
bma_9m2023,https://aif2.cnv.gov.ar/presentations/publicview/9d3ded55-6d87-4ca2-9feb-920d961f3acd,binaries/cnv_bma_9m2023_publicview.html,ABResenaInformativa,20230930 Reseña Informativa.pdf,0.15 MB,362325f1-94c3-4e7b-4b8d-69a621d2fe8b,8nqDOLA34WbQgOM2VS5efaN34Do+hXk7w9Gc3Mzgw6Y=,f27a8338b037e166d080e336552e5e7da377e03a3e85793bc3d19cdccce0c3a6,binaries/cnv_attachments/bma_9m2023/resena_informativa.pdf,155021,oKTPF32w0b/OLnZHFwOYFpThZ5Y5DRPcNkFveVGeCzI=,a0a4cf177db0d1bfce2e76471703981694e16796390d13dc36416f79519e0b32,false,true,2026-08-31T13:25:07.257411+00:00
bma_fy2023,https://aif2.cnv.gov.ar/presentations/publicview/36d0f59a-8e3f-42cd-bf18-db44e023f18d,binaries/cnv_bma_fy2023_publicview.html,ABEstadoContable,EECC BMA 20231231 - Separado.pdf,2.25 MB,39e368f5-4432-47b2-13b2-f1a383f47ec4,waISoUPP/qT8CPcvLD6ogt4jjPRtRSkMM2BWwvJNI0U=,c1a212a143cffea4fc08f72f2c3ea882de238cf46d45290c336056c2f24d2345,binaries/cnv_attachments/bma_fy2023/estado_contable.pdf,2359016,EOvKwqods5n6YEXeJ41K+Y1b08Sx8kxisraUkURmyJQ=,10ebcac2aa1db399fa6045de278d4af98d5bd3c4b1f24c62b2b694914466c894,false,true,2026-08-31T13:25:08.385955+00:00
bma_fy2023,https://aif2.cnv.gov.ar/presentations/publicview/36d0f59a-8e3f-42cd-bf18-db44e023f18d,binaries/cnv_bma_fy2023_publicview.html,ABMemoria,No corresponde archivo obligatorio.pdf,0.08 MB,04e77e07-312e-4ce4-2f3f-ca86fd9472ff,KKoYUwIgG3Hd1VEgvBtc5RD8QOgP9Km0WCKE7ry0hRg=,28aa185302201b71ddd55120bc1b5ce510fc40e80ff4a9b4582284eebcb48518,binaries/cnv_attachments/bma_fy2023/memoria.pdf,81653,EFBz7AYgvI6r/wYqzjKJ3VJlmXP5nLn4PbcOXG6kMnc=,105073ec0620bc8eabff062ace3289dd52659973f99cb9f83db70e5c6ea43277,false,true,2026-08-31T13:25:08.488264+00:00
bma_fy2023,https://aif2.cnv.gov.ar/presentations/publicview/36d0f59a-8e3f-42cd-bf18-db44e023f18d,binaries/cnv_bma_fy2023_publicview.html,ABInformeAuditorIndependiente,20231231 Informe PwC Separado.pdf,0.88 MB,85ca0955-cc0e-4408-374c-79fe361838f2,E8x1hN9fGx/h+BLkj1dXQ365a0apES7zcBl/LIvZt28=,13cc7584df5f1b1fe1f812e48f5757437eb96b46a9112ef370197f2c8bd9b76f,binaries/cnv_attachments/bma_fy2023/informe_auditor_independiente.pdf,923123,1PpDlqhOPjLYgK4bkjyeWgLK7BjWCb9I+btGFfxCxKE=,d4fa4396a84e3e32d880ae1b923c9e5a02caec18d609bf48f9bb4615fc42c4a1,false,true,2026-08-31T13:25:08.703897+00:00
bma_fy2023,https://aif2.cnv.gov.ar/presentations/publicview/36d0f59a-8e3f-42cd-bf18-db44e023f18d,binaries/cnv_bma_fy2023_publicview.html,ABInformeComisionFiscalizadoraSindico,20231231 Informe CF Separado.pdf,0.92 MB,5813a324-6c4a-4b7d-4f44-b2ef98560c9b,C0btu51HCodDngJaMJdJCjjHOf6ZRtTGterOMONETiE=,0b46edbb9d470a87439e025a3097490a38c739fe9946d4c6b5eace30e3444e21,binaries/cnv_attachments/bma_fy2023/informe_comision_fiscalizadora_sindico.pdf,963312,SfrPyk5dooPXHPm2slfGYrRaWahFb33qdCTIQGl2QlQ=,49facfca4e5da283d71cf9b6b257c662b45a59a8456f7dea7424c84069764254,false,true,2026-08-31T13:25:08.897166+00:00
bma_fy2023,https://aif2.cnv.gov.ar/presentations/publicview/36d0f59a-8e3f-42cd-bf18-db44e023f18d,binaries/cnv_bma_fy2023_publicview.html,ABResenaInformativa,No corresponde archivo obligatorio.pdf,0.08 MB,ed25f341-77fc-4617-c97c-1049f3e09355,KKoYUwIgG3Hd1VEgvBtc5RD8QOgP9Km0WCKE7ry0hRg=,28aa185302201b71ddd55120bc1b5ce510fc40e80ff4a9b4582284eebcb48518,binaries/cnv_attachments/bma_fy2023/resena_informativa.pdf,81653,EFBz7AYgvI6r/wYqzjKJ3VJlmXP5nLn4PbcOXG6kMnc=,105073ec0620bc8eabff062ace3289dd52659973f99cb9f83db70e5c6ea43277,false,true,2026-08-31T13:25:09.019685+00:00
hsbc_9m2023,https://aif2.cnv.gov.ar/presentations/publicview/d483d33a-5c86-4fbb-ab9c-6528bf43f572,binaries/cnv_hsbc_9m2023_publicview.html,ABEstadoContable,EEFF HSBC BANK 30-09-23.pdf,1.97 MB,4736dd30-d70a-4a83-be3a-f0ae2dd728e8,1CK24VwIFVqp1519INAuRmtCCSlHZ2MgW8r3lbm0Cxw=,d422b6e15c08155aa9d79d7d20d02e466b420929476763205bcaf795b9b40b1c,binaries/cnv_attachments/hsbc_9m2023/estado_contable.pdf,2061575,I5CnVWcgOuEG52WJNggM5l+SdYiivnCSTScq2N6waxQ=,2390a75567203ae106e7658936080ce65f927588a2be70924d272ad8deb06b14,false,true,2026-08-31T13:25:10.760756+00:00
hsbc_9m2023,https://aif2.cnv.gov.ar/presentations/publicview/d483d33a-5c86-4fbb-ab9c-6528bf43f572,binaries/cnv_hsbc_9m2023_publicview.html,ABMemoria,NO CORRESPONDE ARCHIVO OBLIGATORIO.pdf,0.08 MB,b38714ae-f7f4-48ab-4abb-0b1ff8277cd1,rFwkNufL3sa+/RCG5Mk5uQiiJcsdSqOicI0bZqKmz2o=,ac5c2436e7cbdec6befd1086e4c939b908a225cb1d4aa3a2708d1b66a2a6cf6a,binaries/cnv_attachments/hsbc_9m2023/memoria.pdf,80796,vGdPjfN4sOMZnZ83Vc9NTIsdCr5P2wb+fgR/eedKHEA=,bc674f8df378b0e3199d9f3755cf4d4c8b1d0abe4fdb06fe7e047f79e74a1c40,false,true,2026-08-31T13:25:10.891082+00:00
hsbc_9m2023,https://aif2.cnv.gov.ar/presentations/publicview/d483d33a-5c86-4fbb-ab9c-6528bf43f572,binaries/cnv_hsbc_9m2023_publicview.html,ABInformeAuditorIndependiente,HSBC IRL 30.09.2023.pdf,0.04 MB,f20c77d1-11f0-4b79-e29c-fd5a4b85a16e,6EeAtuaRqiF9uZQkr2EeZto//lVK2Ag5cHduhmcaS7o=,e84780b6e691aa217db99424af611e66da3ffe554ad8083970776e86671a4bba,binaries/cnv_attachments/hsbc_9m2023/informe_auditor_independiente.pdf,43696,sF8RvotRg6BO73EXLKeqgtiW+a+fdAa6wqqTG+m+0ns=,b05f11be8b5183a04eef71172ca7aa82d896f9af9f7406bac2aa931be9bed27b,false,true,2026-08-31T13:25:11.018235+00:00
hsbc_9m2023,https://aif2.cnv.gov.ar/presentations/publicview/d483d33a-5c86-4fbb-ab9c-6528bf43f572,binaries/cnv_hsbc_9m2023_publicview.html,ABInformeComisionFiscalizadoraSindico,HBAR - Informe de CF sobre EECC (septiembre 2023).pdf,0.01 MB,7f214453-e8c6-49bc-48a7-4bb1f762d8dd,w468FZ1K/6NB7OYo00QwjD8nCiLfJhframRTbyfYT10=,c38ebc159d4affa341ece628d344308c3f270a22df2617eb6a64536f27d84f5d,binaries/cnv_attachments/hsbc_9m2023/informe_comision_fiscalizadora_sindico.pdf,8289,snhRy6WnXgZdIZa8z9bsLGNZQ6ZeMbUn/GlFOLlMFiU=,b27851cba5a75e065d2196bccfd6ec2c635943a65e31b527fc694538b94c1625,false,true,2026-08-31T13:25:11.147135+00:00
