log_id,surface,query_or_target,result,classification,limit_or_next_step
CC172_001,Common Crawl exact prefix,https://index.commoncrawl.org/CC-MAIN-2014-49-index?url=sigen.gov.ar%2Fdocumentacion%2Fplananualpdfs%2F&matchType=prefix&output=json&filter=status%3A200,NO_CAPTURE_VALID,NO_CAPTURE_VALID,Negativo limitado a colección y host; no prueba ausencia institucional.
CC172_002,Common Crawl exact prefix,https://index.commoncrawl.org/CC-MAIN-2014-49-index?url=www.sigen.gov.ar%2Fdocumentacion%2Fplananualpdfs%2F&matchType=prefix&output=json&filter=status%3A200,NO_CAPTURE_VALID,NO_CAPTURE_VALID,Negativo limitado a colección y host; no prueba ausencia institucional.
CC172_003,Common Crawl exact prefix,https://index.commoncrawl.org/CC-MAIN-2016-18-index?url=sigen.gov.ar%2Fdocumentacion%2Fplananualpdfs%2F&matchType=prefix&output=json&filter=status%3A200,NO_CAPTURE_VALID,NO_CAPTURE_VALID,Negativo limitado a colección y host; no prueba ausencia institucional.
CC172_004,Common Crawl exact prefix,https://index.commoncrawl.org/CC-MAIN-2016-18-index?url=www.sigen.gov.ar%2Fdocumentacion%2Fplananualpdfs%2F&matchType=prefix&output=json&filter=status%3A200,NO_CAPTURE_VALID,NO_CAPTURE_VALID,Negativo limitado a colección y host; no prueba ausencia institucional.
CC172_005,Common Crawl exact prefix,https://index.commoncrawl.org/CC-MAIN-2016-22-index?url=sigen.gov.ar%2Fdocumentacion%2Fplananualpdfs%2F&matchType=prefix&output=json&filter=status%3A200,NO_CAPTURE_VALID,NO_CAPTURE_VALID,Negativo limitado a colección y host; no prueba ausencia institucional.
CC172_006,Common Crawl exact prefix,https://index.commoncrawl.org/CC-MAIN-2016-22-index?url=www.sigen.gov.ar%2Fdocumentacion%2Fplananualpdfs%2F&matchType=prefix&output=json&filter=status%3A200,NO_CAPTURE_VALID,NO_CAPTURE_VALID,Negativo limitado a colección y host; no prueba ausencia institucional.
CC172_007,Common Crawl exact prefix,https://index.commoncrawl.org/CC-MAIN-2016-26-index?url=sigen.gov.ar%2Fdocumentacion%2Fplananualpdfs%2F&matchType=prefix&output=json&filter=status%3A200,NO_CAPTURE_VALID,NO_CAPTURE_VALID,Negativo limitado a colección y host; no prueba ausencia institucional.
CC172_008,Common Crawl exact prefix,https://index.commoncrawl.org/CC-MAIN-2016-26-index?url=www.sigen.gov.ar%2Fdocumentacion%2Fplananualpdfs%2F&matchType=prefix&output=json&filter=status%3A200,NO_CAPTURE_VALID,NO_CAPTURE_VALID,Negativo limitado a colección y host; no prueba ausencia institucional.
CC172_009,Common Crawl exact prefix,https://index.commoncrawl.org/CC-MAIN-2016-30-index?url=sigen.gov.ar%2Fdocumentacion%2Fplananualpdfs%2F&matchType=prefix&output=json&filter=status%3A200,NO_CAPTURE_VALID,NO_CAPTURE_VALID,Negativo limitado a colección y host; no prueba ausencia institucional.
CC172_010,Common Crawl exact prefix,https://index.commoncrawl.org/CC-MAIN-2016-30-index?url=www.sigen.gov.ar%2Fdocumentacion%2Fplananualpdfs%2F&matchType=prefix&output=json&filter=status%3A200,NO_CAPTURE_VALID,NO_CAPTURE_VALID,Negativo limitado a colección y host; no prueba ausencia institucional.
