role,relative_path,source_url,size_bytes,sha256,format_verification
V175_PUBLIC_SOURCE,/research/ciclo_ajuste/inputs/historical_retrieval/v175/binaries/argentina_decreto_1795_2009_pacios_renuncia.html,https://www.argentina.gob.ar/normativa/nacional/norma-160448,33171,cbf76d8de865fce97f2fb26937a4faa2ed7c9020337da0ee9f9d3caa8c9faa60,HTML_CONTENT_PASS_TLS_VALID
V175_PUBLIC_SOURCE,/research/ciclo_ajuste/inputs/historical_retrieval/v175/binaries/argentina_decreto_1796_2009_reposo_designacion.html,https://www.argentina.gob.ar/normativa/nacional/norma-160449,32962,7e2cae58d83017beece911e8cc59f6a5d9919e9d1313edcefd37e751c7772eec,HTML_CONTENT_PASS_TLS_VALID
V175_PUBLIC_SOURCE,/research/ciclo_ajuste/inputs/historical_retrieval/v175/binaries/argentina_decreto_759_1966_actualizado.html,https://www.argentina.gob.ar/normativa/nacional/123084/actualizacion,54292,3808eede740c2f0986cc3bd76198165179e6791c6b0bc0b099c22fad7a331a10,HTML_CONTENT_PASS_TLS_VALID
V175_PUBLIC_SOURCE,/research/ciclo_ajuste/inputs/historical_retrieval/v175/binaries/argentina_resolucion_2600_2009.html,https://www.argentina.gob.ar/normativa/nacional/resoluci%C3%B3n-2600-2009-163154/texto,53893,38b9ca150241ad4e4ea7a7689dd40704f237c95ddd5c8c54c120d4a84b91d266,HTML_CONTENT_PASS_TLS_VALID
V175_PUBLIC_SOURCE,/research/ciclo_ajuste/inputs/historical_retrieval/v175/binaries/cgn_cuenta_2010_uepex.html,https://www.economia.gob.ar/hacienda/cgn/cuenta/2010/sep/uepex.htm,115479,87554e2a514327f06fd41692d35e4841d3f1708de08d637d8d36a08ad43a2e27,HTML_CONTENT_PASS_CERT_EXPIRED_OR_INVALID_AT_RETRIEVAL
V175_PUBLIC_SOURCE,/research/ciclo_ajuste/inputs/historical_retrieval/v175/binaries/cgn_cuenta_2011_uepex.html,https://www.economia.gob.ar/hacienda/cgn/cuenta/2011/sep/uepex.htm,67561,fe91cb5dddeb344a46db71ec4833679028d6166f70e141a0a23c36288e3b1ff3,HTML_CONTENT_PASS_CERT_EXPIRED_OR_INVALID_AT_RETRIEVAL
V175_PUBLIC_SOURCE,/research/ciclo_ajuste/inputs/historical_retrieval/v175/binaries/cgn_cuenta_2012_uepex.html,https://www.economia.gob.ar/hacienda/cgn/cuenta/2012/sep/uepex.htm,41470,1c4e300dca6cdf334d978b585b2f6beb85f7cb8b8669853bc32ebbae3539e699,HTML_CONTENT_PASS_CERT_EXPIRED_OR_INVALID_AT_RETRIEVAL
V175_PUBLIC_SOURCE,/research/ciclo_ajuste/inputs/historical_retrieval/v175/binaries/cgn_cuenta_2013_uepex.html,https://www.economia.gob.ar/hacienda/cgn/cuenta/2013/sep/uepex.htm,57243,066323301806c56d9a971f6f290481c4c230dc1313ced197a777605ae2f1ab6f,HTML_CONTENT_PASS_CERT_EXPIRED_OR_INVALID_AT_RETRIEVAL
V175_PUBLIC_SOURCE,/research/ciclo_ajuste/inputs/historical_retrieval/v175/binaries/sigen_memoria_2009.pdf,https://www.argentina.gob.ar/sites/default/files/memoria_sigen_2009.pdf,97057,c10d014fc500d2fe66387944bd18a4e2c6e4137d39c85859014a07b49230ddcf,PDF_VISUAL_PASS_TLS_VALID
V175_PUBLIC_SOURCE,/research/ciclo_ajuste/inputs/historical_retrieval/v175/binaries/vlex_pjn_tocf4_cfp_2111_2010_to1_2017.html,https://ar.vlex.com/vid/principal-tribunal-oral-to01-694793069,173290,bc733cf8af88daae86bce5d1374dd1acfff72d49163633c064b58f1e91f96692,HTML_CONTENT_PASS_PUBLIC_JUDICIAL_REPRODUCTION_NONOFFICIAL_HOST
