date,period,tna_personal_total_pct,source,notes
2016-08-01,PRE_A5928,42.22,BCRA daily personal-loan TNA series; Com C72517/C72826 and later revisions,weighted by amount effectively disbursed; all financial entities
2016-08-02,PRE_A5928,42.65,BCRA daily personal-loan TNA series; Com C72517/C72826 and later revisions,weighted by amount effectively disbursed; all financial entities
2016-08-03,PRE_A5928,42.56,BCRA daily personal-loan TNA series; Com C72517/C72826 and later revisions,weighted by amount effectively disbursed; all financial entities
2016-08-04,PRE_A5928,42.56,BCRA daily personal-loan TNA series; Com C72517/C72826 and later revisions,weighted by amount effectively disbursed; all financial entities
2016-08-05,PRE_A5928,42.81,BCRA daily personal-loan TNA series; Com C72517/C72826 and later revisions,weighted by amount effectively disbursed; all financial entities
2016-08-08,PRE_A5928,43.28,BCRA daily personal-loan TNA series; Com C72517/C72826 and later revisions,weighted by amount effectively disbursed; all financial entities
2016-08-09,PRE_A5928,42.23,BCRA daily personal-loan TNA series; Com C72517/C72826 and later revisions,weighted by amount effectively disbursed; all financial entities
2016-08-10,PRE_A5928,42.70,BCRA daily personal-loan TNA series; Com C72517/C72826 and later revisions,weighted by amount effectively disbursed; all financial entities
2016-08-11,PRE_A5928,42.78,BCRA daily personal-loan TNA series; Com C72517/C72826 and later revisions,weighted by amount effectively disbursed; all financial entities
2016-08-12,PRE_A5928,43.46,BCRA daily personal-loan TNA series; Com C72517/C72826 and later revisions,weighted by amount effectively disbursed; all financial entities
2016-08-16,PRE_A5928,42.26,BCRA daily personal-loan TNA series; Com C72517/C72826 and later revisions,weighted by amount effectively disbursed; all financial entities
2016-08-17,PRE_A5928,42.08,BCRA daily personal-loan TNA series; Com C72517/C72826 and later revisions,weighted by amount effectively disbursed; all financial entities
2016-08-18,PRE_A5928,42.13,BCRA daily personal-loan TNA series; Com C72517/C72826 and later revisions,weighted by amount effectively disbursed; all financial entities
2016-08-19,PRE_A5928,43.19,BCRA daily personal-loan TNA series; Com C72517/C72826 and later revisions,weighted by amount effectively disbursed; all financial entities
2016-08-22,PRE_A5928,42.34,BCRA daily personal-loan TNA series; Com C72517/C72826 and later revisions,weighted by amount effectively disbursed; all financial entities
2016-08-23,PRE_A5928,42.19,BCRA daily personal-loan TNA series; Com C72517/C72826 and later revisions,weighted by amount effectively disbursed; all financial entities
2016-08-24,PRE_A5928,41.84,BCRA daily personal-loan TNA series; Com C72517/C72826 and later revisions,weighted by amount effectively disbursed; all financial entities
2016-08-25,PRE_A5928,42.14,BCRA daily personal-loan TNA series; Com C72517/C72826 and later revisions,weighted by amount effectively disbursed; all financial entities
2016-08-26,PRE_A5928,42.21,BCRA daily personal-loan TNA series; Com C72517/C72826 and later revisions,weighted by amount effectively disbursed; all financial entities
2016-08-29,PRE_A5928,41.90,BCRA daily personal-loan TNA series; Com C72517/C72826 and later revisions,weighted by amount effectively disbursed; all financial entities
2016-08-30,PRE_A5928,41.86,BCRA daily personal-loan TNA series; Com C72517/C72826 and later revisions,weighted by amount effectively disbursed; all financial entities
2016-08-31,PRE_A5928,40.93,BCRA daily personal-loan TNA series; Com C72517/C72826 and later revisions,weighted by amount effectively disbursed; all financial entities
2016-09-01,POST_A5928,42.69,BCRA Comunicación C72910,weighted by amount effectively disbursed; all financial entities
2016-09-02,POST_A5928,43.18,BCRA Comunicación C72910,weighted by amount effectively disbursed; all financial entities
2016-09-05,POST_A5928,42.80,BCRA Comunicación C72910,weighted by amount effectively disbursed; all financial entities
2016-09-06,POST_A5928,42.54,BCRA Comunicación C72910,weighted by amount effectively disbursed; all financial entities
2016-09-07,POST_A5928,42.22,BCRA Comunicación C72910,weighted by amount effectively disbursed; all financial entities
2016-09-08,POST_A5928,43.31,BCRA Comunicación C72910,weighted by amount effectively disbursed; all financial entities
2016-09-09,POST_A5928,43.57,BCRA Comunicación C72910,weighted by amount effectively disbursed; all financial entities
2016-09-12,POST_A5928,42.78,BCRA Comunicación C72910,weighted by amount effectively disbursed; all financial entities
2016-09-13,POST_A5928,42.40,BCRA Comunicación C72910,weighted by amount effectively disbursed; all financial entities
2016-09-14,POST_A5928,42.94,BCRA Comunicación C72910,weighted by amount effectively disbursed; all financial entities
2016-09-15,POST_A5928,42.98,BCRA Comunicación C72910,weighted by amount effectively disbursed; all financial entities
2016-09-16,POST_A5928,43.39,BCRA Comunicación C72910,weighted by amount effectively disbursed; all financial entities
2016-09-19,POST_A5928,43.10,BCRA Comunicación C72910,weighted by amount effectively disbursed; all financial entities
2016-09-20,POST_A5928,42.13,BCRA Comunicación C72910,weighted by amount effectively disbursed; all financial entities
2016-09-21,POST_A5928,42.53,BCRA Comunicación C72910,weighted by amount effectively disbursed; all financial entities
2016-09-22,POST_A5928,42.45,BCRA Comunicación C72910,weighted by amount effectively disbursed; all financial entities
2016-09-23,POST_A5928,42.73,BCRA Comunicación C72910,weighted by amount effectively disbursed; all financial entities
2016-09-26,POST_A5928,41.43,BCRA Comunicación C72910,weighted by amount effectively disbursed; all financial entities
2016-09-27,POST_A5928,42.62,BCRA Comunicación C72910,weighted by amount effectively disbursed; all financial entities
2016-09-28,POST_A5928,42.13,BCRA Comunicación C72910,weighted by amount effectively disbursed; all financial entities
2016-09-29,POST_A5928,42.03,BCRA Comunicación C72910,weighted by amount effectively disbursed; all financial entities
2016-09-30,POST_A5928,41.45,BCRA Comunicación C72910,weighted by amount effectively disbursed; all financial entities
