periodo,salario_registrado_real_qoq_pct,salario_total_real_qoq_pct,consumo_privado_sa_qoq_pct_central,consumo_qoq_min_vintage_pct,consumo_qoq_max_vintage_pct,estado_secuencia,carga_servicio_deuda_sobre_masa_salarial_pct,irregularidad_bancaria_hogares_pct,irregularidad_pnfc_personales_pct,irregularidad_bancaria_personales_pct,nota_metodologica
2023-Q3,,,,,,pre_shock,,,,,baseline income
2023-Q4,-7.5,-8.42,,,,shock_dec_2023,9.4,,,,BCRA burden Sep-2023 used as pre-shock anchor
2024-Q1,-12.26,-13.57,-2.9,-2.6,-2.9,income_trough_credit_low,9.0,,,,consumption magnitude vintage-sensitive; sign robust
2024-Q2,4.24,3.99,,-4.1,-1.6,income_recovery_credit_accelerates,,,,,large national-accounts revisions; do not choose one silently
2024-Q3,4.88,7.13,5.1,5.1,5.1,strong_consumption_rebound_better_vintages,13.0,,,,Sep-2024 burden approx 13%
2024-Q4,2.17,4.23,,3.0,4.2,consumption_rebound_credit_deepens,,,,,magnitude revised across vintages
2025-Q1,-0.3,2.13,2.2,2.2,2.2,credit_deepening_debt_service_jump,18.7,,,,Mar-2025 burden exact BCRA
2025-Q2,-0.34,1.99,1.0,1.0,1.0,more_debtors_higher_real_balance,,,,,latest Jun-2026 vintage q/q
2025-Q3,0.67,2.86,0.6,0.6,0.6,credit_expansion_risk_materializing,,,,,latest Jun-2026 vintage q/q
2025-Q4,-1.34,-0.19,1.1,1.1,1.1,mora_households_9_3,,9.3,,,bank household irregularity Dec-2025
2026-Q1,-2.38,-1.65,0.8,0.8,0.8,high_residue_pnfc,,,34.1,13.8,PNFC personal and bank personal Feb-2026
2026-Q2,,,,,,bank_household_mora_12_8,,12.8,,,Jun-2026 bank household irregularity
