month,auh_full_general,monthly_cash_share,auh_monthly_cash,source_note,source_url
2024-01,41322,0.80,33057.60,"D117/2023 + ANSES: duplicación desde enero; 80% mensual",https://www.anses.gob.ar/noticias/aumenta-la-auh-anses-cual-es-el-nuevo-monto-por-hijo-y-cuando-se-paga-en-enero
2024-02,41322,0.80,33057.60,"sin cambio respecto de enero",https://www.anses.gob.ar/noticias/aumenta-la-auh-anses-cual-es-el-nuevo-monto-por-hijo-y-cuando-se-paga-en-enero
2024-03,52554,0.80,42043.20,"movilidad marzo; ANSES I Trim 2024",https://www.anses.gob.ar/estudiosyestadisticas/boletin-auh-marzo-2024
2024-04,52554,0.80,42043.20,"sin nuevo cambio de AUH hasta junio",https://www.anses.gob.ar/estudiosyestadisticas/boletin-auh-marzo-2024
2024-05,52554,0.80,42043.20,"sin nuevo cambio de AUH hasta junio",https://www.anses.gob.ar/estudiosyestadisticas/boletin-auh-marzo-2024
2024-06,74354,0.80,59483.20,"movilidad 41,48%",https://www.anses.gob.ar/noticias/las-jubilaciones-y-pensiones-aumentaran-un-883-por-ciento-en-junio
2024-07,77462,0.80,61969.60,"movilidad IPC 4,18%",https://www.anses.gob.ar/noticias/las-jubilaciones-y-pensiones-aumentaran-un-418-por-ciento-en-julio
2024-08,81080,0.80,64864.00,"movilidad 4,58%",https://www.anses.gob.ar/noticias/nuevo-aumento-en-las-asignaciones-familiares-jubilaciones-y-pensiones-partir-de-agosto
2024-09,84275,0.80,67420.00,"movilidad 4,03%",https://www.anses.gob.ar/noticias/en-septiembre-las-jubilaciones-pensiones-y-asignaciones-aumentaran-403-por-ciento
2024-10,87790,0.80,70232.00,"movilidad 4,17%",https://www.anses.gob.ar/noticias/en-octubre-las-jubilaciones-pensiones-y-asignaciones-aumentaran-417-por-ciento
2024-11,90837,0.80,72669.60,"movilidad 3,47%",https://www.anses.gob.ar/noticias/en-noviembre-las-jubilaciones-pensiones-y-asignaciones-aumentaran-347-por-ciento
2024-12,93281,0.80,74624.80,"movilidad 2,69%",https://www.anses.gob.ar/noticias/en-diciembre-las-jubilaciones-pensiones-y-asignaciones-aumentaran-269-por-ciento
