Fecha,Salarios registrados (total),Privado registrado,Público registrado,Privado no registrado,RIPTE,Jubilación mínima (sin bonos)
2019-11-01,111.9637,111.5592,112.6814,160.8983,119.1056,162.1020
2019-12-01,110.1735,109.2320,111.8451,163.4693,117.1988,170.0094
2020-01-01,114.4458,115.7378,112.1419,166.1559,122.4739,165.9585
2020-02-01,116.2502,118.2709,112.6589,167.4920,127.0998,162.0977
2020-03-01,116.0595,117.3259,113.8139,168.0422,124.3168,177.5742
2020-04-01,114.1594,115.0810,112.5174,166.3377,122.3977,174.5788
2020-05-01,112.3918,112.9929,111.3191,162.8912,120.6797,171.8199
2020-06-01,110.2761,110.5833,109.7325,161.6097,120.6447,178.2038
2020-07-01,108.8833,109.2681,108.2030,164.3208,121.8546,173.8009
2020-08-01,107.3599,108.2296,105.8184,165.4331,118.9065,168.6843
2020-09-01,107.5945,108.0762,106.7391,165.4553,118.3993,177.2294
2020-10-01,108.7322,110.0467,106.3979,163.3819,119.7015,171.3030
2020-11-01,107.0577,108.6706,104.1867,168.8658,116.6170,164.8132
2020-12-01,104.0074,105.2822,101.7396,163.0262,113.4019,165.0159
2021-01-01,103.5595,105.3979,100.2888,160.7396,111.1372,158.7976
2021-02-01,104.1665,106.4839,100.0494,158.8242,113.3658,152.5877
2021-03-01,104.8379,105.9077,102.9390,158.4113,113.7314,157.7611
2021-04-01,103.8931,106.0926,99.9815,153.7146,115.5059,150.8825
2021-05-01,103.7020,106.1214,99.3989,149.8880,112.9564,145.8087
2021-06-01,102.6258,104.2225,99.7885,146.3509,113.1015,157.7852
2021-07-01,104.9462,106.2723,102.5854,145.3120,114.5447,152.9912
2021-08-01,105.1292,106.4968,102.6919,144.4833,113.6654,148.3448
2021-09-01,106.5602,106.8478,106.0443,141.0873,114.7263,161.4552
2021-10-01,107.0685,107.3793,106.5198,144.4426,115.1596,156.4473
2021-11-01,107.6911,108.6490,105.9856,145.9724,115.0209,151.5188
2021-12-01,105.0730,105.5531,104.2178,147.9523,112.3385,162.6771
2022-01-01,105.8019,106.9131,103.8305,146.8756,113.8023,157.4770
2022-02-01,104.6784,106.3211,101.7591,143.6527,114.0836,150.7667
2022-03-01,106.0209,105.3456,107.2238,142.6110,115.6251,159.0999
2022-04-01,103.8546,104.2472,103.1552,143.0816,114.7788,149.0971
2022-05-01,105.4821,105.9988,104.5654,140.3933,113.5128,141.7248
2022-06-01,105.2948,105.9779,104.0789,139.7395,114.2425,155.0971
2022-07-01,104.0621,104.0570,104.0724,134.0659,112.1087,144.5065
2022-08-01,104.0027,105.3660,101.5787,132.3204,109.7653,135.3037
2022-09-01,104.9624,105.6693,103.7053,135.3950,110.5884,148.1530
2022-10-01,104.9546,105.4198,104.1283,132.2872,110.4848,140.3640
2022-11-01,106.9643,108.0264,105.0779,134.4096,111.3780,133.9915
2022-12-01,107.9092,107.2964,108.9977,128.3932,111.5457,147.1919
2023-01-01,106.8715,106.5207,107.4968,130.0778,109.9167,139.7141
2023-02-01,104.9916,105.7406,103.6601,129.3499,110.6569,129.7371
2023-03-01,108.5802,106.3980,112.4596,127.9801,113.2929,141.6324
2023-04-01,105.9983,104.8881,107.9720,123.7858,114.7947,130.6564
2023-05-01,106.4172,105.1861,108.6038,118.4499,113.0484,121.1557
2023-06-01,105.7434,104.4074,108.1188,119.5652,114.7843,137.5696
2023-07-01,110.9243,108.6077,115.0413,120.1413,115.7730,129.1764
2023-08-01,104.7667,103.4074,107.1818,114.6014,107.7127,113.5250
2023-09-01,103.8059,103.2239,104.8414,108.5652,103.9415,123.3956
2023-10-01,103.8735,103.1478,105.1632,104.6701,106.7140,113.4036
2023-11-01,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
2023-12-01,85.0181,86.5735,82.2525,83.9179,84.4581,94.2395
2024-01-01,82.9085,86.4077,76.6869,77.6503,80.5504,78.3915
2024-02-01,84.4767,87.7763,78.6108,73.1056,79.9683,69.8116
2024-03-01,85.1889,88.2375,79.7693,73.3289,83.3411,81.1486
2024-04-01,88.5284,92.9414,80.6829,74.3454,91.0291,97.2573
2024-05-01,92.0547,96.4734,84.1990,80.1309,94.1746,104.0783
2024-06-01,93.9519,99.3036,84.4369,84.4309,96.4046,109.2785
2024-07-01,96.3342,101.6835,86.8239,93.6165,99.0101,109.6938
2024-08-01,97.0677,102.5795,87.2683,99.4212,98.6989,110.1781
2024-09-01,97.5884,103.0805,87.8240,106.2499,99.5373,110.9973
2024-10-01,98.6874,104.1155,89.0369,111.1450,103.1317,112.3478
2024-11-01,99.0567,104.6883,89.0444,117.0219,103.2479,113.1738
2024-12-01,98.3352,104.2781,87.7696,121.1482,102.0860,112.6175
2025-01-01,97.8175,104.1791,86.5074,128.4579,102.3254,112.6530
2025-02-01,97.8890,103.5596,87.8076,134.7087,105.5176,112.4118
2025-03-01,97.2537,102.5259,87.8803,137.2055,106.4006,111.3412
2025-04-01,96.5288,101.8464,87.0751,143.1467,106.0425,110.4624
2025-05-01,96.7186,101.6260,87.9940,147.8613,105.6901,112.1191
2025-06-01,96.5967,101.6452,87.6212,158.3002,106.7804,113.2944
2025-07-01,97.2901,102.3395,88.3131,161.5712,108.2733,113.3177
2025-08-01,97.6505,102.5387,88.9601,167.8912,107.4813,112.8458
2025-09-01,97.0759,102.0125,88.2995,174.2045,106.9659,112.8504
2025-10-01,96.8865,101.8755,88.0167,177.6532,107.4255,112.4787
2025-11-01,96.1024,101.3687,86.7399,176.0020,105.8989,111.8661
2025-12-01,95.1645,100.8733,85.0152,171.0550,104.1640,111.1127
2026-01-01,94.6066,100.3837,84.3358,173.9470,102.2895,110.9391
2026-02-01,93.4408,98.9056,83.7254,176.5618,104.5427,110.6965
2026-03-01,93.2903,97.8220,85.2336,179.1737,103.7249,110.3651
2026-04-01,94.3523,99.4610,85.2699,183.3790,104.9439,111.0271
2026-05-01,,,,,103.6628,112.6358
2026-06-01,,,,,105.7108,113.7563
2026-07-01,,,,,,114.1674
