carrier,bytes,sha256,type,validation_status,detail
FRONTERA_CICLO_AJUSTE_V60_QUARTERLY_AQ_COUNTERPARTY_CORRECTION(4).zip,1516418,ccabf5d7fb2e132b84f34c7ae16e64b9968386769e47dc8d2208cfafcd282dd3,zip,zip_ok,
FRONTERA_CICLO_AJUSTE_V61_SYSTEM_Q4_AQ_PASS_NETTING(4).zip,1544918,7d18bbb46a57c812788bfd7aee3acd14768358a4c160f77f4e048ad9ea0e5bc4,zip,zip_ok,
FRONTERA_CICLO_AJUSTE_V62_MACHINE_READABLE_ENTITY_AGGREGATION(4).zip,1554965,b02db0146c948cc03eeb1ea364e8e012fdfa3caae092e3d168ed4da51e1dee3b,zip,zip_ok,
FRONTERA_CICLO_AJUSTE_V63_FOUR_LEG_PASS_CLOSED_NETWORK_GATE(4).zip,1568045,0b7affeac40fe4075b3bf136a78b07df714fa9b60898945210f49d89b1568043,zip,zip_ok,
FRONTERA_CICLO_AJUSTE_V64_CLOSED_PASS_NETWORK_COVERAGE_AND_SECTOR_MAPPING(3).zip,1587524,4e39d1a1f1cf96a56e37a907aae2ceac80c5f3dcdce86e86bc97f618989ea1df,zip,zip_ok,
FRONTERA_CICLO_AJUSTE_V65_BASIS_HARMONIZATION_AND_INDIVIDUAL_NETWORK_GATE(3).zip,1609028,f5f89ad51d5920f0e29bbc09ba99090db4ee709b9a1a022b4f7420b23be9e684,zip,zip_ok,
FRONTERA_CICLO_AJUSTE_V66_INDIVIDUAL_AQ_RETRIEVAL_AND_NETWORK_EXPANSION(3).zip,1635331,b3e0c547193dafc43f8b9461ad95f028b54c7b43df2aa3f5eac954e20e152672,zip,zip_ok,
FRONTERA_CICLO_AJUSTE_V67_MACRO_FOUR_LEG_AND_LARGE_BANK_SCALEUP(3).zip,1663160,8f09122139f8f4ac7c6a198a3f8be2c088145af95810df2a05dd0af926477ccf,zip,zip_ok,
FRONTERA_CICLO_AJUSTE_V68_PRIMARY_RECOVERY_AND_DISCLOSURE_GAP(3).zip,1694882,e92da984bf73b393d410a0f6235bb0a80e0d2d1e511f3383a172e47744beb6bd,zip,zip_ok,
FRONTERA_CICLO_AJUSTE_V69_PUBLIC_BANK_SOURCE_PATH_AND_COVERAGE_PRIORITY(3).zip,1730801,729eae35e42d651273ec51c2a3b12d5fb7ea5e53ff3b75875978bbfcb7bad43d,zip,zip_ok,
