missing_id,scope,tema,institucion,titulo,catalog_url,candidate_binary_url,extension,status,priority,origin,reason
bcra_boldat202505_tipo_titular,master_catalog,ciclo_ajuste_hogares,BCRA,Boletín Estadístico mayo 2025 · tipo de titular/destino,https://www7.bcra.gob.ar/Pdfs/PublicacionesEstadisticas/BoletinEstadistico/boldat202505.pdf,https://www7.bcra.gob.ar/Pdfs/PublicacionesEstadisticas/BoletinEstadistico/boldat202505.pdf,.pdf,DIRECT_BINARY_ACTIONABLE_ROUND3,P2,data/fuentes/FUENTES.csv,Round2 failed due unresolved legacy host www7.bcra.gob.ar; retained for retry/manual alias discovery.
bcra_ief_1s2018_ciclo,master_catalog,ciclo_ajuste_bancos,BCRA,IEF · primer semestre 2018,https://www.bcra.gob.ar/publicaciones/informe-de-estabilidad-financiera-primer-semestre-de-2018/,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/ief0118.pdf,.pdf,DIRECT_BINARY_ACTIONABLE_ROUND3,P2,data/fuentes/FUENTES.csv,Official direct binary endpoint discovered from the cited BCRA publication page during V96 archaeology batch4; physical binary still missing.
bcra_ief_1s2019_ciclo,master_catalog,ciclo_ajuste_bancos,BCRA,IEF · primer semestre 2019,https://www.bcra.gob.ar/publicaciones/informe-de-estabilidad-financiera-primer-semestre-2019/,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/ief0119.pdf,.pdf,DIRECT_BINARY_ACTIONABLE_ROUND3,P2,data/fuentes/FUENTES.csv,Official direct binary endpoint discovered from the cited BCRA publication page during V96 archaeology batch4; physical binary still missing.
bcra_ief_2s2023_ciclo,master_catalog,ciclo_ajuste_bancos,BCRA,IEF · segundo semestre 2023,https://www.bcra.gob.ar/publicaciones/informe-de-estabilidad-financiera-segundo-semestre-de-2023/,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/ief0223.pdf,.pdf,DIRECT_BINARY_ACTIONABLE_ROUND3,P2,data/fuentes/FUENTES.csv,Official direct binary endpoint discovered from the cited BCRA publication page during V96 archaeology batch4; physical binary still missing.
bcra_iif_1s2024_ahorro_ph,master_catalog,ahorro_hogares,BCRA,Informe de Inclusión Financiera · primer semestre 2024,https://www.bcra.gob.ar/publicaciones/informe-de-inclusion-financiera-primer-semestre-2024/,https://www.bcra.gob.ar/archivos/pdfs/PublicacionesEstadisticas/Informe-inclusion-%20financiera-octubre-24.pdf,.pdf,DIRECT_BINARY_ACTIONABLE_ROUND3,P2,data/fuentes/FUENTES.csv,Official direct binary endpoint discovered from the cited BCRA publication page during V96 archaeology batch4; physical binary still missing.
bcra_iif_1s2025_mora,master_catalog,mora_causal,BCRA,Informe de Inclusión Financiera primer semestre 2025,https://www.bcra.gob.ar/publicaciones/informe-de-inclusion-financiera-primer-semestre-2025/,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/Informe-inclusion-financiera-octubre-25.pdf,.pdf,DIRECT_BINARY_ACTIONABLE_ROUND3,P2,data/fuentes/FUENTES.csv,Official direct binary endpoint discovered from the cited BCRA publication page during V96 archaeology batch4; physical binary still missing.
bcra_iif_2s2024_ahorro_ph,master_catalog,ahorro_hogares,BCRA,Informe de Inclusión Financiera · segundo semestre 2024,https://www.bcra.gob.ar/publicaciones/informe-de-inclusion-financiera-segundo-semestre-del-2024/,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/Informe-inclusion-financiera-abril-25.pdf,.pdf,DIRECT_BINARY_ACTIONABLE_ROUND3,P2,data/fuentes/FUENTES.csv,Official direct binary endpoint discovered from the cited BCRA publication page during V96 archaeology batch4; physical binary still missing.
bcra_iif_2s2025_ahorro_ph,master_catalog,ahorro_hogares,BCRA,Informe de Inclusión Financiera · segundo semestre 2025,https://www.bcra.gob.ar/publicaciones/informe-de-inclusion-financiera-segundo-semestre-de-2025/,https://www.bcra.gob.ar/archivos/Pdfs/publicacionesestadisticas/informes/informe-inclusion-financiera-2026-04.pdf,.pdf,DIRECT_BINARY_ACTIONABLE_ROUND3,P2,data/fuentes/FUENTES.csv,Official direct binary endpoint discovered from the cited BCRA publication page during V96 archaeology batch4; physical binary still missing.
bcra_imm_dic2024_mora,master_catalog,mora_causal,BCRA,Informe Monetario Mensual diciembre 2024,https://www.bcra.gob.ar/publicaciones/informe-monetario-mensual-diciembre-2024/,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/informe-monetario-mensual-dic-24.pdf,.pdf,DIRECT_BINARY_ACTIONABLE_ROUND3,P2,data/fuentes/FUENTES.csv,Official direct binary endpoint discovered from the cited BCRA publication page during V96 archaeology batch4; physical binary still missing.
bcra_imm_jun2014_a5590,master_catalog,regulacion_credito,BCRA,Informe Monetario Mensual · junio 2014,https://www.bcra.gob.ar/publicaciones/informe-monetario-mensual-junio-de-2014/,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/bol0614.pdf,.pdf,DIRECT_BINARY_ACTIONABLE_ROUND3,P2,data/fuentes/FUENTES.csv,Official direct binary endpoint discovered from the cited BCRA publication page during V96 archaeology batch4; physical binary still missing.
