priority,id,entity,artifact,url_or_identifier,status,blocking_effect
P0,columbia_eeff_9m2023_sep_pending,Banco Columbia S.A.,Banco Columbia · EEFF consolidados y separados condensados intermedios · 30/09/2023,https://secure.bancocolumbia.com.ar/web/Multimedios/Otros/10184.pdf?v=36,BINARY_REQUIRED_NOT_PRESERVED,Blocks resolved strict promotion
P0,columbia_eeff_fy2023_aq_pending,Banco Columbia S.A.,Banco Columbia · EEFF anuales · 31/12/2023 · Annex Q,https://secure.bancocolumbia.com.ar/web/Multimedios/Otros/10253.pdf?v=22,BINARY_REQUIRED_NOT_PRESERVED,Blocks resolved strict promotion
P0,hipotecario_eeff_9m2023_sep_pending,Banco Hipotecario S.A.,Banco Hipotecario · EEFF intermedios condensados · 30/09/2023 · sección separada,https://www.hipotecario.com.ar/media/BHSA_ESTADOS_FINANCIEROS_AL_30-09-2023.pdf,BINARY_REQUIRED_NOT_PRESERVED,Blocks resolved strict promotion
P0,hipotecario_eeff_fy2023_aq_pending,Banco Hipotecario S.A.,Banco Hipotecario · EEFF anuales · 31/12/2023 · sección separada + Annex Q,https://www.hipotecario.com.ar/media/BHSA_-_ESTADOS_FINANCIEROS_AL_31-12-2023.pdf,BINARY_REQUIRED_NOT_PRESERVED,Blocks resolved strict promotion
P0,bacs_eeff_9m2023_separated_pending_v101,BACS Banco de Crédito y Securitización S.A.,BACS · EEFF intermedios completos · 30/09/2023 · sección separada,https://bacs.com.ar/wp-content/uploads/2025/04/EEFF-BACS-30-09-2023-Completos-8.pdf,BINARY_REQUIRED_NOT_PRESERVED,Blocks resolved strict promotion
P0,bacs_eeff_fy2023_separated_pending_v101,BACS Banco de Crédito y Securitización S.A.,BACS · EEFF anuales · 31/12/2023 · sección separada,https://bacs.com.ar/wp-content/uploads/2025/04/Estados-Financieros-BACS-31-12-2023-8.pdf,BINARY_REQUIRED_NOT_PRESERVED,Blocks resolved strict promotion
P0,bmr_eeff_9m2023_separated_pending_v101,Banco Municipal de Rosario,Banco Municipal de Rosario · EEFF 30/09/2023 · sección separada + Annex Q,https://www.bmros.com.ar/uploads/documents/1702642924151.pdf,BINARY_REQUIRED_NOT_PRESERVED,Blocks resolved strict promotion
P0,bmr_eeff_fy2023_separated_pending_v101,Banco Municipal de Rosario,Banco Municipal de Rosario · EEFF 31/12/2023 · sección separada + Annex Q,https://www.bmros.com.ar/uploads/documents/1710333709333.pdf,BINARY_REQUIRED_NOT_PRESERVED,Blocks resolved strict promotion
P0,btf_eeff_fy2023_annexq_pending_v101,Banco Provincia de Tierra del Fuego,BTF · Balance y Memoria 2023 · Annex Q,https://www.btf.com.ar/wp-content/uploads/2024/08/BTF-Balance-y-Memoria-2023.pdf,BINARY_REQUIRED_NOT_PRESERVED,Blocks resolved strict promotion
DISCOVERY,mariva_9m2023_individual_attachment,Banco Mariva S.A.,Underlying CNV individual 30/09/2023 attachment binary,presentation #3122483 / c23edd68-9bf4-4b3d-a1d8-9cde4770d45c,PUBLICVIEW_IDENTIFIED_BINARY_ENDPOINT_NOT_EXPOSED,Blocks Mariva crosswalk
DISCOVERY,mariva_fy2023_individual_attachment,Banco Mariva S.A.,Underlying CNV individual 31/12/2023 attachment binary,presentation #3165651 / d28fcf1a-28dc-465b-8478-aad95e0d4539,PUBLICVIEW_IDENTIFIED_BINARY_ENDPOINT_NOT_EXPOSED,Blocks Mariva crosswalk
DISCOVERY,hsbc_9m2023_individual_attachment,HSBC Bank Argentina S.A.,Underlying CNV individual 30/09/2023 attachment binary,presentation #3121099 / d483d33a-5c86-4fbb-ab9c-6528bf43f572,PUBLICVIEW_IDENTIFIED_BINARY_ENDPOINT_NOT_EXPOSED,Blocks HSBC crosswalk
DISCOVERY,hsbc_fy2023_individual_attachment,HSBC Bank Argentina S.A.,Underlying CNV individual 31/12/2023 attachment binary,presentation #3163537 / 39f37eb9-5637-4cb3-ab6b-715da7830bd1,PUBLICVIEW_IDENTIFIED_BINARY_ENDPOINT_NOT_EXPOSED,Blocks HSBC crosswalk
DISCOVERY,bma_9m2023_individual_attachment,Banco BMA / ex-Itaú,CNV individual 30/09/2023 attachment binary,presentation #3119515 / 9d3ded55-6d87-4ca2-9feb-920d961f3acd,PUBLICVIEW_ATTACHMENT_NOT_RECOVERED,Blocks BMA crosswalk
DISCOVERY,bma_fy2023_individual_attachment,Banco BMA / ex-Itaú,CNV ordinary FY individual attachment binary,presentation #3171909,PUBLICVIEW_ATTACHMENT_NOT_RECOVERED,Blocks BMA crosswalk
DISCOVERY,corrientes_fy2023_binary,Banco de Corrientes S.A.,Official FY2023 financial-statements binary,documentid=1193 exact endpoint,EXACT_BINARY_ENDPOINT_CURRENT_ENVIRONMENT_DNS_BLOCKED,Blocks Corrientes FY inspection
