carrier,bytes,sha256,kind
FRONTERA_CICLO_AJUSTE_V52_COUNTERPARTIES(2).zip,30016,8d37a48e4ce0709f74bc66c06a8c53b00de5128baeebc4a0994413afe9a843d6,zip
FRONTERA_CICLO_AJUSTE_V53_COUNTERPARTY_QUANTIFICATION(2).zip,60708,9d12a5db51055c3d32ef25be0ab7dc58959f9eeede357c9c40a9b22f2174d1b1,zip
FRONTERA_CICLO_AJUSTE_V54_MICRODATA_BRIDGE(3).zip,89528,3e5ce9d980b882571a3b2efda6d9c82a3313bada6939804d53b74ffadc371d1e,zip
FRONTERA_CICLO_AJUSTE_V55_SUBACCOUNT_SCHEMA(3).zip,308547,a9a7e95d9badc5dd777afa6220e53fda3bba0d35645d015cf8ca5aef24c3da93,zip
FRONTERA_CICLO_AJUSTE_V56_SERIES_ID_BRIDGE(3).zip,1405429,ba68983008fc64b643cade8a9f53729a02e4c8b63ed8d00ccc5da52297e2197e,zip
FRONTERA_CICLO_AJUSTE_V57_POST2020_HOMOGENEOUS_FLOW_BRIDGE(3).zip,1426922,3454f1469d533e06a1860011819522af46871e9ab9b4905d462e36beaa013c86,zip
FRONTERA_CICLO_AJUSTE_V58_IEF_RECONCILIATION_GATE(4).zip,1457322,27a02728786d955f73a6293690ddadae2a69af31cfd1802ffe67ebd0c10992ca,zip
FRONTERA_CICLO_AJUSTE_V59_POST_NIIF_POSITIVE_MARGIN_BRIDGE(6).zip,1488966,d3c26931108372e1b67746a031f7b5767b7a2030ab91214a0a2891dea71d0e5b,zip
FRONTERA_CICLO_AJUSTE_V59_POST_NIIF_POSITIVE_MARGIN_BRIDGE(1)(3).zip,1488966,d3c26931108372e1b67746a031f7b5767b7a2030ab91214a0a2891dea71d0e5b,zip
FRONTERA_CICLO_AJUSTE_V59_POST_NIIF_POSITIVE_MARGIN_BRIDGE(2)(3).zip,1488966,d3c26931108372e1b67746a031f7b5767b7a2030ab91214a0a2891dea71d0e5b,zip
PROMPT_CODEX_FRONTERA_CAUSAL_DOCUMENTAL_V32(2).zip,30135454,092c36695131a8e9ffd4b58c49bd2bb40bee90d62f960ef4159461d9ee8ec7e4,zip
FUENTES_V48(1).md,1704,d8858931627e5852b7813d9e8407caf4c2bf5e83e8d786c7f7c74fadc7bc60f5,md
FUENTES_V50(1).md,1953,098089c73163e457202c46699e60242676d0b6555eb40087f64f13df4851ea7c,md
