url,extension,basename,catalog_or_registry_id,status,local_path,origin_sources,example_member,note
https://www.bcra.gob.ar/Pdfs/PublicacionesEstadisticas/InfBanc0414.pdf,.pdf,InfBanc0414.pdf,bcra_isb_abr2014_ciclo,MISSING_DIRECT_BINARY,,FUENTES_V48(1).md,FUENTES_V48(1).md,
https://www.bcra.gob.ar/Pdfs/PublicacionesEstadisticas/InfBanc0618.pdf,.pdf,InfBanc0618.pdf,bcra_isb_jun2018_ciclo,MISSING_DIRECT_BINARY,,FUENTES_V50(1).md,FUENTES_V50(1).md,
https://www.bcra.gob.ar/Pdfs/PublicacionesEstadisticas/InfBanc0714.pdf,.pdf,InfBanc0714.pdf,bcra_isb_jul2014_ciclo,MISSING_DIRECT_BINARY,,FUENTES_V48(1).md,FUENTES_V48(1).md,
https://www.bcra.gob.ar/Pdfs/PublicacionesEstadisticas/Infbanc1118.pdf,.pdf,Infbanc1118.pdf,bcra_isb_nov2018_ciclo,MISSING_DIRECT_BINARY,,FUENTES_V48(1).md,FUENTES_V48(1).md,
https://www.bcra.gob.ar/Pdfs/PublicacionesEstadisticas/ief0124.pdf,.pdf,ief0124.pdf,bcra_ief_1s2024_ciclo,PRESERVED_EQUIVALENT_CANONICAL_SOURCE,/data/fuentes/ciclo_ajuste/backfill_v96/bcra_ief_1s2024_ciclo.pdf,PROMPT_CODEX_FRONTERA_CAUSAL_DOCUMENTAL_V32(2).zip,HALLAZGO_V15_CONSUMO_CREDITO_PUENTE_Y_RESIDUO.md,Historical URL alias; source identity already has a verified local binary under the canonical direct URL.
https://www.bcra.gob.ar/Pdfs/PublicacionesEstadisticas/ief0125.pdf,.pdf,ief0125.pdf,hist_bcra_ief_1s2025,MISSING_DIRECT_BINARY,,PROMPT_CODEX_FRONTERA_CAUSAL_DOCUMENTAL_V32(2).zip,HALLAZGO_V15_CONSUMO_CREDITO_PUENTE_Y_RESIDUO.md,
https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/Entidades/202306e.pdf,.pdf,202306e.pdf,hist_bcra_entidades_jun2023,MISSING_DIRECT_BINARY,,FRONTERA_CICLO_AJUSTE_V57_POST2020_HOMOGENEOUS_FLOW_BRIDGE(3)__FUENTES_V57.md|FRONTERA_CICLO_AJUSTE_V58_IEF_RECONCILIATION_GATE(4)__BASE_V57.zip__FUENTES_V57.md|FRONTERA_CICLO_AJUSTE_V59_POST_NIIF_POSITIVE_MARGIN_BRIDGE(6)__BASE_V58.zip__BASE_V57.zip__FUENTES_V57.md,FRONTERA_CICLO_AJUSTE_V57_POST2020_HOMOGENEOUS_FLOW_BRIDGE(3)__FUENTES_V57.md,
https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/Entidades/202309e.pdf,.pdf,202309e.pdf,bcra_entidades_sep2023_hist,PRESERVED_IN_MASTER,/research/ciclo_ajuste/inputs/bcra/2023-09/informacion_entidades_financieras_open_data/202309e.pdf,FRONTERA_CICLO_AJUSTE_V57_POST2020_HOMOGENEOUS_FLOW_BRIDGE(3)__FUENTES_V57.md|FRONTERA_CICLO_AJUSTE_V58_IEF_RECONCILIATION_GATE(4)__BASE_V57.zip__FUENTES_V57.md|FRONTERA_CICLO_AJUSTE_V59_POST_NIIF_POSITIVE_MARGIN_BRIDGE(6)__BASE_V58.zip__BASE_V57.zip__FUENTES_V57.md,FRONTERA_CICLO_AJUSTE_V57_POST2020_HOMOGENEOUS_FLOW_BRIDGE(3)__FUENTES_V57.md,
https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/Entidades/202312e.pdf,.pdf,202312e.pdf,bcra_entidades_dic2023_red_pases,PRESERVED_IN_MASTER,/research/ciclo_ajuste/inputs/bcra/2023-12/informacion_entidades_financieras_open_data/202312e.pdf,FRONTERA_CICLO_AJUSTE_V57_POST2020_HOMOGENEOUS_FLOW_BRIDGE(3)__FUENTES_V57.md|FRONTERA_CICLO_AJUSTE_V58_IEF_RECONCILIATION_GATE(4)__BASE_V57.zip__FUENTES_V57.md|FRONTERA_CICLO_AJUSTE_V58_IEF_RECONCILIATION_GATE(4)__FUENTES_V58.md|FRONTERA_CICLO_AJUSTE_V59_POST_NIIF_POSITIVE_MARGIN_BRIDGE(6)__BASE_V58.zip__BASE_V57.zip__FUENTES_V57.md|FRONTERA_CICLO_AJUSTE_V59_POST_NIIF_POSITIVE_MARGIN_BRIDGE(6)__BASE_V58.zip__FUENTES_V58.md,FRONTERA_CICLO_AJUSTE_V57_POST2020_HOMOGENEOUS_FLOW_BRIDGE(3)__FUENTES_V57.md,
https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/Glosario.pdf,.pdf,Glosario.pdf,bcra_glosario_bancos_hist,PRESERVED_IN_MASTER,/research/ciclo_ajuste/inputs/bcra/2023-09/Glosario.pdf,FRONTERA_CICLO_AJUSTE_V58_IEF_RECONCILIATION_GATE(4)__FUENTES_V58.md|FRONTERA_CICLO_AJUSTE_V59_POST_NIIF_POSITIVE_MARGIN_BRIDGE(6)__BASE_V58.zip__FUENTES_V58.md,FRONTERA_CICLO_AJUSTE_V58_IEF_RECONCILIATION_GATE(4)__FUENTES_V58.md,
