gap_id,priority,scope,version,entity_or_id,role,url,status,local_path,bytes,sha256,method,tls_validation,warning,retrieved_utc
0,P0,issuer_registry_v89_v96,90,BICE,FY2023 issuer,https://www.bice.com.ar/wp-content/uploads/2025/03/Memoria-y-Balance-2023.pdf,INGESTED_VERIFIED,research/ciclo_ajuste/inputs/issuer_retrieval/v90/binaries/000_Memoria-y-Balance-2023.pdf,5951646,f6f6fb95aec9484c3e42e6acab74b6d9a13c6ea85453bf2c0d74f2f6408eda5f,curl.exe,SCHANNEL_DEFAULT_SSL_NO_REVOKE,,2026-08-28T19:01:01.8023852Z
1,P0,issuer_registry_v89_v96,96,Banco CMF S.A.,official 2023 report,https://www.bancocmf.com.ar/wp-content/uploads/Anual-2023-Memoria.pdf,INGESTED_VERIFIED,research/ciclo_ajuste/inputs/issuer_retrieval/v96/binaries/001_Anual-2023-Memoria.pdf,569391,c6a436d3b0ab5d572825fc6941d1bafefd68e77a67103746b99c7b3240446323,curl.exe,SCHANNEL_DEFAULT_SSL_NO_REVOKE,,2026-08-28T19:01:03.5159220Z
2,P0,issuer_registry_v89_v96,91,Banco Industrial,FY2023 separated issuer,https://www.garval.sba.com.ar/images/LEGALIZADOS-BIND---2023---12---EEFF-Separados.pdf,INGESTED_VERIFIED,research/ciclo_ajuste/inputs/issuer_retrieval/v91/binaries/002_LEGALIZADOS-BIND---2023---12---EEFF-Separados.pdf,4879324,1e23da89c47f19f1b6b7a074e6ef62cd60ffb086afac01c38589becd8778e78e,curl.exe --insecure,BYPASSED_WRONG_PRINCIPAL,TLS hostname verification bypassed after SEC_E_WRONG_PRINCIPAL. Binary still requires magic-byte and SHA-256 validation.,2026-08-28T19:01:05.0173125Z
3,P0,issuer_registry_v89_v96,94,Banco Provincia del Neuquén S.A.,2023 standalone/group-basis disclosure,https://apiapp.bpn.com.ar/Resources/Files/06c53b4c8d1a4285ae8685e7d02644a2.pdf,INGESTED_VERIFIED,research/ciclo_ajuste/inputs/issuer_retrieval/v94/binaries/003_06c53b4c8d1a4285ae8685e7d02644a2.pdf,319779,ba146a4793bce90ac50c98dc190a48f76910de437e7a2d2fb69ab5bdfa559edf,curl.exe,SCHANNEL_DEFAULT_SSL_NO_REVOKE,,2026-08-28T19:01:06.8234162Z
4,P0,issuer_registry_v89_v96,94,Banco Provincia del Neuquén S.A.,FY2023 official Balance / Annex Q,https://apiapp.bpn.com.ar/Resources/Files/3c8ae1e827054171978cb213a56891df.pdf,INGESTED_VERIFIED,research/ciclo_ajuste/inputs/issuer_retrieval/v94/binaries/004_3c8ae1e827054171978cb213a56891df.pdf,6508873,cd17e9e424df8550a61d40f9b6f88757f93f30d3e473457f2ed9da7a6aeec230,curl.exe,SCHANNEL_DEFAULT_SSL_NO_REVOKE,,2026-08-28T19:01:09.7927875Z
5,P0,issuer_registry_v89_v96,95,Banco de Formosa S.A.,9M2023 official separated package / Annex Q,https://www.bancoformosa.com.ar/Multimedios/pdfs/117571.pdf,INGESTED_VERIFIED,research/ciclo_ajuste/inputs/issuer_retrieval/v95/binaries/005_117571.pdf,7249163,0a660361c63180c6b2c3706877c748fe198b8943a13a5e99b3c72f4df5201e1d,curl.exe,SCHANNEL_DEFAULT_SSL_NO_REVOKE,,2026-08-28T19:01:13.4024795Z
6,P0,issuer_registry_v89_v96,95,Banco de Formosa S.A.,FY2023 official financial-statements package,https://www.bancoformosa.com.ar/Multimedios/pdfs/117598.pdf,INGESTED_VERIFIED,research/ciclo_ajuste/inputs/issuer_retrieval/v95/binaries/006_117598.pdf,12285326,86f17e539912d2f8c53bf06ef175eb929ec5f78e1c8a5be9e31f6acdb48bdba7,curl.exe,SCHANNEL_DEFAULT_SSL_NO_REVOKE,,2026-08-28T19:01:16.5298277Z
7,P0,issuer_registry_v89_v96,95,Banco de Formosa S.A.,official 2023 integrated report,https://www.bancoformosa.com.ar/Multimedios/pdfs/118254.pdf,INGESTED_VERIFIED,research/ciclo_ajuste/inputs/issuer_retrieval/v95/binaries/007_118254.pdf,54536329,a3a4f91b8e3e9c668a0f572f865420de743ed09739310df77111f6b5c1b7b84e,curl.exe,SCHANNEL_DEFAULT_SSL_NO_REVOKE,,2026-08-28T19:01:21.0672117Z
8,P0,issuer_registry_v89_v96,93,Banco de La Pampa S.E.M.,FY2023 official issuer Memoria/Balance Annex Q,https://www.bancodelapampa.com.ar/files/files/Dise%C3%B1o%20Memoria%20y%20Balance%20General%202023%20web.pdf,INGESTED_VERIFIED,research/ciclo_ajuste/inputs/issuer_retrieval/v93/binaries/008_Diseño Memoria y Balance General 2023 web.pdf,3894591,dd4917c72be07ffb3cfdc06481330233f2e5a62cce0c84dcaf67423ee8d4720d,curl.exe,SCHANNEL_DEFAULT_SSL_NO_REVOKE,,2026-08-28T19:01:22.7574420Z
9,P0,issuer_registry_v89_v96,89,Banco de San Juan S.A.,30/09/2023,https://assets.ctfassets.net/e7eu92ue673r/y9IVnh4fy1BgWES0TUbmZ/468b8e783fed7b6e18bd70a9ee7bebf9/30.09.2023__SEPARADOS_.pdf,INGESTED_VERIFIED,research/ciclo_ajuste/inputs/issuer_retrieval/v89/binaries/009_30.09.2023__SEPARADOS_.pdf,1021552,99608f0261fb255dff814078661d6ef6f7ee2944bbe0beb5a19ac99bef0d380e,curl.exe,SCHANNEL_DEFAULT_SSL_NO_REVOKE,,2026-08-28T19:01:23.2368082Z
