"gap_id","priority","entity_or_id","role","url","expected_extension","status","method","tls_validation","warning","http_status","content_type","effective_url","local_filename","bytes","sha256","magic_ok","retrieved_utc","error"
"1001","P2","bapro_disciplina_sep2023_control","Disciplina de Mercado · septiembre 2023","https://www.bancoprovincia.com.ar/CDN/Get/Disciplina_de_Mercado_septiembre_2023",".pdf","DOWNLOAD_OK","curl.exe","SCHANNEL_DEFAULT_SSL_NO_REVOKE","","200","application/pdf","https://www.bancoprovincia.com.ar/CDN/Get/Disciplina_de_Mercado_septiembre_2023","1001_P2_bapro_disciplina_sep2023_control.pdf","954250","37b18af7a2cb6c32642d4a895f8c5dd62a5e4c8dbdb824fa3c1de954d728e34b","True","2026-08-28T19:38:15.3820738Z",""
"1002","P2","bapro_eeff_fy2023_aq","Estados financieros FY 2023 · Anexo Q separado","https://www.bancoprovincia.com.ar/CDN/Get/EEFF_unificado_31122023",".pdf","DOWNLOAD_OK","curl.exe","SCHANNEL_DEFAULT_SSL_NO_REVOKE","","200","application/pdf","https://www.bancoprovincia.com.ar/CDN/Get/EEFF_unificado_31122023","1002_P2_bapro_eeff_fy2023_aq.pdf","3328448","b241ee83f73fe7a83cf48a36d75dea2e9857f48647d2614423e8cd2195913353","True","2026-08-28T19:38:16.8488024Z",""
"1003","P2","bcra_boldat202505_tipo_titular","Boletín Estadístico mayo 2025 · tipo de titular/destino","https://www7.bcra.gob.ar/Pdfs/PublicacionesEstadisticas/BoletinEstadistico/boldat202505.pdf",".pdf","DOWNLOAD_FAILED","curl.exe + Invoke-WebRequest","SCHANNEL_DEFAULT_SSL_NO_REVOKE","","","","https://www7.bcra.gob.ar/Pdfs/PublicacionesEstadisticas/BoletinEstadistico/boldat202505.pdf","","0","","False","2026-08-28T19:38:25.3455896Z","curl: curl.exe : curl: (6) Could not resolve host: www7.bcra.gob.ar
En C:\Users\miyur\Downloads\inflacion-backup_TRANSPARENT_RESEARCH_V96_ARCHAEOLOGY_BATCH3_BACKFILL_ROUND2\inflacion-back
up\research\ciclo_ajuste\source_audit\backfill_v96\tool_round2\Download-SourceBackfill.ps1: 84 Carácter: 17
+         $meta = & $CurlCommand.Source @args 2> $stderr
+                 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (curl: (6) Could...ww7.bcra.gob.ar:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 
curl: (6) Could not resolve host: www7.bcra.gob.ar
curl: (6) Could not resolve host: www7.bcra.gob.ar
curl: (6) Could not resolve host: www7.bcra.gob.ar
curl: (6) Could not resolve host: www7.bcra.gob.ar | IWR: No se puede resolver el nombre remoto: 'www7.bcra.gob.ar'"
"1004","P2","bcra_bolmetes_prestamos_titular","Notas metodológicas del Boletín Estadístico","https://www.bcra.gob.ar/pdfs/publicacionesestadisticas/bolmetes.pdf",".pdf","DOWNLOAD_OK","Invoke-WebRequest","WINDOWS_DEFAULT","","","","https://www.bcra.gob.ar/pdfs/publicacionesestadisticas/bolmetes.pdf","1004_P2_bcra_bolmetes_prestamos_titular.pdf","1457023","c62ada1920c0cb7c9695eedafd355aa8bd845aa715ac17e3167dcab2a044ea47","True","2026-08-28T19:38:26.5186365Z",""
"1005","P2","bcra_isb_abr2014_ciclo","Informe sobre Bancos · abril 2014","https://www.bcra.gob.ar/Pdfs/PublicacionesEstadisticas/InfBanc0414.pdf",".pdf","DOWNLOAD_OK","Invoke-WebRequest","WINDOWS_DEFAULT","","","","https://www.bcra.gob.ar/Pdfs/PublicacionesEstadisticas/InfBanc0414.pdf","1005_P2_bcra_isb_abr2014_ciclo.pdf","290541","0b3f1454d87bad2245e1219c0605c5bc3a7ec0dd3d42ce2c88688ab2a1acb038","True","2026-08-28T19:38:27.4561671Z",""
"1006","P2","bcra_isb_dic2023_ciclo","Informe sobre Bancos · diciembre 2023","https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/InfBanc1223.pdf",".pdf","DOWNLOAD_OK","Invoke-WebRequest","WINDOWS_DEFAULT","","","","https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/InfBanc1223.pdf","1006_P2_bcra_isb_dic2023_ciclo.pdf","323633","7a6cd89ffe15a43e3031463180f7ebd90479df9b0204374994f0979ac9b267e8","True","2026-08-28T19:38:28.5273141Z",""
"1007","P2","bcra_isb_jul2014_ciclo","Informe sobre Bancos · julio 2014","https://www.bcra.gob.ar/Pdfs/PublicacionesEstadisticas/InfBanc0714.pdf",".pdf","DOWNLOAD_OK","Invoke-WebRequest","WINDOWS_DEFAULT","","","","https://www.bcra.gob.ar/Pdfs/PublicacionesEstadisticas/InfBanc0714.pdf","1007_P2_bcra_isb_jul2014_ciclo.pdf","332533","01ab42e6d12958a50b5b93c70bb771bb1638ff94c94b14246591923b2a2d6e25","True","2026-08-28T19:38:29.3197129Z",""
"1008","P2","bcra_isb_jun2014_ciclo","Informe sobre Bancos · junio 2014","https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/InfBanc0614.pdf",".pdf","DOWNLOAD_OK","curl.exe","SCHANNEL_DEFAULT_SSL_NO_REVOKE","","200","application/pdf","https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/InfBanc0614.pdf","1008_P2_bcra_isb_jun2014_ciclo.pdf","356496","8cca0fd2335a1ceb7620bc7fbe9899ae98e7672f21959a522df4a6145d2f1dfd","True","2026-08-28T19:38:29.9930155Z",""
"1009","P2","bcra_isb_jun2018_ciclo","Informe sobre Bancos · junio 2018","https://www.bcra.gob.ar/Pdfs/PublicacionesEstadisticas/InfBanc0618.pdf",".pdf","DOWNLOAD_OK","curl.exe","SCHANNEL_DEFAULT_SSL_NO_REVOKE","","200","application/pdf","https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/InfBanc0618.pdf","1009_P2_bcra_isb_jun2018_ciclo.pdf","512087","9017f7f43920b632bac0d9aa98fdb068249aead9a6c9e05bfe1eab983d36b0b5","True","2026-08-28T19:38:30.9005593Z",""
"1010","P2","bcra_isb_nov2018_ciclo","Informe sobre Bancos · noviembre 2018","https://www.bcra.gob.ar/Pdfs/PublicacionesEstadisticas/Infbanc1118.pdf",".pdf","DOWNLOAD_OK","Invoke-WebRequest","WINDOWS_DEFAULT","","","","https://www.bcra.gob.ar/Pdfs/PublicacionesEstadisticas/Infbanc1118.pdf","1010_P2_bcra_isb_nov2018_ciclo.pdf","503833","91319e82be265aaf575b0b1c0cce832bee8af410871645da033329c989397f89","True","2026-08-28T19:38:31.9155596Z",""
