gap_id,priority,scope,version,entity_or_id,role,url,extension,reason,batch1_archaeology_status,batch1_note,batch2_archaeology_status,batch2_note
2001,P2,master_catalog,data/fuentes/FUENTES.csv,bcra_boldat202505_tipo_titular,Boletín Estadístico mayo 2025 · tipo de titular/destino,https://www7.bcra.gob.ar/Pdfs/PublicacionesEstadisticas/BoletinEstadistico/boldat202505.pdf,.pdf,Round2 failed due unresolved legacy host www7.bcra.gob.ar; retained for retry/manual alias discovery.,NOT_PRESENT_BY_SHA256,Not found in current local source corpus by exact SHA/path audit.,DIRECT_BINARY_DISCOVERED_OR_RETRY,Round3 candidate from official BCRA publication/file link; boldat is a retry of legacy host failure.
2002,P2,master_catalog,data/fuentes/FUENTES.csv,bcra_ief_1s2018_ciclo,IEF · primer semestre 2018,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/ief0118.pdf,.pdf,Official direct binary endpoint discovered from the cited BCRA publication page during V96 archaeology batch4; physical binary still missing.,NOT_PRESENT_BY_SHA256,Not found in current local source corpus by exact SHA/path audit.,DIRECT_BINARY_DISCOVERED_OR_RETRY,Round3 candidate from official BCRA publication/file link; boldat is a retry of legacy host failure.
2003,P2,master_catalog,data/fuentes/FUENTES.csv,bcra_ief_1s2019_ciclo,IEF · primer semestre 2019,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/ief0119.pdf,.pdf,Official direct binary endpoint discovered from the cited BCRA publication page during V96 archaeology batch4; physical binary still missing.,NOT_PRESENT_BY_SHA256,Not found in current local source corpus by exact SHA/path audit.,DIRECT_BINARY_DISCOVERED_OR_RETRY,Round3 candidate from official BCRA publication/file link; boldat is a retry of legacy host failure.
2004,P2,master_catalog,data/fuentes/FUENTES.csv,bcra_ief_2s2023_ciclo,IEF · segundo semestre 2023,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/ief0223.pdf,.pdf,Official direct binary endpoint discovered from the cited BCRA publication page during V96 archaeology batch4; physical binary still missing.,NOT_PRESENT_BY_SHA256,Not found in current local source corpus by exact SHA/path audit.,DIRECT_BINARY_DISCOVERED_OR_RETRY,Round3 candidate from official BCRA publication/file link; boldat is a retry of legacy host failure.
2005,P2,master_catalog,data/fuentes/FUENTES.csv,bcra_iif_1s2024_ahorro_ph,Informe de Inclusión Financiera · primer semestre 2024,https://www.bcra.gob.ar/archivos/pdfs/PublicacionesEstadisticas/Informe-inclusion-%20financiera-octubre-24.pdf,.pdf,Official direct binary endpoint discovered from the cited BCRA publication page during V96 archaeology batch4; physical binary still missing.,NOT_PRESENT_BY_SHA256,Not found in current local source corpus by exact SHA/path audit.,DIRECT_BINARY_DISCOVERED_OR_RETRY,Round3 candidate from official BCRA publication/file link; boldat is a retry of legacy host failure.
2006,P2,master_catalog,data/fuentes/FUENTES.csv,bcra_iif_1s2025_mora,Informe de Inclusión Financiera primer semestre 2025,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/Informe-inclusion-financiera-octubre-25.pdf,.pdf,Official direct binary endpoint discovered from the cited BCRA publication page during V96 archaeology batch4; physical binary still missing.,NOT_PRESENT_BY_SHA256,Not found in current local source corpus by exact SHA/path audit.,DIRECT_BINARY_DISCOVERED_OR_RETRY,Round3 candidate from official BCRA publication/file link; boldat is a retry of legacy host failure.
2007,P2,master_catalog,data/fuentes/FUENTES.csv,bcra_iif_2s2024_ahorro_ph,Informe de Inclusión Financiera · segundo semestre 2024,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/Informe-inclusion-financiera-abril-25.pdf,.pdf,Official direct binary endpoint discovered from the cited BCRA publication page during V96 archaeology batch4; physical binary still missing.,NOT_PRESENT_BY_SHA256,Not found in current local source corpus by exact SHA/path audit.,DIRECT_BINARY_DISCOVERED_OR_RETRY,Round3 candidate from official BCRA publication/file link; boldat is a retry of legacy host failure.
2008,P2,master_catalog,data/fuentes/FUENTES.csv,bcra_iif_2s2025_ahorro_ph,Informe de Inclusión Financiera · segundo semestre 2025,https://www.bcra.gob.ar/archivos/Pdfs/publicacionesestadisticas/informes/informe-inclusion-financiera-2026-04.pdf,.pdf,Official direct binary endpoint discovered from the cited BCRA publication page during V96 archaeology batch4; physical binary still missing.,NOT_PRESENT_BY_SHA256,Not found in current local source corpus by exact SHA/path audit.,DIRECT_BINARY_DISCOVERED_OR_RETRY,Round3 candidate from official BCRA publication/file link; boldat is a retry of legacy host failure.
2009,P2,master_catalog,data/fuentes/FUENTES.csv,bcra_imm_dic2024_mora,Informe Monetario Mensual diciembre 2024,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/informe-monetario-mensual-dic-24.pdf,.pdf,Official direct binary endpoint discovered from the cited BCRA publication page during V96 archaeology batch4; physical binary still missing.,NOT_PRESENT_BY_SHA256,Not found in current local source corpus by exact SHA/path audit.,DIRECT_BINARY_DISCOVERED_OR_RETRY,Round3 candidate from official BCRA publication/file link; boldat is a retry of legacy host failure.
2010,P2,master_catalog,data/fuentes/FUENTES.csv,bcra_imm_jun2014_a5590,Informe Monetario Mensual · junio 2014,https://www.bcra.gob.ar/archivos/Pdfs/PublicacionesEstadisticas/bol0614.pdf,.pdf,Official direct binary endpoint discovered from the cited BCRA publication page during V96 archaeology batch4; physical binary still missing.,NOT_PRESENT_BY_SHA256,Not found in current local source corpus by exact SHA/path audit.,DIRECT_BINARY_DISCOVERED_OR_RETRY,Round3 candidate from official BCRA publication/file link; boldat is a retry of legacy host failure.
