periodo,estrato_ipcf,combinacion_exacta,porcentaje_ponderado,hogares_expandidos,hogares_expandidos_denominador,n_muestral
2025-Q1,total,ninguna,28.902,2950549,10208952,15984
2025-Q1,total,cuotas_fiado,21.854,2231090,10208952,15984
2025-Q1,total,ahorro+cuotas_fiado,11.659,1190241,10208952,15984
2025-Q1,total,ahorro,9.118,930807,10208952,15984
2025-Q1,total,prestamo_banco+cuotas_fiado,2.748,280551,10208952,15984
2025-Q1,total,ahorro+prestamo_banco+cuotas_fiado,2.734,279134,10208952,15984
2025-Q1,total,ahorro+prestamo_familia+cuotas_fiado,2.642,269748,10208952,15984
2025-Q1,total,ahorro+prestamo_familia,2.356,240511,10208952,15984
2025-Q1,total,ahorro+prestamo_familia+prestamo_banco+cuotas_fiado,1.731,176682,10208952,15984
2025-Q1,total,prestamo_familia+cuotas_fiado,1.66,169489,10208952,15984
2025-Q1,total,prestamo_banco,1.626,166034,10208952,15984
2025-Q1,total,prestamo_familia,1.517,154877,10208952,15984
2025-Q1,total,ahorro+prestamo_familia+cuotas_fiado+venta,1.26,128623,10208952,15984
2025-Q1,total,ahorro+cuotas_fiado+venta,1.173,119746,10208952,15984
2025-Q1,total,ahorro+prestamo_banco,0.942,96161,10208952,15984
2025-Q1,total,ahorro+prestamo_familia+prestamo_banco+cuotas_fiado+venta,0.931,95035,10208952,15984
2025-Q1,total,venta,0.881,89914,10208952,15984
2025-Q1,total,ahorro+prestamo_familia+venta,0.83,84737,10208952,15984
2025-Q1,total,cuotas_fiado+venta,0.771,78752,10208952,15984
2025-Q1,total,ahorro+prestamo_familia+prestamo_banco,0.733,74844,10208952,15984
2025-Q1,total,prestamo_familia+prestamo_banco+cuotas_fiado,0.66,67405,10208952,15984
2025-Q1,total,ahorro+venta,0.613,62534,10208952,15984
2025-Q1,total,prestamo_familia+venta,0.503,51302,10208952,15984
2025-Q1,total,prestamo_familia+prestamo_banco,0.408,41622,10208952,15984
2025-Q1,total,ahorro+prestamo_banco+cuotas_fiado+venta,0.397,40479,10208952,15984
2025-Q1,total,prestamo_familia+cuotas_fiado+venta,0.373,38059,10208952,15984
2025-Q1,total,prestamo_banco+cuotas_fiado+venta,0.271,27709,10208952,15984
2025-Q1,total,ahorro+prestamo_familia+prestamo_banco+venta,0.224,22864,10208952,15984
2025-Q1,total,prestamo_familia+prestamo_banco+cuotas_fiado+venta,0.183,18656,10208952,15984
2025-Q1,total,prestamo_banco+venta,0.146,14938,10208952,15984
2025-Q1,total,ahorro+prestamo_banco+venta,0.106,10809,10208952,15984
2025-Q1,total,prestamo_familia+prestamo_banco+venta,0.049,5050,10208952,15984
2025-Q1,bajo,ninguna,32.522,1342939,4129284,8978
2025-Q1,bajo,cuotas_fiado,14.946,617145,4129284,8978
2025-Q1,bajo,ahorro,10.612,438219,4129284,8978
2025-Q1,bajo,ahorro+cuotas_fiado,8.492,350642,4129284,8978
2025-Q1,bajo,ahorro+prestamo_familia,3.506,144756,4129284,8978
2025-Q1,bajo,prestamo_familia,2.89,119343,4129284,8978
2025-Q1,bajo,ahorro+prestamo_familia+cuotas_fiado,2.771,114434,4129284,8978
2025-Q1,bajo,prestamo_familia+cuotas_fiado,2.332,96303,4129284,8978
2025-Q1,bajo,prestamo_banco+cuotas_fiado,1.856,76629,4129284,8978
2025-Q1,bajo,prestamo_banco,1.839,75920,4129284,8978
2025-Q1,bajo,ahorro+prestamo_banco+cuotas_fiado,1.731,71490,4129284,8978
2025-Q1,bajo,ahorro+prestamo_familia+prestamo_banco+cuotas_fiado,1.706,70459,4129284,8978
2025-Q1,bajo,ahorro+prestamo_familia+cuotas_fiado+venta,1.668,68857,4129284,8978
2025-Q1,bajo,venta,1.486,61348,4129284,8978
2025-Q1,bajo,ahorro+prestamo_familia+prestamo_banco+cuotas_fiado+venta,1.314,54263,4129284,8978
2025-Q1,bajo,ahorro+prestamo_familia+venta,1.29,53288,4129284,8978
2025-Q1,bajo,prestamo_familia+venta,1.141,47108,4129284,8978
2025-Q1,bajo,cuotas_fiado+venta,1.015,41926,4129284,8978
2025-Q1,bajo,ahorro+prestamo_familia+prestamo_banco,0.937,38701,4129284,8978
2025-Q1,bajo,ahorro+venta,0.855,35312,4129284,8978
2025-Q1,bajo,prestamo_familia+prestamo_banco+cuotas_fiado,0.802,33113,4129284,8978
2025-Q1,bajo,ahorro+prestamo_banco,0.783,32339,4129284,8978
2025-Q1,bajo,ahorro+cuotas_fiado+venta,0.747,30849,4129284,8978
2025-Q1,bajo,prestamo_familia+cuotas_fiado+venta,0.592,24446,4129284,8978
2025-Q1,bajo,prestamo_familia+prestamo_banco,0.505,20864,4129284,8978
2025-Q1,bajo,prestamo_banco+cuotas_fiado+venta,0.467,19277,4129284,8978
2025-Q1,bajo,prestamo_familia+prestamo_banco+cuotas_fiado+venta,0.347,14309,4129284,8978
2025-Q1,bajo,ahorro+prestamo_familia+prestamo_banco+venta,0.326,13457,4129284,8978
2025-Q1,bajo,ahorro+prestamo_banco+cuotas_fiado+venta,0.262,10819,4129284,8978
2025-Q1,bajo,prestamo_banco+venta,0.154,6377,4129284,8978
2025-Q1,bajo,prestamo_familia+prestamo_banco+venta,0.059,2439,4129284,8978
2025-Q1,bajo,ahorro+prestamo_banco+venta,0.046,1913,4129284,8978
2025-Q1,medio,ninguna,28.11,1139405,4053319,4857
2025-Q1,medio,cuotas_fiado,22.905,928425,4053319,4857
2025-Q1,medio,ahorro+cuotas_fiado,12.805,519029,4053319,4857
2025-Q1,medio,ahorro,9.517,385765,4053319,4857
2025-Q1,medio,prestamo_banco+cuotas_fiado,3.27,132527,4053319,4857
2025-Q1,medio,ahorro+prestamo_familia+cuotas_fiado,3.021,122457,4053319,4857
2025-Q1,medio,ahorro+prestamo_banco+cuotas_fiado,2.62,106200,4053319,4857
2025-Q1,medio,ahorro+prestamo_familia,1.788,72462,4053319,4857
2025-Q1,medio,ahorro+prestamo_familia+prestamo_banco+cuotas_fiado,1.66,67295,4053319,4857
2025-Q1,medio,ahorro+cuotas_fiado+venta,1.651,66907,4053319,4857
2025-Q1,medio,prestamo_banco,1.649,66849,4053319,4857
2025-Q1,medio,ahorro+prestamo_banco,1.343,54424,4053319,4857
2025-Q1,medio,prestamo_familia+cuotas_fiado,1.324,53672,4053319,4857
2025-Q1,medio,ahorro+prestamo_familia+cuotas_fiado+venta,0.901,36505,4053319,4857
2025-Q1,medio,prestamo_familia,0.717,29082,4053319,4857
2025-Q1,medio,ahorro+prestamo_familia+prestamo_banco,0.691,28023,4053319,4857
2025-Q1,medio,cuotas_fiado+venta,0.677,27461,4053319,4857
2025-Q1,medio,prestamo_familia+prestamo_banco+cuotas_fiado,0.661,26780,4053319,4857
2025-Q1,medio,ahorro+prestamo_familia+venta,0.606,24575,4053319,4857
2025-Q1,medio,ahorro+prestamo_familia+prestamo_banco+cuotas_fiado+venta,0.606,24557,4053319,4857
2025-Q1,medio,ahorro+venta,0.599,24272,4053319,4857
2025-Q1,medio,ahorro+prestamo_banco+cuotas_fiado+venta,0.593,24045,4053319,4857
2025-Q1,medio,prestamo_familia+prestamo_banco,0.483,19586,4053319,4857
2025-Q1,medio,venta,0.463,18755,4053319,4857
2025-Q1,medio,prestamo_familia+cuotas_fiado+venta,0.336,13613,4053319,4857
