periodo,estrato_ipcf,metrica,porcentaje_ponderado,hogares_expandidos_numerador,hogares_expandidos_denominador,n_muestral
2025-Q1,total,gasto_ahorros,37.447,3822955,10208952,15984
2025-Q1,total,prestamo_familia_amigos,16.059,1639504,10208952,15984
2025-Q1,total,prestamo_banco_financiera,13.89,1417973,10208952,15984
2025-Q1,total,cuotas_o_fiado,51.047,5211399,10208952,15984
2025-Q1,total,venta_pertenencias,8.71,889207,10208952,15984
2025-Q1,total,cualquier_prestamo,25.03,2555319,10208952,15984
2025-Q1,total,ahorro_o_venta,40.624,4147335,10208952,15984
2025-Q1,total,cualquier_estrategia_v13_v17,71.098,7258403,10208952,15984
2025-Q1,total,sin_estrategias_v13_v17,28.902,2950549,10208952,15984
2025-Q1,total,solo_recursos_monetarios_corrientes_proxy,25.696,2623266,10208952,15984
2025-Q1,total,solo_ingreso_laboral_proxy,8.941,912799,10208952,15984
2025-Q1,bajo,gasto_ahorros,37.048,1529798,4129284,8978
2025-Q1,bajo,prestamo_familia_amigos,22.186,916140,4129284,8978
2025-Q1,bajo,prestamo_banco_financiera,13.135,542369,4129284,8978
2025-Q1,bajo,cuotas_o_fiado,41.047,1694961,4129284,8978
2025-Q1,bajo,venta_pertenencias,11.769,485988,4129284,8978
2025-Q1,bajo,cualquier_prestamo,29.325,1210904,4129284,8978
2025-Q1,bajo,ahorro_o_venta,42.308,1747028,4129284,8978
2025-Q1,bajo,cualquier_estrategia_v13_v17,67.478,2786345,4129284,8978
2025-Q1,bajo,sin_estrategias_v13_v17,32.522,1342939,4129284,8978
2025-Q1,bajo,solo_recursos_monetarios_corrientes_proxy,27.154,1121262,4129284,8978
2025-Q1,bajo,solo_ingreso_laboral_proxy,7.419,306331,4129284,8978
2025-Q1,medio,gasto_ahorros,38.799,1572628,4053319,4857
2025-Q1,medio,prestamo_familia_amigos,13.292,538776,4053319,4857
2025-Q1,medio,prestamo_banco_financiera,14.476,586740,4053319,4857
2025-Q1,medio,cuotas_o_fiado,53.256,2158643,4053319,4857
2025-Q1,medio,venta_pertenencias,7.434,301338,4053319,4857
2025-Q1,medio,cualquier_prestamo,23.272,943300,4053319,4857
2025-Q1,medio,ahorro_o_venta,40.88,1656993,4053319,4857
2025-Q1,medio,cualquier_estrategia_v13_v17,71.89,2913914,4053319,4857
2025-Q1,medio,sin_estrategias_v13_v17,28.11,1139405,4053319,4857
