anio,energia_electrica_usd_m,petroleo_gas_usd_m,mineria_usd_m,siderurgia_usd_m,infraestructura_usd_m,tecnologia_usd_m,total_programado_usd_m,naturaleza
2024,37.0,48.0,527.0,0.0,0.0,0,612.0,plan_de_inversion_no_empleo_observado
2025,252.0,1802.0,1473.0,82.0,92.0,0,3701.0,plan_de_inversion_no_empleo_observado
2026,162.0,2724.0,2579.0,130.0,74.0,0,5669.0,plan_de_inversion_no_empleo_observado
2027,36.0,1632.0,3875.0,66.0,64.0,0,5673.0,plan_de_inversion_no_empleo_observado
2028,0.0,1309.0,4128.0,8.0,24.0,0,5469.0,plan_de_inversion_no_empleo_observado
2029,0.0,953.0,3278.0,0.0,21.0,0,4252.0,plan_de_inversion_no_empleo_observado
2030,0.0,1033.0,2450.0,0.0,2.0,0,3485.0,plan_de_inversion_no_empleo_observado
2031,0.0,915.0,1503.0,0.0,0.0,0,2418.0,plan_de_inversion_no_empleo_observado
2032,0.0,958.0,416.0,0.0,0.0,0,1374.0,plan_de_inversion_no_empleo_observado
2033,0.0,953.0,105.0,0.0,0.0,0,1058.0,plan_de_inversion_no_empleo_observado
2034,0.0,996.0,30.0,0.0,0.0,0,1026.0,plan_de_inversion_no_empleo_observado
2035,0.0,949.0,52.0,0.0,0.0,0,1001.0,plan_de_inversion_no_empleo_observado
2036,0.0,858.0,31.0,0.0,0.0,0,889.0,plan_de_inversion_no_empleo_observado
2037,0.0,862.0,32.0,0.0,0.0,0,894.0,plan_de_inversion_no_empleo_observado
2038,0.0,867.0,29.0,0.0,0.0,0,896.0,plan_de_inversion_no_empleo_observado
2039,0.0,872.0,31.0,0.0,0.0,0,903.0,plan_de_inversion_no_empleo_observado
2040,0.0,876.0,25.0,0.0,0.0,0,901.0,plan_de_inversion_no_empleo_observado
2041,0.0,881.0,27.0,0.0,0.0,0,908.0,plan_de_inversion_no_empleo_observado
2042,0.0,730.0,30.0,0.0,0.0,0,760.0,plan_de_inversion_no_empleo_observado
2043,0.0,735.0,73.0,0.0,0.0,0,808.0,plan_de_inversion_no_empleo_observado
2044,0.0,740.0,94.0,0.0,0.0,0,834.0,plan_de_inversion_no_empleo_observado
2045,0.0,745.0,28.0,0.0,0.0,0,773.0,plan_de_inversion_no_empleo_observado
2046,0.0,751.0,28.0,0.0,0.0,0,779.0,plan_de_inversion_no_empleo_observado
2047,0.0,757.0,8.0,0.0,0.0,0,765.0,plan_de_inversion_no_empleo_observado
2048,0.0,436.0,8.0,0.0,0.0,0,444.0,plan_de_inversion_no_empleo_observado
2049,0.0,0.0,8.0,0.0,0.0,0,8.0,plan_de_inversion_no_empleo_observado
2050,0.0,0.0,8.0,0.0,0.0,0,8.0,plan_de_inversion_no_empleo_observado
2051,0.0,0.0,8.0,0.0,0.0,0,8.0,plan_de_inversion_no_empleo_observado
2052,0.0,0.0,8.0,0.0,0.0,0,8.0,plan_de_inversion_no_empleo_observado
2053,0.0,0.0,8.0,0.0,0.0,0,8.0,plan_de_inversion_no_empleo_observado
2054,0.0,0.0,8.0,0.0,0.0,0,8.0,plan_de_inversion_no_empleo_observado
2055,0.0,0.0,7.0,0.0,0.0,0,7.0,plan_de_inversion_no_empleo_observado
2056,0.0,0.0,44.0,0.0,0.0,0,44.0,plan_de_inversion_no_empleo_observado
