proyecto,provincias,empresa,sector,inversion_comprometida_usd_m,empleos_directos_indirectos_proyectados,desglose_temporal_permanente,resolucion
Ampliación Cauchari Olaroz,Jujuy,Minera Exar Sucursal Dedicada,Minería,1241.0,1787,N/D,https://www.argentina.gob.ar/normativa/nacional/norma-426429
Ampliación Fases 8 y 9 del Sistema de Lixiviación en Valle de Mina Veladero,San Juan,Minera Andina del Sol S.R.L. Sucursal Dedicada 1,Minería,436.0,1048,N/D,https://www.argentina.gob.ar/normativa/nacional/norma-424457
Ampliación Mega,Neuquén | La Pampa | Río Negro | Buenos Aires,Compañía Mega S.A. Sucursal Dedicada,Petróleo y gas,365.0,792,N/D,https://www.argentina.gob.ar/normativa/nacional/norma-429238
Ampliación del Tramo I del Gasoducto Perito Francisco Pascasio Moreno (GPM),La Pampa,Transportadora de Gas del Sur S.A. Sucursal Dedicada 1,Petróleo y gas,550.0,7535,N/D,https://www.argentina.gob.ar/normativa/nacional/norma-425734
Diablillos,Salta | Catamarca,Pacific Rim Mining Corporation Argentina SA,Minería,764.0,2013,N/D,https://www.argentina.gob.ar/normativa/nacional/norma-425673
Expansión Fase 1B,Catamarca,Minera del Altiplano S.A. Sucursal Dedicada,Minería,531.0,1273,N/D,https://www.argentina.gob.ar/normativa/nacional/norma-424514
Hombre Muerto Oeste (HMW),Catamarca,Galán s.d.e.,Minería,292.0,670,N/D,https://www.argentina.gob.ar/normativa/nacional/norma-416924
PSJ Cobre Mendocino,Mendoza,Minera San Jorge SA,Minería,891.0,6300,N/D,https://www.argentina.gob.ar/normativa/nacional/norma-426315
Parque Eólico Olavarría,Buenos Aires,Generación Eléctrica Argentina Renovable I S.A. Sucursal Dedicada PEO,Energía eléctrica,276.0,165,N/D,https://www.argentina.gob.ar/normativa/nacional/norma-416877
Parque Solar El Quemado y Anexos,Mendoza,Luz del Campo SA,Energía eléctrica,211.0,384,N/D,https://www.argentina.gob.ar/normativa/nacional/norma-408210
Proyecto Carbonatos Profundos (DCP),San Juan,Minas Argentinas s.a. dedicada RIGI - Nuevo Gualcamayo,Minería,665.0,4500,N/D,https://www.argentina.gob.ar/normativa/nacional/norma-422390
Proyecto Los Azules,San Juan,Andes Corporación Minera S.A.,Minería,2672.0,7391,N/D,https://www.argentina.gob.ar/normativa/nacional/norma-418673
Proyecto Rincón,Salta,Rincón Mining PTY LTD. Sucursal Argentina,Minería,2744.0,1985,N/D,https://www.argentina.gob.ar/normativa/nacional/norma-413550
Proyecto Rincón de Aranda,Neuquén,Pampa Energía Sociedad Anónima - Sucursal dedicada proyecto RDA,Petróleo y gas,4522.0,1733,N/D,https://www.argentina.gob.ar/normativa/nacional/norma-427918
Proyecto Siderúrgico Argentino Sidersa,Buenos Aires,Sidersa Acería s.d.e.,Siderurgia,286.0,3800,N/D,https://www.argentina.gob.ar/normativa/nacional/norma-415410
Proyecto Terminal Multipropósito Timbúes,Santa Fe,. Terminal Timbúes s.a.,Infraestructura,277.0,9700,N/D,https://www.argentina.gob.ar/normativa/nacional/norma-420421
Proyecto Vaca Muerta Oleoducto Sur (VMOS),Río Negro,VMOS S.A.,Petróleo y gas,2900.0,3108,N/D,https://www.argentina.gob.ar/normativa/nacional/norma-410830
Proyecto de Licuefacción de Gas Natural,Río Negro,Southern Energy s.a.,Petróleo y gas,15156.0,836,N/D,https://www.argentina.gob.ar/normativa/nacional/norma-412353
Proyecto de la Sucursal Dedicada de Liex S.A,Catamarca,Liex S.A. Sucursal Dedicada,Minería,710.0,4406,N/D,https://www.argentina.gob.ar/normativa/nacional/norma-428274
Sal de Oro II,Salta | Catamarca,Posco Argentina SAU SDE,Minería,547.0,2335,N/D,
San Matías Pipeline SA,Río Negro | Neuquén,San Matías Pipeline S.A.,Petróleo y gas,1300.0,2489,N/D,https://www.argentina.gob.ar/normativa/nacional/norma-427059
Vicuña,San Juan,Vicuña Argentina SA,Minería,9737.0,31700,N/D,https://www.argentina.gob.ar/normativa/nacional/norma-428357
