"provincia","nombre","compartido","empresa","inv-comprometida","empleos-generados","sector","descripcion","enlace","empleos-generados-texto","impacto"
"Provincia","Nombre del proyecto","Proyecto compartido con","Titular del Proyecto","Inversión total","Empleos (directos e indirectos)","Sector","Descripción","Enlace","Tipo de empleo","Impacto en Balanza Comercial"
"Mendoza","Parque Solar El Quemado y Anexos","","Luz del Campo SA","211","384","Energía eléctrica","Parque solar fotovoltaico de 305 MW, el más grande del país, el primer proyecto aprobado y el primero en entrar en operación bajo el RIGI. El proyecto contempla la instalación de más de 511.000 paneles bifaciales de última generación y representa el 11% de la capacidad solar instalada de la Argentina, generando energía equivalente al consumo de 233.000 hogares, con un factor de carga estimado del 31,4%.","https://www.argentina.gob.ar/normativa/nacional/norma-408210","",""
"Río Negro","Proyecto Vaca Muerta Oleoducto Sur (VMOS)","","VMOS S.A.","2900","3108","Petróleo y gas","Construcción de un oleoducto de 437 km, con capacidad de transporte de 377.400 barriles diarios y almacenamiento de 3,77 millones de barriles, que permitirá duplicar las exportaciones de petróleo. El proyecto podrá expandirse en el futuro hasta alcanzar una capacidad máxima de exportación de 700.000 barriles por día, viabilizando exportaciones por más de USD 16.000 millones anuales. El RIGI permitió al consorcio VMOS estructurar el mayor financiamiento de tipo project finance de la historia argentina, otorgado por 14 entidades financieras.","https://www.argentina.gob.ar/normativa/nacional/norma-410830","",""
"Río Negro","Proyecto de Licuefacción de Gas Natural","","Southern Energy s.a.","15156","836","Petróleo y gas","Instalación de dos unidades flotantes de licuefacción de gas natural (Hilli Episeyo y Esperanza) en el Golfo San Matías, destinadas a la producción y exportación de Gas Natural Licuado (GNL). El proyecto tendrá una capacidad total de producción de 6 millones de toneladas anuales y prevé iniciar sus exportaciones en 2027, contribuyendo a ampliar la capacidad exportadora del país y a incrementar la producción nacional de gas en aproximadamente un 20%.","https://www.argentina.gob.ar/normativa/nacional/norma-412353","",""
"Salta","Proyecto Rincón","","Rincón Mining PTY LTD. Sucursal Argentina","2744","1985","Minería","Proyecto de producción de carbonato de litio con capacidad inicial de 53.000 tpa y potencial de expansión a 60.000 tpa, mediante tecnología de extracción directa de litio (DLE) de menor impacto ambiental.","https://www.argentina.gob.ar/normativa/nacional/norma-413550","",""
"Buenos Aires","Proyecto Siderúrgico Argentino Sidersa","","Sidersa Acería s.d.e.","286","3800","Siderurgia","Construcción de una nueva planta de aceros largos, la primera acería en construirse en el país en más de 50 años, con tecnología de última generación, menores emisiones de CO2 y producción basada en economía circular.","https://www.argentina.gob.ar/normativa/nacional/norma-415410","",""
"Buenos Aires","Parque Eólico Olavarría","","Generación Eléctrica Argentina Renovable I S.A. Sucursal Dedicada PEO","276","165","Energía eléctrica","Parque eólico de 180 MW que contempla la construcción de una ET, una línea de AT y obras de ampliación del transporte eléctrico, para abastecer las plantas industriales de Acindar.","https://www.argentina.gob.ar/normativa/nacional/norma-416877","",""
"Catamarca","Hombre Muerto Oeste (HMW)","","Galán s.d.e.","292","670","Minería","Proyecto para la producción de 12.000 toneladas anuales de carbonato de litio equivalente.","https://www.argentina.gob.ar/normativa/nacional/norma-416924","",""
"San Juan","Proyecto Los Azules","","Andes Corporación Minera S.A.","2672","7391","Minería","Proyecto para la exploración y explotación de cobre, que contempla las etapas de factibilidad y permisos, la construcción de la mina y la planta de procesamiento.","https://www.argentina.gob.ar/normativa/nacional/norma-418673","",""
"Santa Fe","Proyecto Terminal Multipropósito Timbúes","",". Terminal Timbúes s.a.
","277","9700","Infraestructura","Proyecto para desarrollar una terminal porturaria multimodal en la Hidrovía Paraguay–Paraná, para optimizar las operaciones logísticas, de carga, almacenamiento y despacho de mercaderías.","https://www.argentina.gob.ar/normativa/nacional/norma-420421","",""
