month,fx_log_change_pct,ipc_monthly_pct,previous_month_ipc_pct,claim_tested
2024-01,2.1737,20.6000,25.5000,TC mayorista sube mientras baja la inflacion mensual
2024-02,1.9179,13.2000,20.6000,TC mayorista sube mientras baja la inflacion mensual
2024-03,1.7847,11.0000,13.2000,TC mayorista sube mientras baja la inflacion mensual
2024-04,2.2298,8.8000,11.0000,TC mayorista sube mientras baja la inflacion mensual
2024-05,2.0881,4.2000,8.8000,TC mayorista sube mientras baja la inflacion mensual
2024-07,2.2771,4.0000,4.6000,TC mayorista sube mientras baja la inflacion mensual
2024-09,1.8801,3.5000,4.2000,TC mayorista sube mientras baja la inflacion mensual
2024-10,2.0222,2.7000,3.5000,TC mayorista sube mientras baja la inflacion mensual
2024-11,2.0975,2.4000,2.7000,TC mayorista sube mientras baja la inflacion mensual
2025-01,2.0135,2.2000,2.7000,TC mayorista sube mientras baja la inflacion mensual
2025-04,8.7438,2.8000,3.7000,TC mayorista sube mientras baja la inflacion mensual
2025-05,1.9713,1.5000,2.8000,TC mayorista sube mientras baja la inflacion mensual
2026-05,2.0919,2.1000,2.6000,TC mayorista sube mientras baja la inflacion mensual
2026-06,5.0285,1.9000,2.1000,TC mayorista sube mientras baja la inflacion mensual
