persona_id,persona,camara,jurisdiccion,oa_nombre,oa_person_key,oa_anios,evidencia_misma_institucion_anios,nombre_padron_camara,distrito_padron_camara,nombre_presentacion_camara_2025,distrito_presentacion_camara_2025,tipo_presentacion_camara_2025,coincidencia_nombre_presentacion,coincidencia_nombre_fuente_actual,cuit_unico_en_consolidado,estado_revision_identidad,publicable_en_tab,alcance_serie,nota_alcance,criterio,fuente_padron_url,fuente_presentacion_url,fuente_serie_url,respaldo_padron_local,respaldo_presentacion_local,respaldo_oa_local
dip-petri-luis,Luis Petri,Diputados,Mendoza,PETRI LUIS ALFONSO,fc5982095c4972cc,2017|2018|2019|2020|2021|2022|2023|2024,2017|2018|2019|2020|2021|2022|2023|2024,"Petri, Luis",MENDOZA,"PETRI, LUIS ALFONSO",MENDOZA,INICIAL 2025,exacta,exacta,sí,identidad_confirmada_cruce_oficial,sí,cargo_legislativo_nacional_actual,DDJJ del cargo legislativo nacional actual dentro del consolidado OA disponible.,"Nómina Diputados vigente + presentación Diputados 2025 con apellido, nombres compatibles y distrito + una sola clave fiscal reservada en OA + evidencia de cargo legislativo nacional.",https://www.hcdn.gob.ar/diputados/,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/index.html,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sources/active_roster/hcdn_diputados_vigentes_2026-09-01.csv,sources/active_roster/hcdn_ddjj_ejercicio_2025_2026-09-01.html,sources/datos_justicia/declaraciones-juradas-2012-2024.zip
dip-frias-maira,Maira Frias,Diputados,Chubut,FRIAS MAIRA RAQUEL,8a0d0d30dcdb1b4f,2018|2024,2018,"Frias, Maira",CHUBUT,"FRIAS, MAIRA RAQUEL",CHUBUT,ANUAL 2025 | INICIAL 2025,exacta,exacta,sí,identidad_confirmada_cruce_oficial,sí,cargo_legislativo_nacional_actual,DDJJ del cargo legislativo nacional actual dentro del consolidado OA disponible.,"Nómina Diputados vigente + presentación Diputados 2025 con apellido, nombres compatibles y distrito + una sola clave fiscal reservada en OA + evidencia de cargo legislativo nacional.",https://www.hcdn.gob.ar/diputados/,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/index.html,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sources/active_roster/hcdn_diputados_vigentes_2026-09-01.csv,sources/active_roster/hcdn_ddjj_ejercicio_2025_2026-09-01.html,sources/datos_justicia/declaraciones-juradas-2012-2024.zip
dip-quintar-manuel,Manuel Quintar,Diputados,Jujuy,QUINTAR MANUEL,5ed57882b503d671,2023|2024,2023|2024,"Quintar, Manuel",JUJUY,"QUINTAR, MANUEL",JUJUY,ANUAL 2025,exacta,exacta,sí,identidad_confirmada_cruce_oficial,sí,cargo_legislativo_nacional_actual,DDJJ del cargo legislativo nacional actual dentro del consolidado OA disponible.,"Nómina Diputados vigente + presentación Diputados 2025 con apellido, nombres compatibles y distrito + una sola clave fiscal reservada en OA + evidencia de cargo legislativo nacional.",https://www.hcdn.gob.ar/diputados/,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/index.html,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sources/active_roster/hcdn_diputados_vigentes_2026-09-01.csv,sources/active_roster/hcdn_ddjj_ejercicio_2025_2026-09-01.html,sources/datos_justicia/declaraciones-juradas-2012-2024.zip
dip-pagano-marcela-marina,Marcela Marina Pagano,Diputados,Buenos Aires,PAGANO MARCELA MARINA,3d0f7e46232e2cee,2022|2023|2024,2022|2023|2024,"Pagano, Marcela Marina",BUENOS AIRES,"PAGANO, MARCELA MARINA",BUENOS AIRES,ANUAL 2025,exacta,exacta,sí,identidad_confirmada_cruce_oficial,sí,cargo_legislativo_nacional_actual,DDJJ del cargo legislativo nacional actual dentro del consolidado OA disponible.,"Nómina Diputados vigente + presentación Diputados 2025 con apellido, nombres compatibles y distrito + una sola clave fiscal reservada en OA + evidencia de cargo legislativo nacional.",https://www.hcdn.gob.ar/diputados/,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/index.html,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sources/active_roster/hcdn_diputados_vigentes_2026-09-01.csv,sources/active_roster/hcdn_ddjj_ejercicio_2025_2026-09-01.html,sources/datos_justicia/declaraciones-juradas-2012-2024.zip
dip-ibanez-maria-cecilia,María Cecilia Ibañez,Diputados,Cordoba,IBAÑEZ MARIA CECILIA,33dcc55b8268f703,2023|2024,2023|2024,"Ibañez, María Cecilia",CORDOBA,"IBAÑEZ, MARIA CECILIA",CORDOBA,ANUAL 2025,exacta,exacta,sí,identidad_confirmada_cruce_oficial,sí,cargo_legislativo_nacional_actual,DDJJ del cargo legislativo nacional actual dentro del consolidado OA disponible.,"Nómina Diputados vigente + presentación Diputados 2025 con apellido, nombres compatibles y distrito + una sola clave fiscal reservada en OA + evidencia de cargo legislativo nacional.",https://www.hcdn.gob.ar/diputados/,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/index.html,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sources/active_roster/hcdn_diputados_vigentes_2026-09-01.csv,sources/active_roster/hcdn_ddjj_ejercicio_2025_2026-09-01.html,sources/datos_justicia/declaraciones-juradas-2012-2024.zip
dip-de-sensi-maria-florencia,María Florencia De Sensi,Diputados,Buenos Aires,DE SENSI MARIA FLORENCIA,b47eca6f1dfa5821,2018|2020|2023|2024,2018|2020|2024,"De Sensi, María Florencia",BUENOS AIRES,"DE SENSI, MARIA FLORENCIA",BUENOS AIRES,ANUAL 2025,exacta,exacta,sí,identidad_confirmada_cruce_oficial,sí,cargo_legislativo_nacional_actual,DDJJ del cargo legislativo nacional actual dentro del consolidado OA disponible.,"Nómina Diputados vigente + presentación Diputados 2025 con apellido, nombres compatibles y distrito + una sola clave fiscal reservada en OA + evidencia de cargo legislativo nacional.",https://www.hcdn.gob.ar/diputados/,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/index.html,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sources/active_roster/hcdn_diputados_vigentes_2026-09-01.csv,sources/active_roster/hcdn_ddjj_ejercicio_2025_2026-09-01.html,sources/datos_justicia/declaraciones-juradas-2012-2024.zip
dip-parola-maria-graciela,María Graciela Parola,Diputados,Formosa,PAROLA MARIA GRACIELA,c3bbc9b0a108b526,2018|2019|2020|2021|2022|2023|2024,2018|2019|2020|2021|2022|2023|2024,"Parola, María Graciela",FORMOSA,"PAROLA, MARIA GRACIELA",FORMOSA,ANUAL 2025,exacta,exacta,sí,identidad_confirmada_cruce_oficial,sí,cargo_legislativo_nacional_actual,DDJJ del cargo legislativo nacional actual dentro del consolidado OA disponible.,"Nómina Diputados vigente + presentación Diputados 2025 con apellido, nombres compatibles y distrito + una sola clave fiscal reservada en OA + evidencia de cargo legislativo nacional.",https://www.hcdn.gob.ar/diputados/,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/index.html,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sources/active_roster/hcdn_diputados_vigentes_2026-09-01.csv,sources/active_roster/hcdn_ddjj_ejercicio_2025_2026-09-01.html,sources/datos_justicia/declaraciones-juradas-2012-2024.zip
dip-petrovich-maria-lorena,María Lorena Petrovich,Diputados,Buenos Aires,PETROVICH MARIA LORENA,53ea3e9dfe4d6fb4,2022|2024,2022,"Petrovich, María Lorena",BUENOS AIRES,"PETROVICH, MARIA LORENA",BUENOS AIRES,INICIAL 2025,exacta,exacta,sí,identidad_confirmada_cruce_oficial,sí,cargo_legislativo_nacional_actual,DDJJ del cargo legislativo nacional actual dentro del consolidado OA disponible.,"Nómina Diputados vigente + presentación Diputados 2025 con apellido, nombres compatibles y distrito + una sola clave fiscal reservada en OA + evidencia de cargo legislativo nacional.",https://www.hcdn.gob.ar/diputados/,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/index.html,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sources/active_roster/hcdn_diputados_vigentes_2026-09-01.csv,sources/active_roster/hcdn_ddjj_ejercicio_2025_2026-09-01.html,sources/datos_justicia/declaraciones-juradas-2012-2024.zip
dip-campero-mariano,Mariano Campero,Diputados,Tucuman,CAMPERO MARIANO,4f2c50c68e3195c7,2022|2023|2024,2024,"Campero, Mariano",TUCUMAN,"CAMPERO, MARIANO",TUCUMAN,ANUAL 2025,exacta,exacta,sí,identidad_confirmada_cruce_oficial,sí,cargo_legislativo_nacional_actual,DDJJ del cargo legislativo nacional actual dentro del consolidado OA disponible.,"Nómina Diputados vigente + presentación Diputados 2025 con apellido, nombres compatibles y distrito + una sola clave fiscal reservada en OA + evidencia de cargo legislativo nacional.",https://www.hcdn.gob.ar/diputados/,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/index.html,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sources/active_roster/hcdn_diputados_vigentes_2026-09-01.csv,sources/active_roster/hcdn_ddjj_ejercicio_2025_2026-09-01.html,sources/datos_justicia/declaraciones-juradas-2012-2024.zip
dip-manrique-mario,Mario Manrique,Diputados,Buenos Aires,MANRIQUE MARIO ROBERTO,53b32e4764d0ec95,2022|2023|2024,2022|2023|2024,"Manrique, Mario",BUENOS AIRES,"MANRIQUE, MARIO ROBERTO",BUENOS AIRES,ANUAL 2025,exacta,exacta,sí,identidad_confirmada_cruce_oficial,sí,cargo_legislativo_nacional_actual,DDJJ del cargo legislativo nacional actual dentro del consolidado OA disponible.,"Nómina Diputados vigente + presentación Diputados 2025 con apellido, nombres compatibles y distrito + una sola clave fiscal reservada en OA + evidencia de cargo legislativo nacional.",https://www.hcdn.gob.ar/diputados/,https://www.hcdn.gob.ar/institucional/transparencia/declaraciones_juradas/index.html,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sources/active_roster/hcdn_diputados_vigentes_2026-09-01.csv,sources/active_roster/hcdn_ddjj_ejercicio_2025_2026-09-01.html,sources/datos_justicia/declaraciones-juradas-2012-2024.zip
