persona_id,persona,camara,jurisdiccion,oa_nombre,oa_person_key,oa_anios,evidencia_misma_institucion_anios,nombre_padron_camara,distrito_padron_camara,nombre_presentacion_camara_2025,distrito_presentacion_camara_2025,tipo_presentacion_camara_2025,coincidencia_nombre_presentacion,coincidencia_nombre_fuente_actual,cuit_unico_en_consolidado,estado_revision_identidad,publicable_en_tab,alcance_serie,nota_alcance,criterio,fuente_padron_url,fuente_presentacion_url,fuente_serie_url,respaldo_padron_local,respaldo_presentacion_local,respaldo_oa_local
prov-ba-dip-adorni-francisco-jorge,Adorni Francisco Jorge,Diputados PBA,Buenos Aires,ADORNI FRANCISCO JORGE,d578de2f45f4d98c,2024,,ADORNI FRANCISCO JORGE,Buenos Aires,,,,exacta_por_tokens,exacta_por_tokens,sí,identidad_confirmada_cruce_oficial,sí,historial_publico_oa_previo_no_equivale_ddjj_mandato_actual,Historial público OA previo al corte: puede incluir Legislatura CABA o cargos nacionales anteriores; no equivale por sí solo a la DDJJ del mandato actual.,Nómina oficial vigente de Diputados PBA + nombre exacto o compatible por tokens con una sola clave fiscal reservada en OA + historial oficial OA. No se localizó una presentación provincial actual en una fuente nominal reutilizable para este cruce.,https://www.hcdiputados-ba.gov.ar/index.php?page=diputados&search=seccionBloques,,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sources/subnational_roster/buenos_aires_diputados_vigentes_2026-09-01.html,,sources/datos_justicia/declaraciones-juradas-2012-2024.zip
prov-ba-dip-alvado-maite-milagros,Alvado Maite Milagros,Diputados PBA,Buenos Aires,ALVADO MAITE MILAGROS,679d67ba032b2496,2018,,ALVADO MAITE MILAGROS,Buenos Aires,,,,exacta_por_tokens,exacta_por_tokens,sí,identidad_confirmada_cruce_oficial,sí,historial_publico_oa_previo_no_equivale_ddjj_mandato_actual,Historial público OA previo al corte: puede incluir Legislatura CABA o cargos nacionales anteriores; no equivale por sí solo a la DDJJ del mandato actual.,Nómina oficial vigente de Diputados PBA + nombre exacto o compatible por tokens con una sola clave fiscal reservada en OA + historial oficial OA. No se localizó una presentación provincial actual en una fuente nominal reutilizable para este cruce.,https://www.hcdiputados-ba.gov.ar/index.php?page=diputados&search=seccionBloques,,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sources/subnational_roster/buenos_aires_diputados_vigentes_2026-09-01.html,,sources/datos_justicia/declaraciones-juradas-2012-2024.zip
prov-ba-dip-balor-ana-luz,Balor Ana Luz,Diputados PBA,Buenos Aires,BALOR ANA LUZ,76594d0129bc86df,2022|2023|2024,,BALOR ANA LUZ,Buenos Aires,,,,exacta_por_tokens,exacta_por_tokens,sí,identidad_confirmada_cruce_oficial,sí,historial_publico_oa_previo_no_equivale_ddjj_mandato_actual,Historial público OA previo al corte: puede incluir Legislatura CABA o cargos nacionales anteriores; no equivale por sí solo a la DDJJ del mandato actual.,Nómina oficial vigente de Diputados PBA + nombre exacto o compatible por tokens con una sola clave fiscal reservada en OA + historial oficial OA. No se localizó una presentación provincial actual en una fuente nominal reutilizable para este cruce.,https://www.hcdiputados-ba.gov.ar/index.php?page=diputados&search=seccionBloques,,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sources/subnational_roster/buenos_aires_diputados_vigentes_2026-09-01.html,,sources/datos_justicia/declaraciones-juradas-2012-2024.zip
prov-ba-dip-basualdo-marcela-maria-amelia,Basualdo Marcela María Amelia,Diputados PBA,Buenos Aires,BASUALDO MARCELA MARIA AMELIA,5c28f9f849dc9645,2020|2021|2022|2023,,BASUALDO MARCELA MARÍA AMELIA,Buenos Aires,,,,exacta_por_tokens,exacta_por_tokens,sí,identidad_confirmada_cruce_oficial,sí,historial_publico_oa_previo_no_equivale_ddjj_mandato_actual,Historial público OA previo al corte: puede incluir Legislatura CABA o cargos nacionales anteriores; no equivale por sí solo a la DDJJ del mandato actual.,Nómina oficial vigente de Diputados PBA + nombre exacto o compatible por tokens con una sola clave fiscal reservada en OA + historial oficial OA. No se localizó una presentación provincial actual en una fuente nominal reutilizable para este cruce.,https://www.hcdiputados-ba.gov.ar/index.php?page=diputados&search=seccionBloques,,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sources/subnational_roster/buenos_aires_diputados_vigentes_2026-09-01.html,,sources/datos_justicia/declaraciones-juradas-2012-2024.zip
prov-ba-dip-blanco-natalia-miriam,Blanco Natalia Miriam,Diputados PBA,Buenos Aires,BLANCO NATALIA MIRIAM,93f66835061d7c6d,2018|2019|2020|2021|2022|2023|2024,,BLANCO NATALIA MIRIAM,Buenos Aires,,,,exacta_por_tokens,exacta_por_tokens,sí,identidad_confirmada_cruce_oficial,sí,historial_publico_oa_previo_no_equivale_ddjj_mandato_actual,Historial público OA previo al corte: puede incluir Legislatura CABA o cargos nacionales anteriores; no equivale por sí solo a la DDJJ del mandato actual.,Nómina oficial vigente de Diputados PBA + nombre exacto o compatible por tokens con una sola clave fiscal reservada en OA + historial oficial OA. No se localizó una presentación provincial actual en una fuente nominal reutilizable para este cruce.,https://www.hcdiputados-ba.gov.ar/index.php?page=diputados&search=seccionBloques,,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sources/subnational_roster/buenos_aires_diputados_vigentes_2026-09-01.html,,sources/datos_justicia/declaraciones-juradas-2012-2024.zip
prov-ba-dip-bontempo-leticia-ines,Bontempo Leticia Inés,Diputados PBA,Buenos Aires,BONTEMPO LETICIA INES,ebff4e450f83e180,2017|2018|2020,,BONTEMPO LETICIA INÉS,Buenos Aires,,,,exacta_por_tokens,exacta_por_tokens,sí,identidad_confirmada_cruce_oficial,sí,historial_publico_oa_previo_no_equivale_ddjj_mandato_actual,Historial público OA previo al corte: puede incluir Legislatura CABA o cargos nacionales anteriores; no equivale por sí solo a la DDJJ del mandato actual.,Nómina oficial vigente de Diputados PBA + nombre exacto o compatible por tokens con una sola clave fiscal reservada en OA + historial oficial OA. No se localizó una presentación provincial actual en una fuente nominal reutilizable para este cruce.,https://www.hcdiputados-ba.gov.ar/index.php?page=diputados&search=seccionBloques,,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sources/subnational_roster/buenos_aires_diputados_vigentes_2026-09-01.html,,sources/datos_justicia/declaraciones-juradas-2012-2024.zip
prov-ba-dip-coitinho-maria-fernanda,Coitinho Maria Fernanda,Diputados PBA,Buenos Aires,COITINHO MARIA FERNANDA,a9091b6f5618ebfa,2024,,COITINHO MARIA FERNANDA,Buenos Aires,,,,exacta_por_tokens,exacta_por_tokens,sí,identidad_confirmada_cruce_oficial,sí,historial_publico_oa_previo_no_equivale_ddjj_mandato_actual,Historial público OA previo al corte: puede incluir Legislatura CABA o cargos nacionales anteriores; no equivale por sí solo a la DDJJ del mandato actual.,Nómina oficial vigente de Diputados PBA + nombre exacto o compatible por tokens con una sola clave fiscal reservada en OA + historial oficial OA. No se localizó una presentación provincial actual en una fuente nominal reutilizable para este cruce.,https://www.hcdiputados-ba.gov.ar/index.php?page=diputados&search=seccionBloques,,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sources/subnational_roster/buenos_aires_diputados_vigentes_2026-09-01.html,,sources/datos_justicia/declaraciones-juradas-2012-2024.zip
prov-ba-dip-corvino-analia-ester,Corvino Analía Ester,Diputados PBA,Buenos Aires,CORVINO ANALIA ESTER,987205bfd817100b,2024,,CORVINO ANALÍA ESTER,Buenos Aires,,,,exacta_por_tokens,exacta_por_tokens,sí,identidad_confirmada_cruce_oficial,sí,historial_publico_oa_previo_no_equivale_ddjj_mandato_actual,Historial público OA previo al corte: puede incluir Legislatura CABA o cargos nacionales anteriores; no equivale por sí solo a la DDJJ del mandato actual.,Nómina oficial vigente de Diputados PBA + nombre exacto o compatible por tokens con una sola clave fiscal reservada en OA + historial oficial OA. No se localizó una presentación provincial actual en una fuente nominal reutilizable para este cruce.,https://www.hcdiputados-ba.gov.ar/index.php?page=diputados&search=seccionBloques,,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sources/subnational_roster/buenos_aires_diputados_vigentes_2026-09-01.html,,sources/datos_justicia/declaraciones-juradas-2012-2024.zip
prov-ba-dip-endere-martin-julian,Endere Martín Julián,Diputados PBA,Buenos Aires,ENDERE MARTIN JULIAN,0a719deb8ebffdf6,2017,,ENDERE MARTÍN JULIÁN,Buenos Aires,,,,exacta_por_tokens,exacta_por_tokens,sí,identidad_confirmada_cruce_oficial,sí,historial_publico_oa_previo_no_equivale_ddjj_mandato_actual,Historial público OA previo al corte: puede incluir Legislatura CABA o cargos nacionales anteriores; no equivale por sí solo a la DDJJ del mandato actual.,Nómina oficial vigente de Diputados PBA + nombre exacto o compatible por tokens con una sola clave fiscal reservada en OA + historial oficial OA. No se localizó una presentación provincial actual en una fuente nominal reutilizable para este cruce.,https://www.hcdiputados-ba.gov.ar/index.php?page=diputados&search=seccionBloques,,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sources/subnational_roster/buenos_aires_diputados_vigentes_2026-09-01.html,,sources/datos_justicia/declaraciones-juradas-2012-2024.zip
prov-ba-dip-fernandez-maria-laura,Fernández Maria Laura,Diputados PBA,Buenos Aires,FERNANDEZ MARIA LAURA,,2017|2018|2019|2020|2021|2022|2023|2024,,FERNÁNDEZ MARIA LAURA,Buenos Aires,,,,exacta_por_tokens,exacta_por_tokens,no,requiere_revision_adicional,no,historial_publico_oa_previo_no_equivale_ddjj_mandato_actual,Historial público OA previo al corte: puede incluir Legislatura CABA o cargos nacionales anteriores; no equivale por sí solo a la DDJJ del mandato actual.,Nómina oficial vigente de Diputados PBA + nombre exacto o compatible por tokens con una sola clave fiscal reservada en OA + historial oficial OA. No se localizó una presentación provincial actual en una fuente nominal reutilizable para este cruce.,https://www.hcdiputados-ba.gov.ar/index.php?page=diputados&search=seccionBloques,,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,sources/subnational_roster/buenos_aires_diputados_vigentes_2026-09-01.html,,sources/datos_justicia/declaraciones-juradas-2012-2024.zip
