persona_id,persona,anio,estado_fuente,tipo_ddjj,rectificativa,dj_id,total_bienes_ars,deudas_ars,patrimonio_neto_ars,total_bienes_real_ars_2025,total_bienes_usd_a3500,ipc_indice,a3500_ars_por_usd,indice_nominal_base,indice_real_base,indice_usd_base,fuente_url,nota
prov-sf-dip-rodenas-alejandra,Alejandra RODENAS,2017,oficial_consolidado_oa,Anual,0,336679,20300390.00,1000000.00,19300390.00,1646434560.07,1081291.88,124.7956,18.7742,100.00,100.00,100.00,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,"Identidad confirmada por cruce oficial; selección Anual > Baja > Inicial, luego rectificativa y dj_id. Es historial público OA previo al corte y no equivale por sí solo a la DDJJ del mandato actual."
prov-sf-dip-rodenas-alejandra,Alejandra RODENAS,2018,oficial_consolidado_oa,Anual,0,415183,2849070.31,0.00,2849070.31,156503040.55,75355.68,184.2552,37.8083,14.03,9.51,6.97,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,"Identidad confirmada por cruce oficial; selección Anual > Baja > Inicial, luego rectificativa y dj_id. Es historial público OA previo al corte y no equivale por sí solo a la DDJJ del mandato actual."
prov-sf-dip-rodenas-alejandra,Alejandra RODENAS,2019,no_localizada,,,,,,,,,283.4442,59.8950,,,,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,No se localizó una DJPI consolidada para esta persona y año; no equivale a patrimonio cero. Es historial público OA previo al corte y no equivale por sí solo a la DDJJ del mandato actual.
prov-sf-dip-rodenas-alejandra,Alejandra RODENAS,2020,no_localizada,,,,,,,,,385.8826,84.1450,,,,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,No se localizó una DJPI consolidada para esta persona y año; no equivale a patrimonio cero. Es historial público OA previo al corte y no equivale por sí solo a la DDJJ del mandato actual.
prov-sf-dip-rodenas-alejandra,Alejandra RODENAS,2021,oficial_consolidado_oa,Anual,0,607048,5567562.95,0.00,5567562.95,96747613.29,54185.53,582.4575,102.7500,27.43,5.88,5.01,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,"Identidad confirmada por cruce oficial; selección Anual > Baja > Inicial, luego rectificativa y dj_id. Es historial público OA previo al corte y no equivale por sí solo a la DDJJ del mandato actual."
prov-sf-dip-rodenas-alejandra,Alejandra RODENAS,2022,oficial_consolidado_oa,Anual,0,629454,12634901.75,0.00,12634901.75,112712800.45,71331.92,1134.5875,177.1283,62.24,6.85,6.60,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,"Identidad confirmada por cruce oficial; selección Anual > Baja > Inicial, luego rectificativa y dj_id. Es historial público OA previo al corte y no equivale por sí solo a la DDJJ del mandato actual."
prov-sf-dip-rodenas-alejandra,Alejandra RODENAS,2023,no_localizada,,,,,,,,,3533.1922,808.4833,,,,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,No se localizó una DJPI consolidada para esta persona y año; no equivale a patrimonio cero. Es historial público OA previo al corte y no equivale por sí solo a la DDJJ del mandato actual.
prov-sf-dip-rodenas-alejandra,Alejandra RODENAS,2024,no_localizada,,,,,,,,,7694.0075,1032.5000,,,,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,No se localizó una DJPI consolidada para esta persona y año; no equivale a patrimonio cero. Es historial público OA previo al corte y no equivale por sí solo a la DDJJ del mandato actual.
prov-sf-dip-rodenas-alejandra,Alejandra RODENAS,2025,no_localizada,,,,,,,,,10121.3715,1459.4167,,,,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,No se localizó una DJPI consolidada para esta persona y año; no equivale a patrimonio cero. Es historial público OA previo al corte y no equivale por sí solo a la DDJJ del mandato actual.
prov-sf-dip-bermudez-ariel,Ariel BERMÚDEZ,2017,oficial_consolidado_oa,Anual,0,325855,654626.69,0.00,654626.69,53092576.37,34868.42,124.7956,18.7742,100.00,100.00,100.00,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,"Identidad confirmada por cruce oficial; selección Anual > Baja > Inicial, luego rectificativa y dj_id. Es historial público OA previo al corte y no equivale por sí solo a la DDJJ del mandato actual."
prov-sf-dip-bermudez-ariel,Ariel BERMÚDEZ,2018,oficial_consolidado_oa,Baja,0,264876,768134.13,0.00,768134.13,42194580.62,20316.55,184.2552,37.8083,117.34,79.47,58.27,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,"Identidad confirmada por cruce oficial; selección Anual > Baja > Inicial, luego rectificativa y dj_id. Es historial público OA previo al corte y no equivale por sí solo a la DDJJ del mandato actual."
prov-sf-dip-bermudez-ariel,Ariel BERMÚDEZ,2019,no_localizada,,,,,,,,,283.4442,59.8950,,,,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,No se localizó una DJPI consolidada para esta persona y año; no equivale a patrimonio cero. Es historial público OA previo al corte y no equivale por sí solo a la DDJJ del mandato actual.
prov-sf-dip-bermudez-ariel,Ariel BERMÚDEZ,2020,no_localizada,,,,,,,,,385.8826,84.1450,,,,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,No se localizó una DJPI consolidada para esta persona y año; no equivale a patrimonio cero. Es historial público OA previo al corte y no equivale por sí solo a la DDJJ del mandato actual.
