persona_id,persona,anio,tipo_ddjj,rectificativa,dj_id,periodo_controlado,bienes_resumen_ars,bienes_detalle_ars,bienes_ratio_resumen_detalle,bienes_estado,deudas_resumen_ars,deudas_detalle_ars,deudas_ratio_resumen_detalle,deudas_estado,calidad_fuente,fuente_url
dip-aguirre-hilda,Hilda Aguirre,2022,Anual,0,676924,cierre,8897764.81,8897764.81,1.0,concilia,10055190.0,1005519.0,10.0,resumen_10x_detalle,quiebre_escala_decimal,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-aguirre-hilda,Hilda Aguirre,2023,Anual,0,826768,cierre,247704800.0,24770480.0,10.0,resumen_10x_detalle,421815.2,421815.2,1.0,concilia,quiebre_escala_decimal,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-aguirre-hilda,Hilda Aguirre,2024,Anual,0,826916,cierre,459773790.0,45977379.0,10.0,resumen_10x_detalle,0.0,0.0,,concilia_cero,quiebre_escala_decimal,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-ajmechet-sabrina,Sabrina Ajmechet,2022,Anual,0,672844,cierre,22094136.95,22094136.95,1.0,concilia,0.0,0.0,,concilia_cero,concilia,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-ajmechet-sabrina,Sabrina Ajmechet,2023,Anual,0,742424,cierre,78432747.35,78432747.35,1.0,concilia,3567420.23,3567420.23,1.0,concilia,concilia,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-ajmechet-sabrina,Sabrina Ajmechet,2024,Anual,0,792365,cierre,150224669.49,150224669.49,1.0,concilia,8461698.36,0.0,,detalle_ausente,detalle_ausente_o_cero,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-alvarez-claudio,Claudio Álvarez,2023,Inicial,0,677352,inicio,295334400.0,29533440.0,10.0,resumen_10x_detalle,0.0,0.0,,concilia_cero,quiebre_escala_decimal,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-ansaloni-pablo,Pablo Ansaloni,2022,Anual,0,677377,cierre,31917309.09,31917309.09,1.0,concilia,0.0,0.0,,concilia_cero,concilia,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-ansaloni-pablo,Pablo Ansaloni,2023,Anual,0,753464,cierre,91632892.68,91632892.68,1.0,concilia,5380000.0,538000.0,10.0,resumen_10x_detalle,quiebre_escala_decimal,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
dip-arabia-damian,Damián Arabia,2022,Anual,0,676899,cierre,503039450.0,50303945.0,10.0,resumen_10x_detalle,7140000.0,714000.0,10.0,resumen_10x_detalle,quiebre_escala_decimal,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
