persona_id,persona,anio,tipo_ddjj,dj_id,delta_patrimonio_neto_ars,diferencia_valuacion_ars,ingresos_netos_ars,ingresos_no_alcanzados_ars,herencias_donaciones_ars,deducciones_sin_erogacion_ars,gastos_no_deducibles_ars,gastos_personales_ars,suma_componentes_ars,residual_ars,estado_calculo,fuente_url
caputo,Luis Caputo,2017,Anual,327825,2673068.53,0.00,13728669.66,11526839.61,0.00,0.00,13074472.96,6315045.77,5865990.54,-3192922.01,calculable,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
caputo,Luis Caputo,2018,Baja,351486,22254878.30,19213392.01,2437278.51,604207.78,0.00,0.00,0.00,0.00,22254878.30,0.00,calculable,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
caputo,Luis Caputo,2023,Anual,754853,4242139617.42,0.00,511065873.27,490861490.92,0.00,0.00,7199040.24,106982453.03,887745870.92,3354393746.50,calculable,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
caputo,Luis Caputo,2024,Anual,804505,6670240943.94,0.00,326546683.22,201785362.57,0.00,0.00,105032928.84,155615342.50,267683774.45,6402557169.49,calculable,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
cristina,Cristina Fernández de Kirchner,2017,Anual,473299,870746.91,2669294.41,3281307.74,0.00,0.00,0.00,2761133.79,2318721.45,870746.91,0.00,calculable,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
cristina,Cristina Fernández de Kirchner,2018,Anual,468176,2336632.00,1353270.75,4657518.59,276689.96,0.00,0.00,3038618.66,912228.64,2336632.00,0.00,calculable,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
cristina,Cristina Fernández de Kirchner,2019,Anual,468177,2746368.35,2421166.27,8438842.93,373068.31,0.00,0.00,6992138.25,1494570.91,2746368.35,0.00,calculable,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
cristina,Cristina Fernández de Kirchner,2020,Anual,531031,6701909.02,2947716.76,11668695.49,11114.15,0.00,0.00,6262279.12,1663338.26,6701909.02,0.00,calculable,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
cristina,Cristina Fernández de Kirchner,2021,Anual,598404,32145290.55,0.00,27970326.77,1669769.22,0.00,0.00,9122550.90,1882590.23,18634954.86,13510335.69,calculable,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
cristina,Cristina Fernández de Kirchner,2022,Anual,650338,70200196.37,21738357.28,52618076.25,16676932.29,0.00,0.00,6280391.75,14552777.70,70200196.37,0.00,calculable,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
cristina,Cristina Fernández de Kirchner,2023,Baja,687955,130602545.07,784999.55,89896657.46,123600596.59,0.00,0.00,0.00,82109709.43,132172544.17,-1569999.10,calculable,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
javier,Javier Milei,2020,Anual,541019,1291383.33,1286942.25,1308806.34,0.00,0.00,0.00,0.00,1304365.26,1291383.33,0.00,calculable,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
javier,Javier Milei,2021,Anual,607656,8313205.94,7352033.48,3451418.43,0.00,0.00,0.00,0.00,2284649.43,8518802.48,-205596.54,calculable,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
javier,Javier Milei,2022,Anual,666955,8245202.84,5203004.12,16392070.28,0.00,0.00,0.00,4313370.75,9036500.81,8245202.84,0.00,calculable,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
javier,Javier Milei,2023,Anual,749085,104539256.91,71886098.96,22021827.07,354346170.00,0.00,0.00,12296927.01,12506359.11,423450809.91,-318911553.00,calculable,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
javier,Javier Milei,2024,Anual,797241,80405484.03,54546101.49,92157396.22,0.00,0.00,0.00,0.00,43391712.88,103311784.83,-22906300.80,calculable,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
karina,Karina Milei,2023,Anual,748973,-9394921.09,624570.09,23120910.00,51246580.00,0.00,0.00,0.00,63893060.00,11099000.09,-20493921.18,calculable,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
karina,Karina Milei,2024,Anual,795500,-566858.49,2196455.77,35752225.78,1634890.00,0.00,0.00,0.00,31031592.04,8551979.51,-9118838.00,calculable,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
macri,Mauricio Macri,2017,Anual,332099,17273753.63,0.00,308652.24,83491140.00,0.00,262292390.00,1421290.00,4855668.24,339815224.00,-322541470.37,calculable,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
macri,Mauricio Macri,2018,Anual,390515,51812528.87,0.00,4381200.20,105003390.00,0.00,0.00,12566430.00,4762270.20,92055890.00,-40243361.13,calculable,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
macri,Mauricio Macri,2019,Baja,420138,121593779.22,10834887.22,24843970.00,1144240900.00,0.00,0.00,0.00,61495950.00,1118423807.22,-996830028.00,calculable,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
martin,Martín Menem,2022,Anual,677410,123631771.54,121923081.95,1691596.26,1579085.97,0.00,15560926.19,2013487.49,15109431.34,123631771.54,0.00,calculable,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
martin,Martín Menem,2023,Anual,749142,288193342.39,264947890.71,24875641.35,8041865.50,0.00,31432858.77,3286438.73,37818475.22,288193342.38,0.01,calculable,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
martin,Martín Menem,2024,Anual,819664,,686826909.53,,83573728.48,0.00,175845246.38,34747375.36,78042073.97,,,dato_origen_malformado,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
massa,Sergio Massa,2017,Baja,262450,95461.13,95461.13,1353339.31,0.00,0.00,0.00,284648.24,1437558.59,-273406.39,368867.52,calculable,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
massa,Sergio Massa,2018,Anual,413380,243652.50,838363.08,861962.20,0.00,0.00,0.00,337713.04,1118959.74,243652.50,0.00,calculable,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
massa,Sergio Massa,2019,Anual,441041,-1754463.46,1887862.54,1745394.14,0.00,0.00,0.00,179142.29,1432852.77,2021261.62,-3775725.08,calculable,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
massa,Sergio Massa,2020,Anual,521463,3161624.01,1849199.89,2713579.70,0.00,0.00,0.00,418821.01,982334.57,3161624.01,0.00,calculable,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
massa,Sergio Massa,2021,Anual,584146,3939136.57,2861193.64,3500805.07,0.00,0.00,0.00,524546.32,1898315.82,3939136.57,0.00,calculable,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
massa,Sergio Massa,2022,Anual,648856,8596035.19,7932210.66,7750003.65,317645.15,0.00,0.00,645883.78,6757940.49,8596035.19,0.00,calculable,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
massa,Sergio Massa,2023,Baja,689319,33326128.40,25024875.23,23587113.65,828000.42,0.00,0.00,2002474.58,14111386.32,33326128.40,0.00,calculable,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
maximo,Máximo Kirchner,2017,Anual,468165,33033417.72,25871249.14,1443033.73,10581167.77,0.00,0.00,3394813.31,1467219.61,33033417.72,0.00,calculable,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
maximo,Máximo Kirchner,2018,Anual,468170,70333784.60,16734365.74,1758507.42,54254560.91,7719400.00,0.00,1826843.75,1358745.72,77281244.60,-6947460.00,calculable,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
maximo,Máximo Kirchner,2019,Anual,469944,100501965.57,104417587.34,721043.41,719698.23,10000000.00,0.00,3220849.66,3135513.75,109501965.57,-9000000.00,calculable,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
maximo,Máximo Kirchner,2020,Anual,531359,107876958.20,105071113.62,3176521.81,2854125.25,15000000.00,3426320.00,3768426.81,1299007.67,124460646.20,-16583688.00,calculable,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
maximo,Máximo Kirchner,2021,Anual,597872,122719764.88,129242223.92,4579713.43,1081653.71,10000000.00,444776.82,12026333.13,1602269.88,131719764.87,-8999999.99,calculable,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales
