persona_id,persona,anio,estado_fuente,tipo_ddjj,rectificativa,dj_id,total_bienes_ars,deudas_ars,patrimonio_neto_ars,total_bienes_real_ars_2025,total_bienes_usd_a3500,ipc_indice,a3500_ars_por_usd,indice_nominal_base,indice_real_base,indice_usd_base,fuente_url,nota
maximo,Máximo Kirchner,2017,oficial_consolidado_oa,Anual,1,468165,120374888.11,7829016.36,112545871.75,9762835883.90,6411718.64,124.7956,18.7742,100.00,100.00,100.00,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,Selección: Anual > Baja > Inicial; luego mayor rectificativa y dj_id.
maximo,Máximo Kirchner,2018,oficial_consolidado_oa,Anual,1,468170,191182823.12,8303166.77,182879656.35,10501914612.00,5056636.32,184.2552,37.8083,158.82,107.57,78.87,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,Selección: Anual > Baja > Inicial; luego mayor rectificativa y dj_id.
maximo,Máximo Kirchner,2019,oficial_consolidado_oa,Anual,0,469944,291739213.02,6667097.88,285072115.14,10417574097.80,4870844.19,283.4442,59.8950,242.36,106.71,75.97,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,Selección: Anual > Baja > Inicial; luego mayor rectificativa y dj_id.
maximo,Máximo Kirchner,2020,oficial_consolidado_oa,Anual,0,531359,400841818.69,8936745.35,391905073.34,10513739048.35,4763703.35,385.8826,84.1450,332.99,107.69,74.30,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,Selección: Anual > Baja > Inicial; luego mayor rectificativa y dj_id.
maximo,Máximo Kirchner,2021,oficial_consolidado_oa,Anual,0,597872,523382019.69,8861563.48,514520456.21,9094816115.69,5093742.28,582.4575,102.7500,434.79,93.16,79.44,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,Selección: Anual > Baja > Inicial; luego mayor rectificativa y dj_id.
maximo,Máximo Kirchner,2022,oficial_consolidado_oa,Anual,0,650311,1099930211.99,20122538.30,1079807673.69,9812202496.17,6209793.76,1134.5875,177.1283,913.75,100.51,96.85,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,Selección: Anual > Baja > Inicial; luego mayor rectificativa y dj_id.
maximo,Máximo Kirchner,2023,oficial_consolidado_oa,Anual,0,735140,4719066772.97,56260297.44,4662806475.53,13518491278.94,5836937.85,3533.1922,808.4833,3920.31,138.47,91.04,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,Selección: Anual > Baja > Inicial; luego mayor rectificativa y dj_id.
maximo,Máximo Kirchner,2024,oficial_consolidado_oa,Anual,0,788672,8311567011.23,86963957.66,8224603053.57,10933763382.45,8049943.84,7694.0075,1032.5000,6904.73,111.99,125.55,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,Selección: Anual > Baja > Inicial; luego mayor rectificativa y dj_id.
maximo,Máximo Kirchner,2025,publicado_pdf_oa_pendiente,,,,11085027375.28,,,11085027375.28,7595519.07,10121.3715,1459.4167,9208.75,113.54,118.46,https://www.cronista.com/economia-politica/maximo-kirchner-presento-su-declaracion-jurada-cuanto-crecio-el-patrimonio-del-hijo-de-la-expresidenta/,Valor publicado atribuido a la DJPI 2025; PDF OA individual pendiente.
cristina,Cristina Fernández de Kirchner,2017,oficial_consolidado_oa,Anual,1,473299,4920709.74,550919.72,4369790.02,399087238.03,262099.57,124.7956,18.7742,100.00,100.00,100.00,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,Selección: Anual > Baja > Inicial; luego mayor rectificativa y dj_id.
cristina,Cristina Fernández de Kirchner,2018,oficial_consolidado_oa,Anual,1,468176,7014817.76,308395.74,6706422.02,385332824.01,185536.45,184.2552,37.8083,142.56,96.55,70.79,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,Selección: Anual > Baja > Inicial; luego mayor rectificativa y dj_id.
cristina,Cristina Fernández de Kirchner,2019,oficial_consolidado_oa,Anual,0,468177,9761186.11,0.00,9761186.11,348557461.75,162971.64,283.4442,59.8950,198.37,87.34,62.18,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,Selección: Anual > Baja > Inicial; luego mayor rectificativa y dj_id.
cristina,Cristina Fernández de Kirchner,2020,oficial_consolidado_oa,Anual,0,531031,16463095.13,0.00,16463095.13,431812944.79,195651.50,385.8826,84.1450,334.57,108.20,74.65,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,Selección: Anual > Baja > Inicial; luego mayor rectificativa y dj_id.
cristina,Cristina Fernández de Kirchner,2021,oficial_consolidado_oa,Anual,1,598404,48608385.68,0.00,48608385.68,844668545.74,473074.31,582.4575,102.7500,987.83,211.65,180.49,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,Selección: Anual > Baja > Inicial; luego mayor rectificativa y dj_id.
cristina,Cristina Fernández de Kirchner,2022,oficial_consolidado_oa,Anual,0,650338,118808582.05,0.00,118808582.05,1059861664.54,670748.73,1134.5875,177.1283,2414.46,265.57,255.91,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,Selección: Anual > Baja > Inicial; luego mayor rectificativa y dj_id.
cristina,Cristina Fernández de Kirchner,2023,oficial_consolidado_oa,Baja,0,687955,249421220.32,0.00,249421220.32,714505378.69,308505.10,3533.1922,808.4833,5068.81,179.03,117.71,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,Selección: Anual > Baja > Inicial; luego mayor rectificativa y dj_id.
cristina,Cristina Fernández de Kirchner,2024,no_localizada,,,,,,,,,7694.0075,1032.5000,,,,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,No se localizó una DJPI consolidada para esta persona y año.
cristina,Cristina Fernández de Kirchner,2025,no_localizada,,,,,,,,,10121.3715,1459.4167,,,,https://datos.jus.gob.ar/dataset/declaraciones-juradas-patrimoniales-integrales,No se localizó una DJPI consolidada para esta persona y año.
