id,tema,url,tipo,uso,estado
oa_consulta,DJPI,https://www.argentina.gob.ar/servicio/consultar-declaraciones-juradas-de-funcionarios-publicos,primaria,Acceso y alcance del sistema OA,respaldada
oa_f1245,DJPI,https://www.argentina.gob.ar/anticorrupcion/declaraciones-juradas-preguntas,primaria,Ruta migrada o manual del F-1245,respaldada
ley_26857,DJPI,https://www.argentina.gob.ar/normativa/nacional/215002/texto,primaria,Carácter público y equivalencia fiscal,respaldada
ley_23966,valuacion,https://www.argentina.gob.ar/normativa/nacional/ley-23966-365/actualizacion,primaria,Valuación de inmuebles y piso fiscal,respaldada
datos_justicia,DJPI,https://datos.jus.gob.ar/ar/dataset/declaraciones-juradas-patrimoniales-integrales,primaria,Disponibilidad del consolidado y calendario 2025,respaldada
hcdn_maximo,agrupacion,https://www.hcdn.gob.ar/diputados/mkirchner/,primaria,Cargo mandato y bloque actual,respaldada
indec_ipc_2023,IPC,https://www.indec.gob.ar/uploads/informesdeprensa/ipc_01_24DBD5D8158C.pdf,primaria,IPC anual 2023 211.4%,respaldada
indec_ipc_series,IPC,https://www.indec.gob.ar/indec/web/Nivel4-Tema-3-5-31,primaria,IPC 2024 y series históricas,respaldada
indec_ipc_2025,IPC,https://www.indec.gob.ar/uploads/informesdeprensa/ipc_01_266741F036E8.pdf,primaria,IPC anual 2025 31.5%,respaldada
cronista_maximo_2025,DJPI individual,https://www.cronista.com/economia-politica/maximo-kirchner-presento-su-declaracion-jurada-cuanto-crecio-el-patrimonio-del-hijo-de-la-expresidenta/,secundaria_indice,Descubrimiento de cifra 2025; requiere PDF OA,respaldada_como_indice_pdf_oa_pendiente
lanacion_karina_2025,DJPI individual,https://www.lanacion.com.ar/politica/declaracion-jurada-de-karina-milei-uno-por-uno-todos-los-bienes-informados-de-la-secretaria-general-nid01092026/,secundaria_indice,Descubrimiento de valuación 2025; requiere PDF OA,respaldada_como_indice_pdf_oa_pendiente
datos_justicia_ckan,DJPI,https://datos.jus.gob.ar/api/3/action/package_show?id=declaraciones-juradas-patrimoniales-integrales,primaria,Metadatos y recursos del dataset oficial,respaldada
datos_justicia_modelo,DJPI,https://raw.githubusercontent.com/datos-justicia-argentina/Declaraciones-Juradas-Patrimoniales-de-caracter-publico/master/Declaraciones-Juradas-Patrimoniales-de-caracter-publico-metadata.md,primaria,Diccionario oficial de campos y códigos,respaldada
datos_justicia_2012_2024,DJPI,https://datos.jus.gob.ar/dataset/4680199f-6234-4262-8a2a-8f7993bf784d/resource/70ce68db-0af3-4922-94f9-d41be5ed38e2/download/declaraciones-juradas-2024.zip,primaria,Consolidado oficial usado para la serie 2017-2024,respaldada
bcra_a3500_2017_2025,FX,https://api.bcra.gob.ar/estadisticas/v4.0/monetarias/5?desde=2017-01-01&hasta=2025-12-31&limit=3000,primaria,Tipo de cambio mayorista A 3500 de cierre anual,respaldada
indec_ipc_csv,IPC,https://www.indec.gob.ar/indec/web/Nivel4-Tema-3-5-31,primaria,Serie mensual IPC nacional usada para deflactar,respaldada
