"Apellido","Nombre","Distrito","IniciaMandato","FinalizaMandato","Bloque","Leyenda"
"Aguirre","Hilda","LA RIOJA","10/12/2023","09/12/2027","UNIÓN POR LA PATRIA",
"Agüero","Guillermo César","CHACO","10/12/2025","09/12/2029","UCR - UNIÓN CÍVICA RADICAL",
"Ajmechet","Sabrina","CIUDAD DE BUENOS AIRES","10/12/2025","09/12/2029","LA LIBERTAD AVANZA",
"Alí","Ernesto "Pipi"","SAN LUIS","31/01/2024","09/12/2027","UNIÓN POR LA PATRIA",
"Almena","Carlos Alberto","SAN LUIS","10/12/2025","09/12/2029","LA LIBERTAD AVANZA",
"Almirón","Lisandro","CORRIENTES","10/12/2023","09/12/2027","LA LIBERTAD AVANZA",
"Álvarez","Claudio","SAN LUIS","10/12/2025","09/12/2027","ARGENTINA FEDERAL",
"Andino","Cristian","SAN JUAN","10/12/2025","09/12/2029","UNIÓN POR LA PATRIA",
"Andrade","Javier","CIUDAD DE BUENOS AIRES","10/12/2025","09/12/2027","UNIÓN POR LA PATRIA",
"Andreussi","Barbara","JUJUY","10/12/2025","09/12/2029","LA LIBERTAD AVANZA",
"Ansaloni","Pablo","BUENOS AIRES","10/12/2023","09/12/2027","LA LIBERTAD AVANZA",
"Arabia","Damián","CIUDAD DE BUENOS AIRES","10/12/2023","09/12/2027","LA LIBERTAD AVANZA",
"Araujo Hernández","Jorge Neri","TIERRA DEL FUEGO","10/12/2023","09/12/2027","UNIÓN POR LA PATRIA",
"Ardohain","Martín","LA PAMPA","10/12/2023","09/12/2027","PRO",
"Arrieta","Lourdes Micaela","MENDOZA","10/12/2023","09/12/2027","PROVINCIAS UNIDAS",
"Arrúa","Alberto","MISIONES","10/12/2023","09/12/2027","ARGENTINA FEDERAL",
"Aveiro","Martín","MENDOZA","10/12/2023","09/12/2027","UNIÓN POR LA PATRIA",
"Avico","Belén","CORDOBA","10/12/2023","09/12/2027","LA LIBERTAD AVANZA",
"Avila","Jorge Antonio","CHUBUT","10/12/2023","09/12/2027","PROVINCIAS UNIDAS",
"Avila","Fernanda","CATAMARCA","10/12/2023","09/12/2027","ELIJO CATAMARCA",
