apellido,nombre,bloque,source_url
BERNATENE,Ariel Roberto,BLOQUE UNIÓN CÍVICA RADICAL,https://web.legisrn.gov.ar/institucional/bloques/ver?id=130
MATZEN,Lorena María Matilde,BLOQUE UNIÓN CÍVICA RADICAL,https://web.legisrn.gov.ar/institucional/bloques/ver?id=130
ACEVEDO,Javier Edue,BLOQUE COALICIÓN CÍVICA ARI - CAMBIEMOS,https://web.legisrn.gov.ar/institucional/bloques/ver?id=132
AGOSTINO,Daniela Beatriz,BLOQUE COALICIÓN CÍVICA ARI - CAMBIEMOS,https://web.legisrn.gov.ar/institucional/bloques/ver?id=132
FRUGONI,Fernando G.,BLOQUE COALICIÓN CÍVICA ARI - CAMBIEMOS,https://web.legisrn.gov.ar/institucional/bloques/ver?id=132
SCAVO,Roberta,BLOQUE COALICIÓN CÍVICA ARI - CAMBIEMOS,https://web.legisrn.gov.ar/institucional/bloques/ver?id=132
DOMÍNGUEZ,César Rafael,BLOQUE PRIMERO RÍO NEGRO,https://web.legisrn.gov.ar/institucional/bloques/ver?id=134
MANSILLA,Elba Yolanda,BLOQUE PRIMERO RÍO NEGRO,https://web.legisrn.gov.ar/institucional/bloques/ver?id=134
CÉVOLI,María Celia,BLOQUE ALIANZA JUNTOS SOMOS RÍO NEGRO,https://web.legisrn.gov.ar/institucional/bloques/ver?id=140
CIDES,Juan Elbi,BLOQUE ALIANZA JUNTOS SOMOS RÍO NEGRO,https://web.legisrn.gov.ar/institucional/bloques/ver?id=140
ESCUDERO,María Andrea,BLOQUE ALIANZA JUNTOS SOMOS RÍO NEGRO,https://web.legisrn.gov.ar/institucional/bloques/ver?id=140
GONZÁLEZ ABDALA,Marcela Haydeé,BLOQUE ALIANZA JUNTOS SOMOS RÍO NEGRO,https://web.legisrn.gov.ar/institucional/bloques/ver?id=140
KIRCHER CASTAÑAREZ,Aime Manuela,BLOQUE ALIANZA JUNTOS SOMOS RÍO NEGRO,https://web.legisrn.gov.ar/institucional/bloques/ver?id=140
LÓPEZ,Facundo Manuel,BLOQUE ALIANZA JUNTOS SOMOS RÍO NEGRO,https://web.legisrn.gov.ar/institucional/bloques/ver?id=140
MORALES,Silvia Beatriz,BLOQUE ALIANZA JUNTOS SOMOS RÍO NEGRO,https://web.legisrn.gov.ar/institucional/bloques/ver?id=140
MORENO,Norberto Emanuel,BLOQUE ALIANZA JUNTOS SOMOS RÍO NEGRO,https://web.legisrn.gov.ar/institucional/bloques/ver?id=140
NOALE,Luis Ángel,BLOQUE ALIANZA JUNTOS SOMOS RÍO NEGRO,https://web.legisrn.gov.ar/institucional/bloques/ver?id=140
PICA,Lucas Romeo,BLOQUE ALIANZA JUNTOS SOMOS RÍO NEGRO,https://web.legisrn.gov.ar/institucional/bloques/ver?id=140
REYNOSO,Natalia Emilia,BLOQUE ALIANZA JUNTOS SOMOS RÍO NEGRO,https://web.legisrn.gov.ar/institucional/bloques/ver?id=140
ROSSIO,María Marcela,BLOQUE ALIANZA JUNTOS SOMOS RÍO NEGRO,https://web.legisrn.gov.ar/institucional/bloques/ver?id=140
SAN ROMÁN,Gustavo Modesto,BLOQUE ALIANZA JUNTOS SOMOS RÍO NEGRO,https://web.legisrn.gov.ar/institucional/bloques/ver?id=140
SANGUINETTI,Daniel Horacio,BLOQUE ALIANZA JUNTOS SOMOS RÍO NEGRO,https://web.legisrn.gov.ar/institucional/bloques/ver?id=140
SZCZYGOL,Marcelo Fabián,BLOQUE ALIANZA JUNTOS SOMOS RÍO NEGRO,https://web.legisrn.gov.ar/institucional/bloques/ver?id=140
VALERI,Carlos Alfredo,BLOQUE ALIANZA JUNTOS SOMOS RÍO NEGRO,https://web.legisrn.gov.ar/institucional/bloques/ver?id=140
YAUHAR,Soraya Elisandra Iris,BLOQUE ALIANZA JUNTOS SOMOS RÍO NEGRO,https://web.legisrn.gov.ar/institucional/bloques/ver?id=140
YENSEN,Lorena Rosana,BLOQUE ALIANZA JUNTOS SOMOS RÍO NEGRO,https://web.legisrn.gov.ar/institucional/bloques/ver?id=140
ZGAIB,Luis Fabián,BLOQUE ALIANZA JUNTOS SOMOS RÍO NEGRO,https://web.legisrn.gov.ar/institucional/bloques/ver?id=140
BELLOSO,Daniel Rubén,BLOQUE PARTIDO JUSTICIALISTA - NUEVO ENCUENTRO,https://web.legisrn.gov.ar/institucional/bloques/ver?id=142
DANTAS,Pedro Cristian,BLOQUE PARTIDO JUSTICIALISTA - NUEVO ENCUENTRO,https://web.legisrn.gov.ar/institucional/bloques/ver?id=142
GARCÍA,Leandro Gastón,BLOQUE PARTIDO JUSTICIALISTA - NUEVO ENCUENTRO,https://web.legisrn.gov.ar/institucional/bloques/ver?id=142
IVANCICH,Luis Ángel,BLOQUE PARTIDO JUSTICIALISTA - NUEVO ENCUENTRO,https://web.legisrn.gov.ar/institucional/bloques/ver?id=142
MAS,María Alejandra,BLOQUE PARTIDO JUSTICIALISTA - NUEVO ENCUENTRO,https://web.legisrn.gov.ar/institucional/bloques/ver?id=142
BERROS,José Luis,BLOQUE VAMOS CON TODOS,https://web.legisrn.gov.ar/institucional/bloques/ver?id=143
DELGADO SEMPÉ,Luciano Jesús,BLOQUE VAMOS CON TODOS,https://web.legisrn.gov.ar/institucional/bloques/ver?id=143
ODARDA,María Magdalena,BLOQUE VAMOS CON TODOS,https://web.legisrn.gov.ar/institucional/bloques/ver?id=143
PILQUINAO,Carmelio Fabián,BLOQUE VAMOS CON TODOS,https://web.legisrn.gov.ar/institucional/bloques/ver?id=143
SPÓSITO,Ayelén,BLOQUE VAMOS CON TODOS,https://web.legisrn.gov.ar/institucional/bloques/ver?id=143
FREI,María Laura,BLOQUE PRO UNIÓN REPUBLICANA,https://web.legisrn.gov.ar/institucional/bloques/ver?id=145
LACOUR,Martina Valeria,BLOQUE PRO UNIÓN REPUBLICANA,https://web.legisrn.gov.ar/institucional/bloques/ver?id=145
